Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
216,Ty'Son Williams*,South Carolina,SEC,12,95,471,5.0,1,39.3,12,32,2.7,1,2.7,107,503,4.7,2,,tyson-williams-4
217,J.D. King*,Oklahoma State,Big 12,13,99,469,4.7,4,36.1,8,50,6.3,1,3.8,107,519,4.9,5,,jd-king-1
218,Shawndarrius Phillips*,Florida International,CUSA,13,104,469,4.5,4,36.1,10,69,6.9,1,5.3,114,538,4.7,5,,shawndarrius-phillips-1
219,Malik Rosier*,Miami (FL),ACC,13,131,468,3.6,5,36.0,1,17,17.0,0,1.3,132,485,3.7,5,,malik-rosier-1
220,Mike Boone,Cincinnati,American,10,110,463,4.2,4,46.3,24,177,7.4,1,17.7,134,640,4.8,5,,mike-boone-2
221,Brandon Dawkins*,Arizona,Pac-12,7,69,459,6.7,8,65.6,0,0,,0,0.0,69,459,6.7,8,,brandon-dawkins-2
222,Daryl Chestnut,New Mexico,MWC,12,76,459,6.0,4,38.3,6,38,6.3,0,3.2,82,497,6.1,4,,daryl-chestnut-1
223,Reggie Bonnafon*,Louisville,ACC,13,93,459,4.9,7,35.3,21,182,8.7,1,14.0,114,641,5.6,8,,reggie-bonnafon-1
224,Aaron McAllister,Charlotte,CUSA,12,90,458,5.1,2,38.2,1,6,6.0,0,0.5,91,464,5.1,2,,aaron-mcallister-1
225,Kam Martin*,Auburn,SEC,14,74,453,6.1,2,32.4,3,56,18.7,1,4.0,77,509,6.6,3,,kam-martin-1
226,Ryan Wolpin*,Boise State,MWC,14,122,448,3.7,6,32.0,12,107,8.9,0,7.6,134,555,4.1,6,,ryan-wolpin-1
227,Keytaon Thompson*,Mississippi State,SEC,10,75,446,5.9,6,44.6,0,0,,0,0.0,75,446,5.9,6,,keytaon-thompson-1
228,Soso Jamabo*,UCLA,Pac-12,10,90,446,5.0,6,44.6,17,204,12.0,0,20.4,107,650,6.1,6,,soso-jamabo-1
229,John Lovett,Baylor,Big 12,11,98,445,4.5,5,40.5,7,20,2.9,0,1.8,105,465,4.4,5,,john-lovett-1
230,Xavier Johnson,South Alabama,Sun Belt,8,82,445,5.4,6,55.6,5,23,4.6,0,2.9,87,468,5.4,6,,xavier-johnson-1
231,Josh Anderson*,Troy,Sun Belt,13,93,444,4.8,6,34.2,13,95,7.3,0,7.3,106,539,5.1,6,,josh-anderson-6
232,Malik Dunner,Ball State,MAC,12,74,440,5.9,8,36.7,18,139,7.7,0,11.6,92,579,6.3,8,,malik-dunner-1
233,Travon McMillian*,Virginia Tech,ACC,12,104,439,4.2,2,36.6,12,173,14.4,3,14.4,116,612,5.3,5,,travon-mcmillian-1
234,Anthony Taylor,Texas State,Sun Belt,12,108,436,4.0,2,36.3,15,159,10.6,3,13.3,123,595,4.8,5,,anthony-taylor-7
235,Manny Morgan*,Akron,MAC,14,116,434,3.7,4,31.0,12,58,4.8,0,4.1,128,492,3.8,4,,manny-morgan-1
236,Robert Martin,Rutgers,Big Ten,12,99,434,4.4,3,36.2,8,56,7.0,0,4.7,107,490,4.6,3,,robert-martin-2
237,Johnston White*,Arkansas State,Sun Belt,12,94,430,4.6,3,35.8,14,132,9.4,0,11.0,108,562,5.2,3,,johnston-white-1
238,Chad President,Tulsa,American,12,69,429,6.2,9,35.8,0,0,,0,0.0,69,429,6.2,9,,chad-president-1
239,Cole Gest,Indiana,Big Ten,10,93,428,4.6,1,42.8,10,83,8.3,1,8.3,103,511,5.0,2,,cole-gest-1
240,Mark Walton*,Miami (FL),ACC,5,56,428,7.6,3,85.6,7,91,13.0,0,18.2,63,519,8.2,3,,mark-walton-1
241,Jason Driskel*,Florida Atlantic,CUSA,13,84,427,5.1,8,32.8,0,8,,0,0.6,84,435,5.2,8,,jason-driskel-1
242,Anthony Gargiulo*,Navy,American,9,76,423,5.6,3,47.0,1,21,21.0,0,2.3,77,444,5.8,3,,anthony-gargiulo-1
243,Justice Hansen*,Arkansas State,Sun Belt,12,135,422,3.1,7,35.2,2,48,24.0,0,4.0,137,470,3.4,7,,justice-hansen-1
244,Jason Huntley*,New Mexico State,Sun Belt,12,70,420,6.0,1,35.0,39,363,9.3,2,30.3,109,783,7.2,3,,jason-huntley-1
245,Hussein Howe,East Carolina,American,12,96,419,4.4,3,34.9,30,219,7.3,0,18.3,126,638,5.1,3,,hussein-howe-1
246,Theo Anderson,Buffalo,MAC,10,97,419,4.3,2,41.9,3,24,8.0,0,2.4,100,443,4.4,2,,theo-anderson-1
247,Rona Cleveland,Air Force,MWC,12,44,418,9.5,3,34.8,11,261,23.7,2,21.8,55,679,12.3,5,,rona-cleveland-1
248,Darius Bradwell,Tulane,American,12,66,411,6.2,4,34.3,3,31,10.3,0,2.6,69,442,6.4,4,,darius-bradwell-1
