,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
100,Rutgers,Big Ten (East),3,6,0.333,3,6,0.333,26.7,32.1,-2.38,3.18,,,,
101,Michigan,Big Ten (East),2,4,0.333,2,4,0.333,28.3,34.5,-1.25,3.25,16,13,,
102,Maryland,Big Ten (East),2,3,0.4,2,3,0.4,23.6,32,0.49,5.29,,,,
103,Penn State,Big Ten (East),4,5,0.444,4,5,0.444,29.8,27.7,4.22,3.99,7,7,,
104,Kansas,Big 12,0,9,0,0,8,0,15.8,46,-13.53,7.25,,,,
105,Baylor,Big 12,2,7,0.222,2,7,0.222,23.3,29.2,0.48,5.81,,,,
106,Texas Tech,Big 12,4,6,0.4,3,6,0.333,29.1,36.7,-1.67,3.53,,,,
107,Kansas State,Big 12,4,6,0.4,4,5,0.444,26.6,32.2,-0.01,4.5,,16,,
108,West Virginia,Big 12,6,4,0.6,4,4,0.5,26.5,20.5,5.97,1.07,,,,
109,Texas Christian,Big 12,6,4,0.6,5,4,0.556,30.8,24.2,7.41,3.71,,,,
110,South Florida,American,1,8,0.111,0,7,0,23.1,39.9,-14.39,-1.28,,,,
111,Temple,American,1,6,0.143,1,6,0.143,19.9,37.1,-19.25,-3.83,,,,
112,East Carolina,American,3,6,0.333,3,5,0.375,30.2,35.4,-6.43,-1.98,,,,
113,Tulane,American,6,6,0.5,3,5,0.375,34.7,28.1,-0.71,-4.3,,,,
114,Navy,American,3,7,0.3,3,4,0.429,16.6,30.3,-10.08,-0.88,,,,
115,Houston,American,3,5,0.375,3,3,0.5,30,32,-2.84,0.53,,,,
116,SMU,American,7,3,0.7,4,3,0.571,38.6,30.9,0.06,-6.14,,16,,
117,UCF,American,6,4,0.6,5,3,0.625,42.2,33.2,5.92,-1.78,21,11,,
118,Memphis,American,8,3,0.727,5,3,0.625,31,27.9,-1.29,-5.56,,16,,
119,Tulsa,American,6,3,0.667,6,0,1,27.1,21.6,5.2,0.42,,18,,
120,Duke,ACC (Coastal),2,9,0.182,1,9,0.1,24.8,38.1,-12.88,-1.6,,,,
121,Georgia Tech,ACC (Coastal),3,7,0.3,3,6,0.333,23.9,36.8,-7.85,0.05,,,,
122,Virginia,ACC (Coastal),5,5,0.5,4,5,0.444,30.7,29.6,-0.39,-0.09,,,,
123,Virginia Tech,ACC (Coastal),5,6,0.455,5,5,0.5,31.1,32.1,1.51,1.78,,19,,
124,Pitt,ACC (Coastal),6,5,0.545,5,5,0.5,29,24.5,1.54,-1.19,,21,,
125,Syracuse,ACC (Atlantic),1,10,0.091,1,9,0.1,17.8,32.7,-12.92,1.53,,,,
126,Florida State,ACC (Atlantic),3,6,0.333,2,6,0.25,25.8,36,-8.87,-1.54,,,,
127,Louisville,ACC (Atlantic),4,7,0.364,3,7,0.3,29.5,26.6,-0.78,-1.87,,18,,
128,Wake Forest,ACC (Atlantic),4,5,0.444,3,4,0.429,36,32.8,-0.33,0.12,,,,
129,Boston College,ACC (Atlantic),6,5,0.545,5,5,0.5,27.8,28.4,-0.04,-0.59,,,,
130,North Carolina State,ACC (Atlantic),8,4,0.667,7,3,0.7,30.3,29.2,0.35,-1.57,,23,,
