Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
216,Will Collins,Louisiana-Monroe,Sun Belt,6,19,40,47.5,233,2,5.0,3,7.5,5.8,3.45,12.3,38.8,97.9,,will-collins-2
217,Jason Stewart*,Memphis,American,5,21,32,65.6,229,2,6.3,0,0.0,7.2,8.41,10.9,45.8,146.4,,jason-stewart-3
218,Joe Burrow*,Ohio State,Big Ten,6,22,28,78.6,226,2,7.1,0,0.0,8.1,9.50,10.3,37.7,169.9,,joe-burrow-1
219,Connor White,Texas State,Sun Belt,5,23,44,52.3,223,1,2.3,2,4.5,5.1,3.48,9.7,44.6,93.3,,connor-white-1
220,Blake Barnett*,Alabama,SEC,3,11,19,57.9,219,2,10.5,0,0.0,11.5,13.63,19.9,73.0,189.5,,blake-barnett-2
221,Kyle Postma*,Houston,American,10,29,46,63.0,210,0,0.0,2,4.3,4.6,2.61,7.2,21.0,92.7,,kyle-postma-1
222,Max Bortenschlager*,Maryland,Big Ten,2,16,33,48.5,209,1,3.0,0,0.0,6.3,6.94,13.1,104.5,111.7,,max-bortenschlager-1
223,Eddie Printz,Texas State,Sun Belt,11,12,25,48.0,208,1,4.0,1,4.0,8.3,7.32,17.3,18.9,123.1,,eddie-printz-1
224,Kyle Kearns*,Wake Forest,ACC,5,13,35,37.1,206,0,0.0,2,5.7,5.9,3.31,15.8,41.2,75.2,,kyle-kearns-1
225,John Franklin III*,Auburn,SEC,13,14,26,53.8,204,1,3.8,0,0.0,7.8,8.62,14.6,15.7,132.4,,john-franklin-iii-1
226,Jack Milas,Ball State,MAC,12,20,38,52.6,199,1,2.6,2,5.3,5.2,3.39,10.0,16.6,94.8,,jack-milas-1
227,Parker Adamson*,Southern Mississippi,CUSA,4,19,39,48.7,193,1,2.6,0,0.0,4.9,5.46,10.2,48.3,98.7,,parker-adamson-1
228,Zander Diamont*,Indiana,Big Ten,8,9,15,60.0,192,1,6.7,1,6.7,12.8,11.13,21.3,24.0,176.2,,zander-diamont-1
229,Conner Cramer,New Mexico State,Sun Belt,8,17,39,43.6,188,2,5.1,3,7.7,4.8,2.38,11.1,23.5,85.6,,conner-cramer-1
230,Conor Blount,Oregon State,Pac-12,4,19,35,54.3,183,0,0.0,2,5.7,5.2,2.66,9.6,45.8,86.8,,conor-blount-1
231,Sawyer Smith*,Troy,Sun Belt,6,18,25,72.0,181,1,4.0,1,4.0,7.2,6.24,10.1,30.2,138.0,,sawyer-smith-1
232,Chris Carter*,Army,Ind,9,9,23,39.1,176,2,8.7,1,4.3,7.7,7.43,19.6,19.6,123.4,,chris-carter-7
233,Jalan McClendon*,North Carolina State,ACC,10,16,30,53.3,176,1,3.3,4,13.3,5.9,0.53,11.0,17.6,86.9,,jalan-mcclendon-1
234,Kendall Hinton*,Wake Forest,ACC,3,11,19,57.9,174,0,0.0,1,5.3,9.2,6.79,15.8,58.0,124.3,,kendall-hinton-1
235,John O'Korn*,Michigan,Big Ten,8,20,34,58.8,173,2,5.9,0,0.0,5.1,6.26,8.7,21.6,121.0,,john-okorn-1
236,Elijah Sindelar,Purdue,Big Ten,5,14,32,43.8,165,0,0.0,3,9.4,5.2,0.94,11.8,33.0,68.3,,elijah-sindelar-1
237,Matt Davis,SMU,American,1,8,17,47.1,155,2,11.8,1,5.9,9.1,8.82,19.4,155.0,150.7,,matt-davis-4
238,Quinten Dormady*,Tennessee,SEC,4,11,17,64.7,148,0,0.0,0,0.0,8.7,8.71,13.5,37.0,137.8,,quinten-dormady-1
239,Austin Kendall*,Oklahoma,Big 12,2,16,22,72.7,143,2,9.1,0,0.0,6.5,8.32,8.9,71.5,157.3,,austin-kendall-1
240,Blake LaRussa*,Old Dominion,CUSA,10,14,24,58.3,140,0,0.0,1,4.2,5.8,3.96,10.0,14.0,99.0,,blake-larussa-1
241,Brandon Harris*,LSU,SEC,4,13,25,52.0,139,1,4.0,2,8.0,5.6,2.76,10.7,34.8,95.9,,brandon-harris-4
242,Nick Patti*,UCF,American,12,12,23,52.2,137,0,0.0,0,0.0,6.0,5.96,11.4,11.4,102.2,,nick-patti-1
243,Kavika Johnson,UTEP,CUSA,12,12,21,57.1,131,1,4.8,1,4.8,6.2,5.05,10.9,10.9,115.7,,kavika-johnson-1
244,Brett Kean*,South Florida,American,8,18,26,69.2,129,2,7.7,1,3.8,5.0,4.77,7.2,16.1,128.6,,brett-kean-1
245,Malik Zaire,Notre Dame,Ind,8,11,23,47.8,122,1,4.3,0,0.0,5.3,6.17,11.1,15.3,106.7,,malik-zaire-1
246,Cooper Bateman*,Alabama,SEC,15,12,14,85.7,119,1,7.1,0,0.0,8.5,9.93,9.9,7.9,180.7,,cooper-bateman-1
247,Drew Eckels*,Western Kentucky,CUSA,7,6,12,50.0,118,2,16.7,0,0.0,9.8,13.17,19.7,16.9,187.6,,drew-eckels-1
248,Austin Wilson,Syracuse,ACC,2,17,27,63.0,116,0,0.0,2,7.4,4.3,0.96,6.8,58.0,84.2,,austin-wilson-2
249,Faton Bauta*,Colorado State,MWC,9,12,29,41.4,114,1,3.4,0,0.0,3.9,4.62,9.5,12.7,85.8,,faton-bauta-1
250,Marvin Zanders,Missouri,SEC,8,10,12,83.3,114,1,8.3,0,0.0,9.5,11.17,11.4,14.3,190.6,,marvin-zanders-1
251,Matt Johnson,Charlotte,CUSA,11,5,8,62.5,112,1,12.5,0,0.0,14.0,16.50,22.4,10.2,221.4,,matt-johnson-10
252,Matthew Jordan*,Georgia Tech,ACC,9,3,9,33.3,111,1,11.1,1,11.1,12.3,9.56,37.0,12.3,151.4,,matthew-jordan-1
253,Nick Jeanty,New Mexico State,Sun Belt,5,10,15,66.7,108,2,13.3,0,0.0,7.2,9.87,10.8,21.6,171.1,,nick-jeanty-1
254,Daniel Parr,Florida Atlantic,CUSA,9,15,36,41.7,106,0,0.0,2,5.6,2.9,0.44,7.1,11.8,55.3,,daniel-parr-1
255,Jason Pellerin,Ole Miss,SEC,9,11,22,50.0,104,2,9.1,3,13.6,4.7,0.41,9.5,11.6,92.4,,jason-pellerin-1
256,K.J. Carta-Samuels*,Washington,Pac-12,9,9,13,69.2,104,3,23.1,0,0.0,8.0,12.62,11.6,11.6,212.6,,kj-carta-samuels-1
