,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
550,Darmontre Warr*,Western Kentucky,CUSA,14,35,124,3.5,2,8.9,2,16,8.0,0,1.1,37,140,3.8,2,,darmontre-warr-1
551,Bradan Smith,Charlotte,CUSA,6,20,122,6.1,0,20.3,3,11,3.7,1,1.8,23,133,5.8,1,,bradan-smith-1
552,Jordan Whitehead*,Pitt,ACC,13,12,122,10.2,2,9.4,2,10,5.0,0,0.8,14,132,9.4,2,,jordan-whitehead-1
553,Isaiah Robinson,Wake Forest,ACC,12,39,120,3.1,0,10.0,6,57,9.5,0,4.8,45,177,3.9,0,,isaiah-robinson-2
554,Mose Frazier*,Memphis,American,13,17,119,7.0,2,9.2,70,797,11.4,4,61.3,87,916,10.5,6,,mose-frazier-1
555,Reggie Bell,Eastern Michigan,MAC,7,39,118,3.0,0,16.9,1,-4,-4.0,0,-0.6,40,114,2.9,0,,reggie-bell-1
556,Tyler Campbell,Army,Ind,8,17,118,6.9,1,14.8,3,57,19.0,0,7.1,20,175,8.8,1,,tyler-campbell-4
557,Tyrone Owens*,New Mexico,MWC,12,24,118,4.9,3,9.8,0,0,,0,0.0,24,118,4.9,3,,tyrone-owens-1
558,Isaiah McKenzie*,Georgia,SEC,10,11,117,10.6,2,11.7,10,123,12.3,0,12.3,21,240,11.4,2,,isaiah-mckenzie-1
559,Matt Domer*,Bowling Green,MAC,9,8,117,14.6,1,13.0,0,0,,0,0.0,8,117,14.6,1,,matt-domer-1
560,Chris Johnson*,Baylor,Big 12,9,34,116,3.4,1,12.9,3,37,12.3,0,4.1,37,153,4.1,1,,chris-johnson-13
561,Greg Windham*,Ohio,MAC,10,27,116,4.3,0,11.6,0,0,,0,0.0,27,116,4.3,0,,greg-windham-1
562,KaVontae Turpin*,Texas Christian,Big 12,13,20,116,5.8,0,8.9,45,649,14.4,8,49.9,65,765,11.8,8,,kavontae-turpin-1
563,Will Grier*,Florida,SEC,6,36,116,3.2,2,19.3,0,0,,0,0.0,36,116,3.2,2,,will-grier-1
564,Charles Nelson*,Oregon,Pac-12,12,6,115,19.2,1,9.6,17,270,15.9,3,22.5,23,385,16.7,4,,charles-nelson-2
565,Sekai Lindsay,Massachusetts,MAC,6,34,114,3.4,1,19.0,5,28,5.6,0,4.7,39,142,3.6,1,,sekai-lindsay-1
566,Damien Harris*,Alabama,SEC,12,36,113,3.1,0,9.4,4,13,3.3,0,1.1,40,126,3.2,0,,damien-harris-1
567,Lynn Griffin,Georgia Tech,ACC,12,14,113,8.1,0,9.4,0,0,,0,0.0,14,113,8.1,0,,lynn-griffin-1
568,Montell Cozart,Kansas,Big 12,5,45,113,2.5,1,22.6,0,0,,0,0.0,45,113,2.5,1,,montell-cozart-1
569,Jared Cornelius*,Arkansas,SEC,9,7,112,16.0,2,12.4,24,393,16.4,3,43.7,31,505,16.3,5,,jared-cornelius-1
570,J.D. McKissic*,Arkansas State,Sun Belt,13,18,112,6.2,0,8.6,52,525,10.1,2,40.4,70,637,9.1,2,,jd-mckissic-1
571,Alex Erickson*,Wisconsin,Big Ten,13,7,111,15.9,0,8.5,77,978,12.7,3,75.2,84,1089,13.0,3,,alex-erickson-1
572,Corey Coleman*,Baylor,Big 12,12,22,111,5.0,0,9.3,74,1363,18.4,20,113.6,96,1474,15.4,20,AA,corey-coleman-1
573,Johnathan Vickers*,Florida State,ACC,9,23,111,4.8,1,12.3,5,39,7.8,1,4.3,28,150,5.4,2,,johnathan-vickers-1
574,Nate Romine*,Air Force,MWC,3,22,111,5.0,1,37.0,0,0,,0,0.0,22,111,5.0,1,,nate-romine-1
575,Pharoh Cooper,South Carolina,SEC,12,24,111,4.6,1,9.3,66,973,14.7,8,81.1,90,1084,12.0,9,,pharoh-cooper-1
576,Damion Hobbs*,Utah State,MWC,7,20,110,5.5,1,15.7,0,0,,0,0.0,20,110,5.5,1,,damion-hobbs-1
577,Malik Dear*,Mississippi State,SEC,11,11,110,10.0,1,10.0,22,217,9.9,2,19.7,33,327,9.9,3,,malik-dear-1
578,Marcus Jones*,Northern Illinois,MAC,11,8,109,13.6,1,9.9,0,0,,0,0.0,8,109,13.6,1,,marcus-jones-9
579,Rodrick Williams Jr.*,Minnesota,Big Ten,13,33,108,3.3,1,8.3,4,58,14.5,0,4.5,37,166,4.5,1,,rodrick-williams-jr-1
580,Brandon Allen*,Arkansas,SEC,13,56,107,1.9,1,8.2,1,11,11.0,0,0.8,57,118,2.1,1,,brandon-allen-2
581,Dami Ayoola,South Alabama,Sun Belt,12,38,107,2.8,0,8.9,1,0,0.0,0,0.0,39,107,2.7,0,,dami-ayoola-1
582,William Crest*,West Virginia,Big 12,10,20,107,5.4,1,10.7,4,29,7.3,0,2.9,24,136,5.7,1,,william-crest-1
583,Zach Terrell*,Western Michigan,MAC,13,77,107,1.4,3,8.2,1,25,25.0,0,1.9,78,132,1.7,3,,zach-terrell-1
584,Alonzo Moore*,Nebraska,Big Ten,12,14,106,7.6,0,8.8,24,395,16.5,6,32.9,38,501,13.2,6,,alonzo-moore-1
585,Nick Patti,UCF,American,12,30,106,3.5,2,8.8,13,104,8.0,1,8.7,43,210,4.9,3,,nick-patti-1
586,Anthon Samuel,Florida International,CUSA,8,32,104,3.3,1,13.0,4,16,4.0,0,2.0,36,120,3.3,1,,anthon-samuel-2
587,Bo Scarbrough*,Alabama,SEC,7,18,104,5.8,1,14.9,0,0,,0,0.0,18,104,5.8,1,,bo-scarbrough-1
588,Ryan Graham*,Northern Illinois,MAC,10,69,104,1.5,0,10.4,0,0,,0,0.0,69,104,1.5,0,,ryan-graham-1
589,Malik Zaire*,Notre Dame,Ind,2,19,103,5.4,0,51.5,0,0,,0,0.0,19,103,5.4,0,,malik-zaire-1
590,Anthony Davis*,Western Kentucky,CUSA,13,25,102,4.1,1,7.8,2,5,2.5,0,0.4,27,107,4.0,1,,anthony-davis-7
591,Devante McFarlane,Syracuse,ACC,11,35,102,2.9,0,9.3,2,27,13.5,0,2.5,37,129,3.5,0,,devante-mcfarlane-1
592,Kyle Allen*,Texas A&M,SEC,11,65,102,1.6,2,9.3,1,28,28.0,0,2.5,66,130,2.0,2,,kyle-allen-1
593,Myles Washington,Kent State,MAC,6,32,102,3.2,0,17.0,4,26,6.5,0,4.3,36,128,3.6,0,,myles-washington-1
594,Shane Williams-Rhodes*,Boise State,MWC,11,13,102,7.8,1,9.3,63,524,8.3,0,47.6,76,626,8.2,1,,shane-williams-rhodes-1
595,Aub Duty-Tyson*,Air Force,MWC,10,24,101,4.2,1,10.1,0,0,,0,0.0,24,101,4.2,1,,aub-duty-tyson-1
596,Mark Allen*,Penn State,Big Ten,8,28,101,3.6,1,12.6,4,44,11.0,1,5.5,32,145,4.5,2,,mark-allen-5
597,Mitch Trubisky*,North Carolina,ACC,9,16,101,6.3,3,11.2,0,0,,0,0.0,16,101,6.3,3,,mitch-trubisky-1
598,Ryan Schadler,Kansas,Big 12,12,20,100,5.0,0,8.3,0,0,,0,0.0,20,100,5.0,0,,ryan-schadler-1
599,Luke Turner,Rice,CUSA,12,32,99,3.1,6,8.3,8,122,15.3,2,10.2,40,221,5.5,8,,luke-turner-1
600,C.J. Best,Texas State,Sun Belt,12,16,98,6.1,1,8.2,58,591,10.2,1,49.3,74,689,9.3,2,,cj-best-1
601,Deontae Cooper*,Washington,Pac-12,10,16,98,6.1,1,9.8,2,4,2.0,0,0.4,18,102,5.7,1,,deontae-cooper-1
602,John Fadule,Boston College,ACC,3,39,98,2.5,0,32.7,0,0,,0,0.0,39,98,2.5,0,,john-fadule-1
603,Dontreal Pruitt,Troy,Sun Belt,9,36,97,2.7,1,10.8,0,0,,0,0.0,36,97,2.7,1,,dontreal-pruitt-1
604,Shaun Wick,Wyoming,MWC,4,43,97,2.3,1,24.3,5,49,9.8,1,12.3,48,146,3.0,2,,shaun-wick-1
605,Brandon Reilly*,Nebraska,Big Ten,13,11,96,8.7,0,7.4,40,754,18.9,4,58.0,51,850,16.7,4,,brandon-reilly-1
606,Brandon Wimbush*,Notre Dame,Ind,2,7,96,13.7,1,48.0,0,0,,0,0.0,7,96,13.7,1,,brandon-wimbush-1
607,Chayce Crouch,Illinois,Big Ten,10,25,96,3.8,1,9.6,0,0,,0,0.0,25,96,3.8,1,,chayce-crouch-1
608,Alex McGough,Florida International,CUSA,12,88,95,1.1,3,7.9,0,0,,0,0.0,88,95,1.1,3,,alex-mcgough-1
609,David Blough,Purdue,Big Ten,10,67,94,1.4,4,9.4,1,9,9.0,0,0.9,68,103,1.5,4,,david-blough-1
610,Tyler Brown,Iowa State,Big 12,6,24,94,3.9,0,15.7,4,24,6.0,0,4.0,28,118,4.2,0,,tyler-brown-1
611,Cody Clements,South Alabama,Sun Belt,12,84,93,1.1,3,7.8,1,7,7.0,1,0.6,85,100,1.2,4,,cody-clements-1
612,Jordy Joseph,Tulane,American,6,19,93,4.9,0,15.5,0,0,,0,0.0,19,93,4.9,0,,jordy-joseph-1
613,Tonny Lindsey*,Utah State,MWC,9,12,93,7.8,0,10.3,2,2,1.0,0,0.2,14,95,6.8,0,,tonny-lindsey-1
614,William Likely,Maryland,Big Ten,11,11,93,8.5,0,8.5,5,17,3.4,0,1.5,16,110,6.9,0,,william-likely-1
615,Austin Appleby,Purdue,Big Ten,5,56,92,1.6,4,18.4,0,0,,0,0.0,56,92,1.6,4,,austin-appleby-1
616,Colin Reardon,Kent State,MAC,9,39,92,2.4,0,10.2,0,0,,0,0.0,39,92,2.4,0,,colin-reardon-1
617,Jeff Lockie*,Oregon,Pac-12,6,34,92,2.7,0,15.3,0,0,,0,0.0,34,92,2.7,0,,jeff-lockie-1
618,Kaliq Kokuma*,Houston,American,3,18,92,5.1,0,30.7,0,0,,0,0.0,18,92,5.1,0,,kaliq-kokuma-1
619,Malik Roberson*,San Jose State,MWC,9,24,92,3.8,0,10.2,5,70,14.0,0,7.8,29,162,5.6,0,,malik-roberson-1
620,Bri'Onte Dunn*,Ohio State,Big Ten,13,14,91,6.5,1,7.0,1,0,0.0,0,0.0,15,91,6.1,1,,brionte-dunn-1
621,Tyshon Dye*,Clemson,ACC,6,23,91,4.0,2,15.2,0,0,,0,0.0,23,91,4.0,2,,tyshon-dye-1
622,Cory Young*,Boise State,MWC,10,17,90,5.3,0,9.0,0,0,,0,0.0,17,90,5.3,0,,cory-young-1
623,Trey Anderson,Florida International,CUSA,7,10,90,9.0,0,12.9,0,0,,0,0.0,10,90,9.0,0,,trey-anderson-1
624,Marquez Grayson,East Carolina,American,4,13,88,6.8,0,22.0,0,0,,0,0.0,13,88,6.8,0,,marquez-grayson-1
625,Devante Kincade*,Ole Miss,SEC,3,9,87,9.7,0,29.0,0,0,,0,0.0,9,87,9.7,0,,devante-kincade-1
626,James Flanders*,Tulsa,American,7,21,87,4.1,0,12.4,1,5,5.0,0,0.7,22,92,4.2,0,,james-flanders-1
627,Joshua Tapscott,Wyoming,MWC,9,17,86,5.1,0,9.6,2,10,5.0,1,1.1,19,96,5.1,1,,joshua-tapscott-1
628,Matt Johns,Virginia,ACC,12,61,86,1.4,1,7.2,0,0,,0,0.0,61,86,1.4,1,,matt-johns-1
629,Riley Burt*,BYU,Ind,8,14,86,6.1,0,10.8,0,0,,0,0.0,14,86,6.1,0,,riley-burt-1
630,Winston Dimel*,Kansas State,Big 12,13,28,86,3.1,6,6.6,8,261,32.6,2,20.1,36,347,9.6,8,,winston-dimel-1
631,Spencer McInnis,Miami (OH),MAC,12,30,85,2.8,0,7.1,4,49,12.3,0,4.1,34,134,3.9,0,,spencer-mcinnis-1
632,Bralon Addison*,Oregon,Pac-12,13,17,84,4.9,2,6.5,63,804,12.8,10,61.8,80,888,11.1,12,,bralon-addison-1
633,Hansel Wilson*,San Jose State,MWC,13,6,84,14.0,0,6.5,35,475,13.6,4,36.5,41,559,13.6,4,,hansel-wilson-1
634,Ikaika Woolsey,Hawaii,MWC,13,47,84,1.8,2,6.5,0,0,,0,0.0,47,84,1.8,2,,ikaika-woolsey-1
635,Kellen Overstreet,Wyoming,MWC,12,16,84,5.3,1,7.0,3,33,11.0,0,2.8,19,117,6.2,1,,kellen-overstreet-1
636,Mike Bercovici*,Arizona State,Pac-12,13,109,84,0.8,6,6.5,0,0,,0,0.0,109,84,0.8,6,,mike-bercovici-1
637,Shawn White*,Navy,American,13,19,84,4.4,1,6.5,2,16,8.0,0,1.2,21,100,4.8,1,,shawn-white-1
638,Brooks Haack,Louisiana,Sun Belt,10,46,83,1.8,2,8.3,0,0,,0,0.0,46,83,1.8,2,,brooks-haack-1
639,Shawn Furlow,East Carolina,American,9,25,83,3.3,0,9.2,0,0,,0,0.0,25,83,3.3,0,,shawn-furlow-1
640,Corey Acker*,Northwestern,Big Ten,12,8,82,10.3,0,6.8,0,0,,0,0.0,8,82,10.3,0,,corey-acker-1
641,Dexter Williams*,Notre Dame,Ind,7,21,81,3.9,1,11.6,0,0,,0,0.0,21,81,3.9,1,,dexter-williams-1
642,Dontae Strickland,Syracuse,ACC,12,21,81,3.9,1,6.8,9,137,15.2,2,11.4,30,218,7.3,3,,dontae-strickland-2
643,Rodney Adams*,South Florida,American,13,10,81,8.1,1,6.2,45,822,18.3,9,63.2,55,903,16.4,10,,rodney-adams-1
644,Blake Martin*,Louisiana Tech,CUSA,12,20,80,4.0,1,6.7,2,14,7.0,0,1.2,22,94,4.3,1,,blake-martin-1
645,Janarion Grant,Rutgers,Big Ten,12,8,80,10.0,0,6.7,35,352,10.1,1,29.3,43,432,10.0,1,,janarion-grant-1
646,Ricky Fergerson*,Appalachian State,Sun Belt,11,11,80,7.3,1,7.3,1,19,19.0,0,1.7,12,99,8.3,1,,ricky-fergerson-1
647,D.J. Chark*,LSU,SEC,5,1,79,79.0,1,15.8,0,11,,0,2.2,1,90,90.0,1,,dj-chark-1
648,Ryan Tuiasoa,Hawaii,MWC,13,18,79,4.4,0,6.1,1,10,10.0,0,0.8,19,89,4.7,0,,ryan-tuiasoa-1
649,D.K. Buford*,Ole Miss,SEC,10,7,78,11.1,1,7.8,0,0,,0,0.0,7,78,11.1,1,,dk-buford-1
650,Donovan Wilson*,Bowling Green,MAC,9,36,78,2.2,7,8.7,1,2,2.0,0,0.2,37,80,2.2,7,,donovan-wilson-1
651,Garrison Duncan,Charlotte,CUSA,11,23,78,3.4,0,7.1,0,0,,0,0.0,23,78,3.4,0,,garrison-duncan-1
652,Kendrick Foster,Illinois,Big Ten,7,15,78,5.2,1,11.1,0,0,,0,0.0,15,78,5.2,1,,kendrick-foster-1
653,Nate German,Rice,CUSA,8,4,78,19.5,1,9.8,18,379,21.1,3,47.4,22,457,20.8,4,,nate-german-1
654,Nick Mitchell,Oregon State,Pac-12,5,35,78,2.2,1,15.6,1,11,11.0,0,2.2,36,89,2.5,1,,nick-mitchell-3
655,James Conner*,Pitt,ACC,1,8,77,9.6,2,77.0,1,7,7.0,0,7.0,9,84,9.3,2,,james-conner-1
656,Darius Hoggins,Louisiana,Sun Belt,6,7,76,10.9,0,12.7,0,0,,0,0.0,7,76,10.9,0,,darius-hoggins-1
657,Nicodem Pierre*,Duke,ACC,11,15,76,5.1,0,6.9,1,-2,-2.0,0,-0.2,16,74,4.6,0,,nicodem-pierre-1
658,P.J. Simmons,Kent State,MAC,11,13,76,5.8,0,6.9,17,115,6.8,0,10.5,30,191,6.4,0,,pj-simmons-1
659,Qua Searcy,Georgia Tech,ACC,3,13,76,5.8,1,25.3,3,45,15.0,1,15.0,16,121,7.6,2,,qua-searcy-1
660,Simms McElfresh*,Appalachian State,Sun Belt,12,8,76,9.5,1,6.3,38,466,12.3,6,38.8,46,542,11.8,7,,simms-mcelfresh-1
661,Andrew Tucker,North Texas,CUSA,11,15,75,5.0,0,6.8,1,4,4.0,0,0.4,16,79,4.9,0,,andrew-tucker-1
662,Kesean Strong,Old Dominion,CUSA,12,27,75,2.8,1,6.3,6,46,7.7,0,3.8,33,121,3.7,1,,kesean-strong-1
663,Shadrach Abrokwah,Massachusetts,MAC,5,11,75,6.8,0,15.0,0,0,,0,0.0,11,75,6.8,0,,shadrach-abrokwah-1
664,Jordan Ellis,Virginia,ACC,9,24,74,3.1,2,8.2,0,0,,0,0.0,24,74,3.1,2,,jordan-ellis-2
665,Mark Chapman*,Central Michigan,MAC,13,9,74,8.2,1,5.7,43,559,13.0,1,43.0,52,633,12.2,2,,mark-chapman-2
666,Andrew Wilson*,Indiana,Big Ten,9,24,73,3.0,1,8.1,1,14,14.0,0,1.6,25,87,3.5,1,,andrew-wilson-3
667,Darius Wade,Boston College,ACC,3,22,73,3.3,0,24.3,0,0,,0,0.0,22,73,3.3,0,,darius-wade-1
668,Demarcus Felton*,Texas Tech,Big 12,13,6,73,12.2,1,5.6,0,0,,0,0.0,6,73,12.2,1,,demarcus-felton-1
669,Ellijah Wellman*,West Virginia,Big 12,13,14,73,5.2,1,5.6,5,16,3.2,2,1.2,19,89,4.7,3,,ellijah-wellman-1
670,Jake Luton,Idaho,Sun Belt,8,27,73,2.7,5,9.1,0,0,,0,0.0,27,73,2.7,5,,jake-luton-1
671,Richard Wilson,Boston College,ACC,11,25,73,2.9,1,6.6,1,7,7.0,1,0.6,26,80,3.1,2,,richard-wilson-4
672,Braxton Berrios*,Miami (FL),ACC,11,4,72,18.0,0,6.5,12,86,7.2,0,7.8,16,158,9.9,0,,braxton-berrios-1
673,Chad Banschbach*,Cincinnati,American,11,19,72,3.8,0,6.5,1,16,16.0,0,1.5,20,88,4.4,0,,chad-banschbach-1
674,Christian Chapman*,San Diego State,MWC,9,16,72,4.5,0,8.0,0,0,,0,0.0,16,72,4.5,0,,christian-chapman-1
675,Jabrill Peppers*,Michigan,Big Ten,12,18,72,4.0,2,6.0,8,79,9.9,0,6.6,26,151,5.8,2,,jabrill-peppers-1
676,Ricky Brookins*,Indiana,Big Ten,7,10,72,7.2,0,10.3,0,0,,0,0.0,10,72,7.2,0,,ricky-brookins-1
677,Taysom Hill*,BYU,Ind,1,9,72,8.0,2,72.0,0,0,,0,0.0,9,72,8.0,2,,taysom-hill-1
678,Earnest Carrington,Louisiana-Monroe,Sun Belt,8,34,71,2.1,1,8.9,0,0,,0,0.0,34,71,2.1,1,,earnest-carrington-1
679,Trever Ryen,Iowa State,Big 12,12,16,71,4.4,1,5.9,18,191,10.6,1,15.9,34,262,7.7,2,,trever-ryen-1
680,Austin Grammer*,Middle Tennessee State,CUSA,13,18,70,3.9,1,5.4,9,111,12.3,0,8.5,27,181,6.7,1,,austin-grammer-1
681,Jarrett Stidham*,Baylor,Big 12,10,36,70,1.9,2,7.0,0,0,,0,0.0,36,70,1.9,2,,jarrett-stidham-1
682,Jermichael Selders,New Mexico State,Sun Belt,7,14,70,5.0,0,10.0,1,-1,-1.0,0,-0.1,15,69,4.6,0,,jermichael-selders-2
683,Bo Hardy*,Ohio,MAC,5,5,69,13.8,0,13.8,0,0,,0,0.0,5,69,13.8,0,,bo-hardy-1
684,David Greene,Nevada-Las Vegas,MWC,8,11,69,6.3,0,8.6,0,0,,0,0.0,11,69,6.3,0,,david-greene-3
685,Dominic Davis*,USC,Pac-12,14,14,69,4.9,0,4.9,7,102,14.6,0,7.3,21,171,8.1,0,,dominic-davis-1
686,Tim White*,Arizona State,Pac-12,13,2,69,34.5,0,5.3,57,633,11.1,8,48.7,59,702,11.9,8,,tim-white-1
687,Trevor Knight*,Oklahoma,Big 12,6,16,69,4.3,1,11.5,0,0,,0,0.0,16,69,4.3,1,,trevor-knight-1
688,Connor White,Texas State,Sun Belt,5,16,68,4.3,0,13.6,0,0,,0,0.0,16,68,4.3,0,,connor-white-1
689,Damion Terry*,Michigan State,Big Ten,10,21,68,3.2,0,6.8,0,0,,0,0.0,21,68,3.2,0,,damion-terry-1
690,David Anaya*,New Mexico,MWC,13,18,68,3.8,1,5.2,2,29,14.5,1,2.2,20,97,4.9,2,,david-anaya-1
691,Jacob Hill,Syracuse,ACC,10,18,68,3.8,0,6.8,0,0,,0,0.0,18,68,3.8,0,,jacob-hill-1
692,Jake Coker*,Alabama,SEC,15,74,68,0.9,2,4.5,0,0,,0,0.0,74,68,0.9,2,,jake-coker-1
693,Jakeem Grant*,Texas Tech,Big 12,13,8,68,8.5,2,5.2,90,1268,14.1,10,97.5,98,1336,13.6,12,,jakeem-grant-1
694,Johnathan Alston*,North Carolina State,ACC,13,4,68,17.0,0,5.2,18,167,9.3,1,12.8,22,235,10.7,1,,johnathan-alston-1
695,Brady Swilling,Georgia Tech,ACC,2,13,67,5.2,1,33.5,0,0,,0,0.0,13,67,5.2,1,,brady-swilling-1
696,John Wolford,Wake Forest,ACC,11,73,67,0.9,3,6.1,0,0,,0,0.0,73,67,0.9,3,,john-wolford-1
697,Treyvon Hughes,UTEP,CUSA,9,25,67,2.7,0,7.4,0,0,,0,0.0,25,67,2.7,0,,treyvon-hughes-1
698,Tyler Matthews*,Southern Mississippi,CUSA,5,8,67,8.4,1,13.4,0,0,,0,0.0,8,67,8.4,1,,tyler-matthews-1
699,Colten Christensen*,Texas Christian,Big 12,10,16,66,4.1,1,6.6,0,0,,0,0.0,16,66,4.1,1,,colten-christensen-1
700,Shaun Nixon*,Texas Christian,Big 12,13,16,66,4.1,0,5.1,47,501,10.7,1,38.5,63,567,9.0,1,,shaun-nixon-1
701,Tyler Rogers,New Mexico State,Sun Belt,4,29,66,2.3,1,16.5,0,0,,0,0.0,29,66,2.3,1,,tyler-rogers-1
702,Antwane Grant*,Western Kentucky,CUSA,14,3,65,21.7,1,4.6,55,701,12.7,7,50.1,58,766,13.2,8,,antwane-grant-1
703,Bram Kohlhausen*,Texas Christian,Big 12,8,18,65,3.6,2,8.1,0,0,,0,0.0,18,65,3.6,2,,bram-kohlhausen-1
704,Darrel Colbert,SMU,American,7,30,65,2.2,0,9.3,0,0,,0,0.0,30,65,2.2,0,,darrel-colbert-1
705,Henry Bussey,Florida Atlantic,CUSA,12,14,65,4.6,0,5.4,29,236,8.1,0,19.7,43,301,7.0,0,,henry-bussey-1
706,Nick Brossette*,LSU,SEC,9,12,65,5.4,0,7.2,1,-1,-1.0,0,-0.1,13,64,4.9,0,,nick-brossette-1
707,Noah Hickey*,Georgia Southern,Sun Belt,10,9,65,7.2,0,6.5,0,0,,0,0.0,9,65,7.2,0,,noah-hickey-1
708,Dalvin Warmack*,Kansas State,Big 12,9,12,64,5.3,0,7.1,2,27,13.5,0,3.0,14,91,6.5,0,,dalvin-warmack-1
709,Joe Young*,Tennessee,SEC,5,19,64,3.4,1,12.8,0,0,,0,0.0,19,64,3.4,1,,joe-young-6
710,Michael Julian*,Toledo,MAC,4,6,64,10.7,0,16.0,0,0,,0,0.0,6,64,10.7,0,,michael-julian-1
711,Patrick Towles,Kentucky,SEC,11,71,64,0.9,5,5.8,1,1,1.0,0,0.1,72,65,0.9,5,,patrick-towles-1
712,Romar Morris*,North Carolina,ACC,14,10,64,6.4,1,4.6,9,54,6.0,0,3.9,19,118,6.2,1,,romar-morris-1
713,Nicholas Norris*,Western Kentucky,CUSA,14,6,63,10.5,1,4.5,63,971,15.4,6,69.4,69,1034,15.0,7,,nicholas-norris-1
714,Damien Haskins,Oregon State,Pac-12,8,7,62,8.9,0,7.8,0,0,,0,0.0,7,62,8.9,0,,damien-haskins-1
715,Joe Kerridge*,Michigan,Big Ten,11,14,62,4.4,1,5.6,5,33,6.6,0,3.0,19,95,5.0,1,,joe-kerridge-1
716,Marcus Caffey*,Georgia State,Sun Belt,2,12,62,5.2,0,31.0,0,0,,0,0.0,12,62,5.2,0,,marcus-caffey-1
717,Steven Bench*,South Florida,American,8,9,62,6.9,2,7.8,0,0,,0,0.0,9,62,6.9,2,,steven-bench-1
718,Traveon Samuel*,Louisville,ACC,13,5,62,12.4,0,4.8,18,177,9.8,1,13.6,23,239,10.4,1,,traveon-samuel-1
719,Nate Sudfeld*,Indiana,Big Ten,12,46,61,1.3,5,5.1,0,0,,0,0.0,46,61,1.3,5,,nate-sudfeld-1
720,Romell Jordan*,New Mexico,MWC,8,15,61,4.1,0,7.6,4,33,8.3,0,4.1,19,94,4.9,0,,romell-jordan-1
721,Stedman Mayberry,Texas State,Sun Belt,6,14,61,4.4,0,10.2,5,26,5.2,0,4.3,19,87,4.6,0,,stedman-mayberry-1
722,A.J. Ezzard,North Texas,CUSA,6,14,60,4.3,1,10.0,1,8,8.0,0,1.3,15,68,4.5,1,,aj-ezzard-1
723,C.J. Davidson*,Clemson,ACC,12,22,60,2.7,0,5.0,0,0,,0,0.0,22,60,2.7,0,,cj-davidson-1
724,Jarrett Burgess,Purdue,Big Ten,11,3,60,20.0,1,5.5,0,20,,0,1.8,3,80,26.7,1,,jarrett-burgess-1
725,Jay Roberson*,Central Michigan,MAC,8,18,60,3.3,0,7.5,5,42,8.4,0,5.3,23,102,4.4,0,,jay-roberson-1
726,Kenneth Goins Jr.,Maryland,Big Ten,12,9,60,6.7,1,5.0,2,14,7.0,1,1.2,11,74,6.7,2,,kenneth-goins-jr-1
727,Van Edwards Jr.*,Akron,MAC,12,14,60,4.3,0,5.0,0,0,,0,0.0,14,60,4.3,0,,van-edwards-jr-1
728,Jae'Lon Oglesby*,Memphis,American,9,6,59,9.8,0,6.6,20,167,8.4,1,18.6,26,226,8.7,1,,jaelon-oglesby-1
729,Malique Micenheimer,Fresno State,MWC,9,18,59,3.3,0,6.6,9,51,5.7,0,5.7,27,110,4.1,0,,malique-micenheimer-1
730,Thomas Stuart*,Boise State,MWC,9,29,59,2.0,3,6.6,0,0,,0,0.0,29,59,2.0,3,,thomas-stuart-1
731,Henry Enyenihi,Illinois,Big Ten,7,20,58,2.9,1,8.3,4,15,3.8,0,2.1,24,73,3.0,1,,henry-enyenihi-1
732,Roosevelt Davis*,UCLA,Pac-12,12,13,58,4.5,0,4.8,0,0,,0,0.0,13,58,4.5,0,,roosevelt-davis-1
733,TaQuon Marshall,Georgia Tech,ACC,9,8,58,7.3,0,6.4,3,76,25.3,1,8.4,11,134,12.2,1,,taquon-marshall-1
734,Vegas Harley*,Georgia Southern,Sun Belt,11,9,58,6.4,1,5.3,0,0,,0,0.0,9,58,6.4,1,,vegas-harley-1
735,De'Chavon Hayes*,Arizona State,Pac-12,13,16,57,3.6,0,4.4,11,44,4.0,0,3.4,27,101,3.7,0,,dechavon-hayes-1
736,Joe Schobert*,Wisconsin,Big Ten,13,1,57,57.0,0,4.4,0,0,,0,0.0,1,57,57.0,0,,joe-schobert-1
737,Ty'Son Williams*,North Carolina,ACC,6,19,57,3.0,0,9.5,1,0,0.0,0,0.0,20,57,2.9,0,,tyson-williams-4
738,Aaron Grubb,UTSA,CUSA,12,12,56,4.7,0,4.7,42,344,8.2,3,28.7,54,400,7.4,3,,aaron-grubb-1
739,Auston Anderson*,Northwestern,Big Ten,6,13,56,4.3,0,9.3,0,0,,0,0.0,13,56,4.3,0,,auston-anderson-1
740,Connor Cook*,Michigan State,Big Ten,13,52,56,1.1,0,4.3,0,0,,0,0.0,52,56,1.1,0,H-9,connor-cook-1
741,Dejonte O'Neal,Fresno State,MWC,4,16,56,3.5,0,14.0,0,0,,0,0.0,16,56,3.5,0,,dejonte-oneal-1
742,Delton Williams*,Michigan State,Big Ten,9,26,56,2.2,1,6.2,2,15,7.5,0,1.7,28,71,2.5,1,,delton-williams-1
743,Nico Evans,Wyoming,MWC,10,14,56,4.0,0,5.6,1,4,4.0,0,0.4,15,60,4.0,0,,nico-evans-1
