,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
277,Dalton Sturm,UTSA,CUSA,10,128,361,2.8,1,36.1,1,-5,-5.0,0,-0.5,129,356,2.8,1,,dalton-sturm-1
278,Albert Reid,Virginia,ACC,11,66,360,5.5,3,32.7,12,47,3.9,0,4.3,78,407,5.2,3,,albert-reid-1
279,J.W. Walsh*,Oklahoma State,Big 12,13,77,359,4.7,13,27.6,0,0,,0,0.0,77,359,4.7,13,,jw-walsh-1
280,Glenn Smith*,Georgia State,Sun Belt,13,89,356,4.0,1,27.4,17,115,6.8,0,8.8,106,471,4.4,1,,glenn-smith-2
281,Kent Myers*,Utah State,MWC,9,85,356,4.2,3,39.6,0,0,,0,0.0,85,356,4.2,3,,kent-myers-1
282,Justin Silmon*,Kansas State,Big 12,13,78,355,4.6,2,27.3,1,3,3.0,0,0.2,79,358,4.5,2,,justin-silmon-1
283,Eric Dungey,Syracuse,ACC,8,91,351,3.9,5,43.9,1,-3,-3.0,0,-0.4,92,348,3.8,5,,eric-dungey-1
284,Keith Marshall*,Georgia,SEC,11,68,350,5.1,3,31.8,4,28,7.0,1,2.5,72,378,5.3,4,,keith-marshall-1
285,Tyler Boyd*,Pitt,ACC,12,40,349,8.7,0,29.1,91,926,10.2,6,77.2,131,1275,9.7,6,,tyler-boyd-1
286,Jamal Morrow*,Washington State,Pac-12,12,53,347,6.5,0,28.9,33,294,8.9,4,24.5,86,641,7.5,4,,jamal-morrow-1
287,Christian Powell,Colorado,Pac-12,13,71,339,4.8,4,26.1,6,64,10.7,0,4.9,77,403,5.2,4,,christian-powell-1
288,C.J. Jones,UCF,American,12,93,339,3.6,1,28.3,11,65,5.9,0,5.4,104,404,3.9,1,,cj-jones-6
289,Lajuan Hunt*,Utah State,MWC,13,106,338,3.2,5,26.0,27,231,8.6,1,17.8,133,569,4.3,6,,lajuan-hunt-1
290,Kaylon Watson,Louisiana-Monroe,Sun Belt,13,94,336,3.6,0,25.8,20,183,9.2,3,14.1,114,519,4.6,3,,kaylon-watson-1
291,Kevin Hogan*,Stanford,Pac-12,14,85,336,4.0,6,24.0,1,11,11.0,1,0.8,86,347,4.0,7,,kevin-hogan-2
292,Kyler Murray*,Texas A&M,SEC,8,53,335,6.3,1,41.9,0,0,,0,0.0,53,335,6.3,1,,kyler-murray-1
293,Francis Bernard*,BYU,Ind,10,52,334,6.4,7,33.4,17,156,9.2,2,15.6,69,490,7.1,9,,francis-bernard-1
294,Sam Craft*,Memphis,American,12,82,333,4.1,5,27.8,8,114,14.3,2,9.5,90,447,5.0,7,,sam-craft-1
295,Daniel Lasco*,California,Pac-12,10,65,331,5.1,3,33.1,4,24,6.0,0,2.4,69,355,5.1,3,,daniel-lasco-1
296,Gus Ragland,Miami (OH),MAC,11,57,331,5.8,2,30.1,0,0,,0,0.0,57,331,5.8,2,,gus-ragland-1
297,Keion Davis*,Marshall,CUSA,11,73,331,4.5,2,30.1,3,15,5.0,0,1.4,76,346,4.6,2,,keion-davis-1
298,Joel Lanning,Iowa State,Big 12,11,94,330,3.5,4,30.0,1,9,9.0,0,0.8,95,339,3.6,4,,joel-lanning-2
299,Kyler Neal*,Georgia State,Sun Belt,11,84,329,3.9,5,29.9,11,87,7.9,0,7.9,95,416,4.4,5,,kyler-neal-1
300,Warren Long*,Northwestern,Big Ten,13,60,329,5.5,5,25.3,3,27,9.0,0,2.1,63,356,5.7,5,,warren-long-1
301,Matt Johnson,Charlotte,CUSA,11,89,327,3.7,1,29.7,0,0,,0,0.0,89,327,3.7,1,,matt-johnson-10
302,Tony Pittman*,Marshall,CUSA,8,64,327,5.1,3,40.9,2,14,7.0,0,1.8,66,341,5.2,3,,tony-pittman-2
303,Adam Hine*,BYU,Ind,9,64,326,5.1,2,36.2,4,15,3.8,0,1.7,68,341,5.0,2,,adam-hine-1
304,Braeden West,SMU,American,12,62,326,5.3,2,27.2,13,142,10.9,0,11.8,75,468,6.2,2,,braeden-west-1
305,George Morris II,Syracuse,ACC,12,66,326,4.9,0,27.2,5,17,3.4,0,1.4,71,343,4.8,0,,george-morris-ii-1
306,Jahray Hayes*,Central Michigan,MAC,10,95,324,3.4,4,32.4,9,52,5.8,0,5.2,104,376,3.6,4,,jahray-hayes-1
307,Jeff Driskel*,Louisiana Tech,CUSA,13,92,323,3.5,5,24.8,0,0,,0,0.0,92,323,3.5,5,,jeff-driskel-1
308,Shayne Davern*,Air Force,MWC,6,46,323,7.0,4,53.8,1,33,33.0,0,5.5,47,356,7.6,4,,shayne-davern-1
309,Tyler Stewart*,Nevada,MWC,13,97,323,3.3,4,24.8,0,-5,,0,-0.4,97,318,3.3,4,,tyler-stewart-1
310,Benton Washington*,Air Force,MWC,11,55,321,5.8,4,29.2,2,1,0.5,0,0.1,57,322,5.6,4,,benton-washington-1
311,Demarcus Kirk*,Georgia State,Sun Belt,10,75,320,4.3,2,32.0,8,84,10.5,0,8.4,83,404,4.9,2,,demarcus-kirk-1
312,Jamarius Henderson*,Memphis,American,10,60,320,5.3,4,32.0,7,90,12.9,2,9.0,67,410,6.1,6,,jamarius-henderson-1
313,Nate Starks*,UCLA,Pac-12,11,50,320,6.4,5,29.1,7,49,7.0,1,4.5,57,369,6.5,6,,nate-starks-1
314,Mikel Horton,Kentucky,SEC,12,82,318,3.9,3,26.5,10,140,14.0,0,11.7,92,458,5.0,3,,mikel-horton-1
315,Quentin Ezell*,Navy,American,13,62,317,5.1,6,24.4,0,0,,0,0.0,62,317,5.1,6,,quentin-ezell-1
316,Wes Brown,Maryland,Big Ten,10,71,317,4.5,3,31.7,13,89,6.8,0,8.9,84,406,4.8,3,,wes-brown-2
317,Reggie Gallaspy II*,North Carolina State,ACC,12,66,316,4.8,4,26.3,4,39,9.8,0,3.3,70,355,5.1,4,,reggie-gallaspy-ii-1
318,Barry Sanders*,Stanford,Pac-12,11,51,315,6.2,4,28.6,1,11,11.0,0,1.0,52,326,6.3,4,,barry-sanders-2
319,Jacques Patrick*,Florida State,ACC,8,63,314,5.0,5,39.3,6,62,10.3,0,7.8,69,376,5.4,5,,jacques-patrick-1
320,Debrandon Sanders*,Navy,American,13,42,313,7.5,0,24.1,9,250,27.8,1,19.2,51,563,11.0,1,,debrandon-sanders-1
321,Sherman Badie,Tulane,American,12,72,310,4.3,2,25.8,27,284,10.5,0,23.7,99,594,6.0,2,,sherman-badie-1
322,D'Ernest Johnson*,South Florida,American,13,71,307,4.3,1,23.6,26,356,13.7,4,27.4,97,663,6.8,5,,dernest-johnson-1
323,David Williams,South Carolina,SEC,12,86,299,3.5,0,24.9,11,93,8.5,0,7.8,97,392,4.0,0,,david-williams-5
324,Jowan Davis,Rice,CUSA,10,71,297,4.2,1,29.7,5,29,5.8,0,2.9,76,326,4.3,1,,jowan-davis-1
325,Raymond Taylor*,Oklahoma State,Big 12,11,47,297,6.3,4,27.0,1,13,13.0,0,1.2,48,310,6.5,4,,raymond-taylor-1
326,Shon Carson,South Carolina,SEC,11,52,297,5.7,2,27.0,4,24,6.0,2,2.2,56,321,5.7,4,,shon-carson-1
327,Darrel Williams*,LSU,SEC,12,60,296,4.9,4,24.7,4,31,7.8,0,2.6,64,327,5.1,4,,darrel-williams-1
328,Joshua Thomas,Iowa State,Big 12,12,75,295,3.9,7,24.6,4,33,8.3,0,2.8,79,328,4.2,7,,joshua-thomas-1
329,Dustin Garrison,Fresno State,MWC,12,54,294,5.4,2,24.5,2,9,4.5,0,0.8,56,303,5.4,2,,dustin-garrison-1
330,Kurt Palandech,Nevada-Las Vegas,MWC,11,82,293,3.6,4,26.6,0,0,,0,0.0,82,293,3.6,4,,kurt-palandech-1
331,Jaquez Johnson,Florida Atlantic,CUSA,10,100,290,2.9,2,29.0,0,0,,0,0.0,100,290,2.9,2,,jaquez-johnson-1
332,Tyler Siudzinski,Texas State,Sun Belt,12,59,290,4.9,1,24.2,4,71,17.8,0,5.9,63,361,5.7,1,,tyler-siudzinski-1
333,Willy Ivery,North Texas,CUSA,11,44,290,6.6,2,26.4,2,8,4.0,0,0.7,46,298,6.5,2,,willy-ivery-1
334,Tony Brooks-James*,Oregon,Pac-12,10,32,288,9.0,3,28.8,5,20,4.0,0,2.0,37,308,8.3,3,,tony-brooks-james-1
335,Donovan Lee,Colorado,Pac-12,11,49,286,5.8,3,26.0,26,128,4.9,0,11.6,75,414,5.5,3,,donovan-lee-1
336,Matt Giachinta,Army,Ind,12,61,286,4.7,1,23.8,1,5,5.0,0,0.4,62,291,4.7,1,,matt-giachinta-1
337,Kenny Young,Miami (OH),MAC,12,65,284,4.4,0,23.7,13,67,5.2,0,5.6,78,351,4.5,0,,kenny-young-2
338,Akeel Lynch*,Penn State,Big Ten,11,55,282,5.1,2,25.6,4,8,2.0,0,0.7,59,290,4.9,2,,akeel-lynch-1
339,Dwayne Washington*,Washington,Pac-12,8,47,282,6.0,4,35.3,25,315,12.6,3,39.4,72,597,8.3,7,,dwayne-washington-1
340,Rennie Childs*,Oklahoma State,Big 12,12,72,281,3.9,2,23.4,8,66,8.3,0,5.5,80,347,4.3,2,,rennie-childs-1
341,D.J. Foster*,Arizona State,Pac-12,13,55,280,5.1,1,21.5,59,584,9.9,3,44.9,114,864,7.6,4,,dj-foster-1
342,Javin Webb*,Houston,American,13,70,277,4.0,4,21.3,5,37,7.4,0,2.8,75,314,4.2,4,,javin-webb-1
343,Laquintus Dowell,UTEP,CUSA,9,62,276,4.5,2,30.7,0,0,,0,0.0,62,276,4.5,2,,laquintus-dowell-1
344,Boston Scott*,Louisiana Tech,CUSA,11,34,275,8.1,0,25.0,1,1,1.0,0,0.1,35,276,7.9,0,,boston-scott-1
345,George Bollas,Kent State,MAC,12,89,275,3.1,1,22.9,0,0,,0,0.0,89,275,3.1,1,,george-bollas-1
346,Antoinne Jimmerson,North Texas,CUSA,10,70,272,3.9,1,27.2,2,12,6.0,0,1.2,72,284,3.9,1,,antoinne-jimmerson-1
347,Patrick Carr,Colorado,Pac-12,11,66,272,4.1,1,24.7,5,52,10.4,0,4.7,71,324,4.6,1,,patrick-carr-1
348,Drake Johnson*,Michigan,Big Ten,12,54,271,5.0,4,22.6,6,96,16.0,2,8.0,60,367,6.1,6,,drake-johnson-1
349,Terrance Timmons,South Alabama,Sun Belt,12,58,271,4.7,1,22.6,3,24,8.0,0,2.0,61,295,4.8,1,,terrance-timmons-1
350,Jeremy Smith*,Louisville,ACC,12,60,270,4.5,3,22.5,2,19,9.5,0,1.6,62,289,4.7,3,,jeremy-smith-4
351,Mitch Leidner*,Minnesota,Big Ten,13,107,270,2.5,6,20.8,1,16,16.0,0,1.2,108,286,2.6,6,,mitch-leidner-1
352,Sefo Liufau,Colorado,Pac-12,11,107,266,2.5,5,24.2,1,12,12.0,0,1.1,108,278,2.6,5,,sefo-liufau-1
353,Andy Janovich*,Nebraska,Big Ten,13,42,265,6.3,3,20.4,2,58,29.0,0,4.5,44,323,7.3,3,,andy-janovich-1
354,Kyle Hicks*,Texas Christian,Big 12,13,55,262,4.8,3,20.2,13,104,8.0,1,8.0,68,366,5.4,4,,kyle-hicks-1
355,Olamide Zaccheaus,Virginia,ACC,12,33,262,7.9,1,21.8,21,216,10.3,1,18.0,54,478,8.9,2,,olamide-zaccheaus-1
