Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
256,A.J. Davis Jr.,Pitt,ACC,10,61,266,4.4,1,26.6,10,45,4.5,0,4.5,71,311,4.4,1,,aj-davis-jr-1
257,Andrew Clair,Bowling Green,MAC,4,52,266,5.1,0,66.5,2,28,14.0,0,7.0,54,294,5.4,0,,andrew-clair-1
258,Henry Parrish Jr.,Ole Miss,SEC,10,56,263,4.7,2,26.3,7,59,8.4,0,5.9,63,322,5.1,2,,henry-parrish-jr-1
259,Sean Tyler,Western Michigan,MAC,4,40,263,6.6,2,65.8,11,68,6.2,0,17.0,51,331,6.5,2,,sean-tyler-1
260,Harry Trotter,Kansas State,Big 12,9,72,260,3.6,3,28.9,8,34,4.3,0,3.8,80,294,3.7,3,,harry-trotter-1
261,Will Levis,Penn State,Big Ten,8,82,260,3.2,3,32.5,0,0,,0,0.0,82,260,3.2,3,,will-levis-1
262,Kaegun Williams,San Diego State,MWC,7,54,257,4.8,1,36.7,3,42,14.0,0,6.0,57,299,5.2,1,,kaegun-williams-1
263,Drake Anderson,Northwestern,Big Ten,7,62,256,4.1,2,36.6,4,28,7.0,0,4.0,66,284,4.3,2,,drake-anderson-1
264,Raheem Blackshear,Virginia Tech,ACC,11,68,255,3.8,2,23.2,18,154,8.6,0,14.0,86,409,4.8,2,,raheem-blackshear-1
265,Tahj Brooks,Texas Tech,Big 12,10,69,255,3.7,4,25.5,13,61,4.7,0,6.1,82,316,3.9,4,,tahj-brooks-1
266,Aaron McAllister,Charlotte,CUSA,5,37,254,6.9,3,50.8,6,90,15.0,1,18.0,43,344,8.0,4,,aaron-mcallister-1
267,Bryan Bradford,Kent State,MAC,4,37,254,6.9,0,63.5,1,13,13.0,1,3.3,38,267,7.0,1,,bryan-bradford-1
268,Darius Boone Jr.,Eastern Michigan,MAC,3,44,254,5.8,2,84.7,1,13,13.0,0,4.3,45,267,5.9,2,,darius-boone-jr-1
269,Zach Wilson,BYU,Ind,12,70,254,3.6,10,21.2,2,32,16.0,0,2.7,72,286,4.0,10,H-8,zach-wilson-3
270,Clayton Tune,Houston,American,8,72,253,3.5,5,31.6,1,21,21.0,0,2.6,73,274,3.8,5,,clayton-tune-1
271,Jamyest Williams,Georgia State,Sun Belt,8,47,253,5.4,0,31.6,8,77,9.6,0,9.6,55,330,6.0,0,,jamyest-williams-1
272,Jaylen Warren,Utah State,MWC,3,39,252,6.5,3,84.0,5,33,6.6,0,11.0,44,285,6.5,3,,jaylen-warren-1
273,Justin Henderson,Louisiana Tech,CUSA,7,75,252,3.4,2,36.0,9,37,4.1,0,5.3,84,289,3.4,2,,justin-henderson-2
274,Kenny McIntosh,Georgia,SEC,8,47,251,5.3,1,31.4,10,111,11.1,0,13.9,57,362,6.4,1,,kenny-mcintosh-1
275,Jermaine Brown Jr.,UAB,CUSA,9,63,250,4.0,1,27.8,8,32,4.0,0,3.6,71,282,4.0,1,,jermaine-brown-jr-1
276,Keaontay Ingram,Texas,Big 12,6,53,250,4.7,1,41.7,11,103,9.4,1,17.2,64,353,5.5,2,,keaontay-ingram-1
277,Khalan Griffin,Rice,CUSA,5,72,249,3.5,0,49.8,3,45,15.0,0,9.0,75,294,3.9,0,,khalan-griffin-1
278,Max Gilliam,Nevada-Las Vegas,MWC,6,61,248,4.1,2,41.3,0,0,,0,0.0,61,248,4.1,2,,max-gilliam-1
279,Peyton Ramsey,Northwestern,Big Ten,9,84,247,2.9,3,27.4,0,0,,0,0.0,84,247,2.9,3,,peyton-ramsey-1
280,Cooper Lutz,Syracuse,ACC,10,43,246,5.7,1,24.6,8,56,7.0,0,5.6,51,302,5.9,1,,cooper-lutz-1
281,Jamontez Woods,Troy,Sun Belt,11,46,245,5.3,1,22.3,13,89,6.8,0,8.1,59,334,5.7,1,,jamontez-woods-1
282,Jase McClellan,Alabama,SEC,11,23,245,10.7,2,22.3,1,1,1.0,0,0.1,24,246,10.3,2,,jase-mcclellan-1
283,Tyler Badie,Missouri,SEC,10,48,242,5.0,4,24.2,28,333,11.9,2,33.3,76,575,7.6,6,,tyler-badie-1
284,Dustin Crum,Kent State,MAC,4,44,240,5.5,4,60.0,0,0,,0,0.0,44,240,5.5,4,,dustin-crum-1
285,Wan'Dale Robinson,Nebraska,Big Ten,8,46,240,5.2,1,30.0,51,461,9.0,1,57.6,97,701,7.2,2,,wandale-robinson-1
286,Brenden Brady,UTSA,CUSA,6,50,239,4.8,1,39.8,7,48,6.9,0,8.0,57,287,5.0,1,,brenden-brady-1
287,Jemel Jones,Army,Ind,5,42,238,5.7,3,47.6,0,0,,0,0.0,42,238,5.7,3,,jemel-jones-1
288,Vavae Malepeai,USC,Pac-12,5,54,238,4.4,3,47.6,16,64,4.0,0,12.8,70,302,4.3,3,,vavae-malepeai-1
289,Keytaon Thompson,Virginia,ACC,9,39,234,6.0,3,26.0,7,98,14.0,3,10.9,46,332,7.2,6,,keytaon-thompson-1
290,Asa Martin,Memphis,American,11,55,233,4.2,1,21.2,10,105,10.5,0,9.5,65,338,5.2,1,,asa-martin-1
291,Nate Jones,New Mexico,MWC,6,49,232,4.7,4,38.7,0,0,,0,0.0,49,232,4.7,4,,nate-jones-9
292,Nathaniel Jones,New Mexico,MWC,6,49,232,4.7,4,38.7,0,0,,0,0.0,49,232,4.7,4,,nathaniel-jones-1
293,Justin Hall,Ball State,MAC,7,30,231,7.7,1,33.0,49,665,13.6,4,95.0,79,896,11.3,5,,justin-hall-3
294,Isaiah Bowser,Northwestern,Big Ten,7,78,230,2.9,1,32.9,8,52,6.5,1,7.4,86,282,3.3,2,,isaiah-bowser-1
295,Daniel Hishaw Jr.,Kansas,Big 12,8,52,229,4.4,2,28.6,5,28,5.6,0,3.5,57,257,4.5,2,,daniel-hishaw-jr-1
296,Jamious Griffin,Georgia Tech,ACC,8,47,229,4.9,2,28.6,4,61,15.3,0,7.6,51,290,5.7,2,,jamious-griffin-1
297,Kavosiey Smoke,Kentucky,SEC,7,47,229,4.9,1,32.7,5,25,5.0,0,3.6,52,254,4.9,1,,kavosiey-smoke-1
298,Michael Pratt,Tulane,American,10,115,229,2.0,8,22.9,0,0,,0,0.0,115,229,2.0,8,,michael-pratt-1
299,Caziah Holmes,Penn State,Big Ten,9,51,227,4.5,2,25.2,6,37,6.2,0,4.1,57,264,4.6,2,,caziah-holmes-1
300,Sean McGrew,Washington,Pac-12,4,43,227,5.3,4,56.8,3,13,4.3,0,3.3,46,240,5.2,4,,sean-mcgrew-1
301,Dillon Johnson,Mississippi State,SEC,11,51,225,4.4,4,20.5,36,157,4.4,0,14.3,87,382,4.4,4,,dillon-johnson-1
302,Jordan Byrd,San Diego State,MWC,8,35,225,6.4,2,28.1,7,12,1.7,0,1.5,42,237,5.6,2,,jordan-byrd-1
303,Dominic Richardson,Oklahoma State,Big 12,7,44,223,5.1,3,31.9,1,12,12.0,0,1.7,45,235,5.2,3,,dominic-richardson-1
304,Hassan Hall,Louisville,ACC,8,54,223,4.1,2,27.9,3,6,2.0,0,0.8,57,229,4.0,2,,hassan-hall-1
