Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,BMI,Position,Drafted,Round,Pick
21,Auburn,1.7526,85.27536556,4.43,92.71,15,309.88,7.09,4.08,27.76246187,CB,Yes,3,92
22,Maryland,1.9304,146.5103355,5.29,NA,20,NA,NA,NA,39.31639097,OG,Yes,7,236
23,USC,1.9304,138.3456729,5.07,77.47,25,254,NA,NA,37.12538466,DT,Yes,2,56
23,Purdue,1.905,102.0582833,4.87,73.66,NA,259.08,7,4.48,28.12278319,QB,Yes,6,201
21,Virginia,1.9558,140.1600423,5.18,72.39,23,279.4,7.86,4.78,36.64167652,OT,Yes,1,8
23,Rice,1.778,86.63614267,4.5,107.95,13,327.66,7.1,4.41,27.40536525,WR,Yes,5,144
21,Arizona,1.7272,88.45051215,4.3,102.87,NA,320.04,6.65,4.28,29.6493443,WR,Yes,4,107
22,Temple,1.905,145.6031508,4.93,71.12,NA,261.62,7.9,4.78,40.12183735,DT,Yes,3,72
22,Rutgers,1.8542,83.46099608,4.31,105.41,7,327.66,6.62,4.11,24.27562444,WR,Yes,7,253
21,Arizona,1.9812,140.1600423,5.14,72.39,24,254,7.87,4.91,35.70816899,OT,Yes,2,39
23,Liberty,1.8542,104.7798375,4.52,86.36,29,304.8,6.86,4.2,30.4764633,RB,Yes,7,250
22,LSU,1.9304,134.2633415,4.94,72.39,NA,259.08,7.64,4.8,36.02988151,DE,Yes,1,3
22,Tennessee St.,1.7526,101.1510985,4.51,85.09,25,294.64,NA,NA,32.93100531,RB,Yes,7,212
24,McNeese St.,1.8288,83.46099608,4.4,NA,20,NA,NA,NA,24.95463014,WR,Yes,6,175
22,Ohio St.,1.8288,89.35769689,4.5,114.3,9,342.9,6.84,4.2,26.71772901,CB,Yes,4,102
21,Purdue,1.905,135.1705263,4.82,74.93,30,261.62,7.52,4.55,37.24706395,DT,Yes,3,67
23,Northern Illinois,1.8796,115.6660544,4.74,91.44,24,271.78,7.26,4.38,32.73972659,OLB,Yes,1,16
22,Oregon St.,1.778,82.55381134,4.4,92.71,8,325.12,6.9,4.23,26.11401296,CB,Yes,5,148
22,Colorado St.,1.778,99.33672903,4.67,86.36,20,289.56,NA,NA,31.4229057,RB,Yes,4,134
22,Auburn,1.8796,140.1600423,5.4,NA,22,NA,NA,NA,39.67284516,OG,Yes,4,133
NA,LSU,1.8288,90.26488163,4.35,80.01,NA,297.18,NA,NA,26.98897499,WR,Yes,7,224
21,Texas Tech,1.9558,151.0462592,5.22,NA,39,NA,NA,NA,39.48763198,OG,Yes,3,78
22,USC,1.8542,102.965468,4.75,NA,32,NA,NA,NA,29.94873233,OLB,Yes,6,189
22,Baylor,1.9558,140.1600423,5.09,60.96,33,243.84,7.53,4.69,36.64167652,OT,Yes,1,2
22,Clemson,1.905,141.5208194,4.92,77.47,29,271.78,8.28,4.84,38.99692602,DT,Yes,4,103
22,Texas,1.8288,99.7903214,4.57,88.9,19,281.94,6.85,4.29,29.83705778,RB,Yes,7,211
22,Ohio St.,1.8796,110.6765383,4.72,83.82,22,292.1,6.93,4.24,31.32742466,ILB,Yes,2,35
22,North Carolina,1.8288,95.70799007,4.44,NA,27,NA,NA,NA,28.61645087,WR,Yes,5,160
22,Iowa,1.8288,88.90410452,4.44,97.79,20,309.88,7.04,4.29,26.58210602,CB,Yes,3,66
20,Illinois,1.8034,92.07925111,4.4,91.44,25,317.5,6.75,4.07,28.31246274,CB,Yes,1,25
22,Ohio St.,1.8796,88.45051215,4.49,87.63,NA,304.8,6.65,4.12,25.03626151,WR,Yes,4,108
21,USC,1.9558,101.1510985,4.59,NA,NA,NA,NA,NA,26.44366947,WR,Yes,3,87
21,Utah,1.905,97.06876718,4.47,86.36,10,302.26,6.92,4.15,26.74789156,CB,Yes,2,61
22,Georgia Tech,2.0066,137.8920805,4.96,NA,NA,NA,NA,NA,34.24661949,OT,Yes,6,181
23,West Virginia,1.8288,89.35769689,4.55,88.9,NA,297.18,7.06,4.42,26.71772901,QB,Yes,2,44
23,Clemson,1.8288,94.34721296,4.33,95.25,19,322.58,7.27,4.38,28.2095819,FS,Yes,5,165
20,Florida,1.8034,87.08973504,4.39,NA,19,NA,NA,NA,26.77828988,WR,Yes,1,22
23,Mississippi,1.778,97.06876718,4.43,85.09,29,294.64,7.02,4.2,30.70548776,SS,Yes,7,231
23,South Carolina,1.8796,114.3052772,4.67,90.17,26,289.56,7.03,4.32,32.35455334,ILB,Yes,5,150
21,Georgia,1.7526,87.99691978,4.48,88.9,22,292.1,6.93,4.3,28.64849789,CB,Yes,3,86
23,Oklahoma,2.032,150.5926668,5.45,73.66,24,241.3,8.18,5.06,36.47173444,OT,Yes,2,54
21,Oregon,1.8034,96.16158244,4.49,86.36,25,302.26,NA,NA,29.56769508,SS,Yes,2,34
23,South Florida,1.8796,110.2229459,4.76,NA,27,284.48,NA,NA,31.19903357,OLB,Yes,3,97
21,North Carolina,1.8288,83.00740371,4.52,NA,NA,NA,NA,NA,24.81900715,WR,Yes,3,83
22,Georgia Tech,1.8796,137.4384881,5.08,64.77,17,NA,NA,NA,38.90249866,DT,Yes,7,234
22,Connecticut,1.778,83.00740371,4.41,109.22,NA,340.36,6.92,4.18,26.25749655,CB,Yes,2,41
22,Kentucky,1.8288,144.695966,5.03,76.2,NA,271.78,8.16,4.75,43.26373378,DT,Yes,6,207
22,Boston Col.,1.905,149.6854821,5.48,71.12,32,251.46,8.15,4.73,41.24674867,DT,Yes,2,40
23,Hawaii,1.905,105.2334298,4.9,NA,15,NA,NA,NA,28.99771422,LS,Yes,6,198
21,Ohio St.,1.8288,92.53284348,4.51,83.82,15,314.96,6.59,4.08,27.66708994,CB,Yes,1,14
22,SMU,1.9304,102.0582833,4.83,NA,19,NA,NA,NA,27.38757885,P,Yes,5,164
22,Wake Forest,1.8288,105.2334298,4.56,80.01,19,307.34,7.22,4.39,31.46453366,ILB,Yes,4,118
23,Wake Forest,1.8542,100.2439138,4.42,93.98,21,317.5,7.03,4.12,29.15713588,SS,Yes,4,116
21,North Carolina,1.8542,96.16158244,4.51,91.44,NA,NA,NA,NA,27.96974121,WR,Yes,1,29
22,Wisconsin,1.905,110.2229459,4.61,NA,28,NA,NA,NA,30.37260584,TE,Yes,3,100
23,Cal Poly,1.9812,103.8726527,4.51,85.09,17,299.72,NA,4.26,26.46333559,WR,Yes,3,85
22,New Mexico,1.8034,89.81128926,4.52,87.63,17,309.88,7,4.44,27.61511144,CB,Yes,6,200
24,Connecticut,1.9812,139.2528576,5.06,85.09,27,271.78,7.62,4.77,35.47704815,OT,Yes,2,60
23,SMU,1.8796,102.0582833,4.7,NA,25,269.24,6.91,4.06,28.88799405,QB,Yes,5,151
23,Virginia,1.905,116.1196467,4.75,87.63,NA,302.26,7.37,4.4,31.99747776,OLB,Yes,2,45
22,North Carolina St.,1.8288,101.6046909,4.37,93.98,24,292.1,7.35,4.33,30.37954974,RB,Yes,4,129
22,USC,1.8796,102.965468,4.93,82.55,NA,294.64,7.06,4.21,29.14477622,QB,Yes,1,5
23,Nebraska,1.9558,143.3351889,5.26,86.36,NA,279.4,7.86,4.86,37.47174687,OG,Yes,6,193
23,Iowa,1.778,102.965468,4.55,93.98,19,307.34,7.1,4.4,32.5707744,RB,Yes,3,65
22,Maryland,1.8796,95.2543977,4.3,97.79,16,320.04,6.8,4.18,26.96212778,WR,Yes,1,7
NA,Missouri,1.9304,113.8516849,4.63,78.74,22,287.02,7.31,4.58,30.55236574,DE,Yes,6,199
21,Florida,1.8796,92.07925111,4.32,NA,12,NA,NA,NA,26.06339019,WR,Yes,4,124
22,Wisconsin,1.9558,120.6555704,4.86,77.47,24,284.48,7.68,4.88,31.542673,DE,Yes,3,71
20,Missouri,1.8288,89.81128926,4.43,NA,NA,NA,NA,NA,26.853352,WR,Yes,1,19
23,Oregon,1.9558,142.4280042,5.2,64.77,24,238.76,8.33,5.02,37.23458391,OT,Yes,5,159
23,Virginia Tech,1.8034,89.81128926,4.46,85.09,NA,299.72,6.68,3.98,27.61511144,CB,Yes,5,157
23,Maryland,1.8542,105.6870222,4.65,78.74,12,307.34,7.09,4.28,30.74032878,OLB,Yes,7,230
23,Florida,1.9304,111.1301307,4.68,83.82,21,NA,7.12,4.53,29.8220303,TE,Yes,5,153
22,Arizona St.,1.9558,148.324705,5.48,NA,15,NA,NA,NA,38.77614312,OG,Yes,7,213
20,Pittsburgh,1.778,89.81128926,4.5,NA,NA,NA,NA,NA,28.40975036,RB,Yes,2,53
21,Washington St.,1.8288,95.2543977,4.59,NA,NA,NA,NA,NA,28.48082788,WR,Yes,6,194
22,Missouri,1.905,136.077711,4.83,83.82,34,274.32,7.5,4.55,37.49704425,DT,Yes,1,32
22,Central Florida,1.7526,87.08973504,4.58,90.17,22,299.72,6.68,4.25,28.35315255,CB,Yes,5,168
22,Oregon St.,1.8542,94.34721296,4.47,85.09,19,312.42,NA,NA,27.44201024,CB,Yes,3,96
22,Mississippi,1.8288,90.26488163,4.33,101.6,14,327.66,6.9,4.27,26.98897499,WR,Yes,3,84
21,Arkansas St.,1.8542,117.9340162,4.73,82.55,21,287.02,7.28,4.43,34.3025128,FB,Yes,7,241
23,Wisconsin,1.9558,148.7782974,5.25,60.96,29,238.76,7.87,4.89,38.8947246,OG,Yes,3,79
22,Penn St.,1.8542,137.8920805,5.19,78.74,33,254,7.46,4.4,40.10755343,C,Yes,7,226
21,Texas Tech,1.8542,97.52235955,4.54,NA,NA,NA,NA,NA,28.36553943,WR,Yes,1,10
23,Fresno St.,1.9558,113.8516849,4.89,67.31,NA,271.78,7.65,4.55,29.76395083,TE,Yes,6,184
21,Ball St.,1.8542,102.5118756,4.95,67.31,NA,251.46,NA,NA,29.81679959,QB,Yes,5,171
23,Pittsburgh,1.8542,110.6765383,4.7,90.17,27,302.26,7,4.39,32.19158894,ILB,Yes,5,146
22,LSU,1.905,133.8097492,5.19,66.04,25,236.22,NA,NA,36.87209351,DT,Yes,7,244
21,Alabama,1.8288,94.80080533,4.5,91.44,24,307.34,7.35,4.51,28.34520489,RB,Yes,3,74
23,LSU,1.8796,94.80080533,4.49,95.25,13,327.66,7.25,4.23,26.8337367,FS,Yes,7,219
22,Wake Forest,1.8796,115.212462,4.52,93.98,25,314.96,7.15,4.51,32.61133551,OLB,Yes,1,4
21,California,1.905,110.6765383,4.61,82.55,24,292.1,6.99,4.36,30.49759599,TE,Yes,7,248
22,Rutgers,1.8288,96.16158244,4.55,87.63,21,294.64,7.35,4.16,28.75207386,SS,Yes,7,245
23,Penn St.,1.778,82.55381134,4.31,87.63,12,299.72,7.01,4.48,26.11401296,WR,Yes,3,91
22,Oregon,1.9558,140.1600423,5.26,62.23,22,236.22,7.39,4.5,36.64167652,C,Yes,2,49
21,Kansas St.,1.9812,112.4909078,4.9,85.09,NA,302.26,7.11,4.43,28.65898352,QB,Yes,1,17
23,Oregon St.,1.7526,85.72895793,4.45,76.2,13,279.4,7.03,4.28,27.91013454,WR,Yes,7,233
22,Illinois,1.9304,136.9848957,5.01,78.74,27,281.94,7.35,4.56,36.76021694,OT,Yes,5,155
22,USC,1.9558,123.3771246,4.76,77.47,22,266.7,7.4,4.47,32.25416186,DE,Yes,4,117
21,Texas,1.8542,140.6136347,4.93,81.28,36,261.62,8.01,4.74,40.89914988,DT,Yes,3,81
20,Rutgers,1.905,98.88313666,4.47,93.98,23,314.96,NA,4.47,27.24785215,WR,Yes,1,30
22,Southern Miss,1.8796,104.7798375,4.49,86.36,19,312.42,7.24,4.35,29.65834056,ILB,Yes,4,130
22,Hawaii,1.7526,84.82177319,4.47,100.33,18,327.66,NA,NA,27.6147892,CB,Yes,3,94
22,Stephen F. Austin,1.8796,92.53284348,4.42,93.98,NA,304.8,NA,4.18,26.19178127,WR,Yes,6,206
21,South Carolina,1.9558,111.583723,4.49,104.14,23,312.42,NA,NA,29.17104345,TE,Yes,3,89
22,Michigan St.,1.7526,92.98643585,4.5,86.36,23,292.1,6.87,4.11,30.27289725,RB,Yes,5,173
22,Auburn,1.8796,138.7992652,5,83.82,NA,NA,NA,NA,39.28767191,DT,Yes,2,62
22,Tulane,1.9558,140.1600423,5.3,76.2,21,254,7.65,4.84,36.64167652,OT,Yes,4,135
22,Texas,1.905,119.2947933,4.63,100.33,31,NA,NA,NA,32.87240879,DE,Yes,1,13
23,Nevada,1.9304,98.88313666,4.43,81.28,9,294.64,7.04,4.33,26.53552084,WR,Yes,7,243
21,Idaho,1.8542,108.4085764,4.79,NA,23,NA,NA,NA,31.53192523,FB,Yes,7,221
22,Nebraska,1.8288,110.6765383,4.67,NA,25,NA,NA,NA,33.09200954,OLB,Yes,5,158
22,Maryland,1.8288,84.82177319,4.45,97.79,NA,325.12,6.72,3.96,25.36149911,CB,Yes,3,80
22,Citadel,1.8034,88.45051215,4.4,91.44,15,304.8,6.77,4.15,27.19670066,WR,Yes,3,88
23,TCU,1.8796,104.3262451,4.58,78.74,17,289.56,NA,NA,29.52994947,OLB,Yes,2,47
23,Stanford,1.9558,111.583723,4.82,NA,17,NA,NA,NA,29.17104345,TE,Yes,7,233
22,Tennessee,1.8796,148.324705,5.19,81.28,27,243.84,7.88,4.87,41.98388469,DT,Yes,1,26
21,Fordham,1.9558,110.2229459,4.85,85.09,NA,274.32,7.17,4.33,28.81529901,QB,Yes,5,155
22,Wisconsin,1.8796,100.2439138,4.63,NA,NA,NA,NA,NA,28.37442971,OLB,Yes,4,130
22,Alabama,1.9558,141.5208194,5.37,63.5,NA,231.14,8.15,5.01,36.99742096,OG,Yes,3,98
21,Kentucky,1.905,136.077711,4.98,83.82,NA,248.92,7.56,4.76,37.49704425,DT,Yes,3,83
23,Kansas,1.8796,101.6046909,4.62,88.9,13,292.1,NA,4.23,28.75960297,WR,Yes,5,165
22,Missouri,1.8542,108.4085764,4.62,101.6,34,312.42,6.99,4.38,31.53192523,OLB,Yes,1,19
22,Oklahoma,1.8034,87.99691978,4.46,85.09,10,297.18,7.32,4.33,27.0572304,CB,Yes,5,135
21,UNLV,1.905,134.7169339,5.21,66.04,35,266.7,7.5,4.73,37.12207381,C,Yes,4,117
22,Oregon,1.9304,112.9445001,4.59,86.36,23,292.1,7.32,4.59,30.30892059,TE,Yes,3,70
21,Alabama,1.9304,160.571699,5.71,52.07,NA,228.6,8.19,5.03,43.08979072,DT,Yes,2,57
23,Syracuse,1.905,136.5313034,5.04,NA,NA,NA,NA,NA,37.6220344,DT,Yes,5,157
22,Texas,1.905,113.3980925,4.65,92.71,25,299.72,7.26,4.53,31.24753687,OLB,Yes,2,43
22,Utah,1.8288,86.63614267,4.56,93.98,15,289.56,6.95,4.38,25.90399107,WR,Yes,5,156
24,BYU,1.9304,111.1301307,4.68,86.36,27,287.02,6.72,4.17,29.8220303,TE,Yes,4,114
21,Central Florida,1.905,142.4280042,5.12,73.66,34,248.92,7.61,4.73,39.24690631,DT,Yes,2,41
21,James Madison,1.8288,111.583723,4.64,92.71,24,309.88,7.22,4.37,33.36325552,OLB,Yes,6,178
22,Clemson,1.8034,88.90410452,4.37,NA,18,NA,NA,NA,27.33617092,RB,Yes,1,9
22,Virginia Tech,1.9558,142.4280042,5.18,68.58,29,243.84,NA,4.7,37.23458391,OT,Yes,5,140
22,Connecticut,1.905,95.2543977,4.39,86.36,16,312.42,6.94,4.6,26.24793097,WR,Yes,4,107
NA,Iowa,1.9812,146.5103355,5.46,59.69,22,233.68,7.96,4.86,37.32601483,OT,Yes,7,216
22,Arkansas St.,1.9558,129.2738255,4.92,NA,26,NA,NA,NA,33.79572107,DE,Yes,3,72
22,Troy,1.905,103.8726527,4.93,80.01,20,269.24,7.07,4.43,28.62274378,QB,Yes,7,209
