Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
48,Colorado,Pac-12,4,8,0.333,1,8,0.111,28.2,34.8,0.98,5.23,,18,,
49,Stanford,Pac-12,3,9,0.25,2,7,0.222,20.6,37.7,-4.76,5.9,,,,
50,Arizona State,Pac-12,3,9,0.25,2,7,0.222,17.8,31.8,-3.98,5.69,,,,
51,Washington State,Pac-12,5,7,0.417,2,7,0.222,31.7,28.1,4.23,3.4,,13,,
52,California,Pac-12,6,7,0.462,4,5,0.444,30.2,32.8,1.86,3.86,,,,
53,UCLA,Pac-12,8,5,0.615,4,5,0.444,26.5,18.4,6.37,1.22,,18,,
54,Utah,Pac-12,8,5,0.615,5,4,0.556,23.2,19.3,6.97,4.43,14,10,,
55,USC,Pac-12,8,5,0.615,5,4,0.556,41.8,34.4,9.59,5.51,6,5,,
56,Oregon State,Pac-12,8,5,0.615,5,4,0.556,31.8,22.9,9.42,4.42,18,10,,
57,Nevada,MWC,2,10,0.167,2,6,0.25,17.3,33.4,-15.8,-3.38,,,,
58,San Diego State,MWC,4,8,0.333,2,6,0.25,20.5,26.8,-8.61,-2.95,,,,
59,New Mexico,MWC,4,8,0.333,2,6,0.25,27.3,35.1,-9.97,-3.97,,,,
60,Hawaii,MWC,5,8,0.385,3,5,0.375,21.4,32.2,-10.79,-3.71,,,,
61,Colorado State,MWC,5,7,0.417,3,5,0.375,26.1,29.6,-7.35,-4.1,,,,
62,Utah State,MWC,6,7,0.462,4,4,0.5,33.2,34.7,-5.97,-3.9,,,,
63,Fresno State,MWC,9,4,0.692,4,4,0.5,30.5,23.5,-0.54,-6,,24,,
64,Wyoming,MWC,9,4,0.692,5,3,0.625,25.3,22.3,1.18,-1.59,,,,
65,Air Force,MWC,9,4,0.692,5,3,0.625,27.8,18.2,3.25,-4.14,,17,,
66,San Jose State,MWC,7,6,0.538,6,2,0.75,31.8,25.6,1.18,-1.74,,,,
67,Nevada-Las Vegas,MWC,9,5,0.643,6,2,0.75,34.4,28.6,2.39,-2.82,,,,
68,Boise State,MWC,8,6,0.571,6,2,0.75,32.1,25.6,4.8,-0.77,,,,
69,Western Michigan,MAC,4,8,0.333,3,5,0.375,23.7,31.8,-11.46,-5.04,,,,
70,Ball State,MAC,4,8,0.333,3,5,0.375,18.3,24.4,-10.74,-5.49,,,,
71,Central Michigan,MAC,5,7,0.417,3,5,0.375,23.2,31.1,-13.18,-6.26,,,,
72,Eastern Michigan,MAC,6,7,0.462,4,4,0.5,19.5,26.7,-14.16,-9.46,,,,
73,Northern Illinois,MAC,7,6,0.538,5,3,0.625,24.9,21,-6.97,-9.21,,,,
74,Toledo,MAC,11,3,0.786,8,0,1,32.3,20.3,2.2,-6.95,,23,,
75,Kent State,MAC,1,11,0.083,0,8,0,14.7,34.6,-22.33,-6.75,,,,
76,Akron,MAC,2,10,0.167,1,7,0.125,16.3,28,-18.64,-8.39,,,,
77,Buffalo,MAC,3,9,0.25,3,5,0.375,20.9,27.4,-12.32,-6.15,,,,
78,Bowling Green,MAC,7,6,0.538,5,3,0.625,26.2,24,-2.04,-4.12,,,,
79,Ohio,MAC,10,3,0.769,6,2,0.75,24.3,15.8,-0.66,-9.12,,,,
80,Miami (OH),MAC,11,3,0.786,7,1,0.875,25.6,15.9,1.75,-7.18,,,,
81,Massachusetts,Ind,3,9,0.25,,,,23.2,37.8,-12.57,-2.15,,,,
82,Connecticut,Ind,3,9,0.25,,,,19.1,29.8,-9.92,-2.67,,,,
83,Army,Ind,6,6,0.5,,,,20.5,21.1,-3.94,-3.6,,,,
84,Florida International,CUSA,4,8,0.333,1,7,0.125,20.1,31.8,-15.3,-5.46,,,,
85,UTEP,CUSA,3,9,0.25,2,6,0.25,19.9,28.5,-11.1,-2.85,,,,
86,Sam Houston,CUSA,3,9,0.25,2,6,0.25,20,26.2,-10.17,-4.5,,,,
87,Louisiana Tech,CUSA,3,9,0.25,2,6,0.25,25.9,33.4,-11.28,-4.2,,,,
88,Middle Tennessee State,CUSA,4,8,0.333,3,5,0.375,24.3,28.1,-5.6,-2.6,,,,
89,Western Kentucky,CUSA,8,5,0.615,5,3,0.625,30.5,28.7,0.09,-3.29,,,,
90,Jacksonville State,CUSA,9,4,0.692,6,2,0.75,30.2,21.2,0.68,-6.01,,,,
91,New Mexico State,CUSA,10,5,0.667,7,1,0.875,27.5,22.8,-1.23,-5.56,,,,
92,Purdue,Big Ten,4,8,0.333,3,6,0.333,23.9,30.4,-0.38,5.12,,,,
93,Nebraska,Big Ten,5,7,0.417,3,6,0.333,18,18.3,2.06,2.48,,,,
94,Illinois,Big Ten,5,7,0.417,3,6,0.333,24.5,29.4,-0.42,3.84,,,,
95,Minnesota,Big Ten,6,7,0.462,3,6,0.333,20.9,26.7,-0.01,3.61,,,,
96,Wisconsin,Big Ten,7,6,0.538,5,4,0.556,23.5,20.2,5.82,2.59,19,19,,
97,Northwestern,Big Ten,8,5,0.615,5,4,0.556,22.1,22.5,2.53,2.45,,,,
98,Indiana,Big Ten,3,9,0.25,1,8,0.111,22.2,29.9,-2.49,4.52,,,,
99,Michigan State,Big Ten,4,8,0.333,2,7,0.222,15.9,28.3,-1.54,5.79,,,,
100,Rutgers,Big Ten,7,6,0.538,3,6,0.333,23.2,21.2,4.93,4.93,,,,
101,Maryland,Big Ten,8,5,0.615,4,5,0.444,29.7,22.5,9.74,2.82,,,,
102,Baylor,Big 12,3,9,0.25,2,7,0.222,23.1,33.3,-4.86,3.72,,,,
103,BYU,Big 12,5,7,0.417,2,7,0.222,23.1,29.8,-0.92,3.67,,,,
104,TCU,Big 12,5,7,0.417,3,6,0.333,31.3,27.8,6.4,4.48,17,17,,
105,Texas Tech,Big 12,7,6,0.538,5,4,0.556,27.4,26,6.94,4.32,,,,
106,Iowa State,Big 12,7,6,0.538,6,3,0.667,26.2,22.8,7.2,4.2,,,,
107,West Virginia,Big 12,9,4,0.692,6,3,0.667,31.5,26.2,7.03,1.95,,,,
108,Cincinnati,Big 12,3,9,0.25,1,8,0.111,24.1,30,-6.01,1.57,,,,
109,Houston,Big 12,4,8,0.333,2,7,0.222,23.7,31.5,-2.54,3.63,,,,
110,UCF,Big 12,6,7,0.462,3,6,0.333,31.3,25.8,2.34,1.11,,,,
111,East Carolina,American,2,10,0.167,1,7,0.125,17.3,22.4,-9.26,-1.67,,,,
112,Temple,American,3,9,0.25,1,7,0.125,21.1,35.7,-14.4,-3.65,,,,
113,Charlotte,American,3,9,0.25,2,6,0.25,17.5,28.6,-12.91,-2.91,,,,
114,Tulsa,American,4,8,0.333,2,6,0.25,23.4,33.8,-8.23,-2.98,,,,
115,UAB,American,4,8,0.333,3,5,0.375,29.9,36.9,-9.75,-2.75,,,,
116,Florida Atlantic,American,4,8,0.333,3,5,0.375,23.8,25.5,-7.01,-4.34,,,,
117,North Texas,American,5,7,0.417,3,5,0.375,34.5,37.1,-7.17,-5.09,,,,
118,Navy,American,5,7,0.417,4,4,0.5,17.7,22.4,-5.82,-3.99,,,,
119,Rice,American,6,7,0.462,4,4,0.5,29.5,28.1,-3.94,-3.02,,,,
120,South Florida,American,7,6,0.538,4,4,0.5,31.9,32.2,-4.92,-4.46,,,,
121,Memphis,American,10,3,0.769,6,2,0.75,39.4,28.8,6.29,-2.86,,,,
122,UTSA,American,9,4,0.692,7,1,0.875,31.9,24.1,3.42,-4.19,,,,
123,Tulane,American,11,3,0.786,8,0,1,26.4,20.5,3.99,-2.51,24,17,,
124,Wake Forest,ACC,4,8,0.333,1,7,0.125,20.3,27.2,-3.32,2.51,,,,
125,Virginia,ACC,3,9,0.25,2,6,0.25,23.3,33.8,-3.78,4.8,,,,
126,Pitt,ACC,3,9,0.25,2,6,0.25,20.2,27.3,-3.28,3.14,,,,
127,Syracuse,ACC,6,7,0.462,2,6,0.25,23.5,25.4,-2.93,-0.55,,,,
128,Miami (FL),ACC,7,6,0.538,3,5,0.375,31.5,22.8,7.97,2.27,,17,,
129,Boston College,ACC,7,6,0.538,3,5,0.375,24.8,28.3,-2.55,0.14,,,,
130,North Carolina,ACC,8,5,0.615,4,4,0.5,34.5,27.3,6.01,1.63,21,10,,
131,Duke,ACC,8,5,0.615,4,4,0.5,26.9,19,9.02,3.1,,16,,
132,Virginia Tech,ACC,7,6,0.538,5,3,0.625,29.5,23.9,5.9,1.29,,,,
133,Georgia Tech,ACC,7,6,0.538,5,3,0.625,31.1,29.5,3.71,2.78,,,,
