Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1561,Milan Tucker,Appalachian State,Sun Belt,11,2,11,5.5,0,1.0,1,7,7.0,0,0.6,3,18,6.0,0,,milan-tucker-1
1562,Patrick McSweeney,Coastal Carolina,Sun Belt,10,2,11,5.5,0,1.1,0,0,,0,0.0,2,11,5.5,0,,patrick-mcsweeney-1
1563,Stephan Bracey,Wisconsin,Big Ten,3,1,11,11.0,0,3.7,1,3,3.0,0,1.0,2,14,7.0,0,,stephan-bracey-1
1564,TJ McDaniel,SMU,American,4,4,11,2.8,0,2.8,60,297,5.0,1,74.3,64,308,4.8,1,,tj-mcdaniel-1
1565,TJ Sheffield,Purdue,Big Ten,6,2,11,5.5,0,1.8,0,0,,0,0.0,2,11,5.5,0,,tj-sheffield-1
1566,Trent Pennix,North Carolina State,ACC,11,3,11,3.7,1,1.0,1,2,2.0,0,0.2,4,13,3.3,1,,trent-pennix-1
1567,Tyrell Alexander,Vanderbilt,SEC,9,2,11,5.5,0,1.2,1,-6,-6.0,0,-0.7,3,5,1.7,0,,tyrell-alexander-1
1568,Will Jones,Ball State,MAC,6,2,11,5.5,0,1.8,69,276,4.0,2,46.0,71,287,4.0,2,,will-jones-3
1569,Amauri Pesek-Hickson,Kansas,Big 12,4,2,10,5.0,0,2.5,40,145,3.6,0,36.3,42,155,3.7,0,,amauri-pesek-hickson-1
1570,Ari Broussard,Rice,CUSA,5,1,10,10.0,0,2.0,25,87,3.5,0,17.4,26,97,3.7,0,,ari-broussard-1
1571,Cam Roberson,Massachusetts,Ind,4,1,10,10.0,0,2.5,11,21,1.9,0,5.3,12,31,2.6,0,,cam-roberson-1
1572,Chad Alexander,New Mexico,MWC,6,5,10,2.0,0,1.7,3,14,4.7,0,2.3,8,24,3.0,0,,chad-alexander-4
