Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
89,Old Dominion,13,23.8,15.7,27.8,56.5,194.8,1.5,36.5,153.4,4.2,1.2,64.2,348.2,5.4,7.3,7.8,1.4,16.5,6.5,61.1,0.5,0.8,1.4
90,Houston,12,23.7,21.8,34.0,64.0,241.5,2.0,29.9,118.7,4.0,0.8,63.9,360.2,5.6,10.7,7.0,1.5,19.2,5.7,49.2,0.2,1.1,1.3
91,Western Michigan,12,23.7,20.6,32.8,62.8,211.2,1.1,39.9,153.8,3.9,1.8,72.7,365.0,5.0,8.9,8.6,2.3,19.8,7.2,62.7,0.3,0.8,1.1
92,Syracuse,13,23.5,14.8,24.3,60.8,171.0,1.3,40.7,172.3,4.2,1.5,65.0,343.3,5.3,7.2,8.8,1.8,17.9,7.3,61.6,0.7,1.2,1.8
93,Wisconsin,13,23.5,21.6,36.1,59.9,220.2,1.1,34.9,161.0,4.6,1.7,71.0,381.2,5.4,10.2,8.7,1.2,20.1,5.6,48.1,0.9,0.4,1.3
94,Tulsa,12,23.4,15.8,27.8,56.9,204.7,1.7,43.9,180.8,4.1,1.1,71.8,385.4,5.4,9.7,8.8,1.3,19.8,5.1,43.3,0.4,1.6,2.0
95,Virginia,12,23.3,20.7,33.0,62.6,250.8,1.6,37.8,117.9,3.1,1.0,70.8,368.8,5.2,10.6,8.4,2.0,21.0,6.5,55.3,0.5,1.2,1.7
96,Central Michigan,12,23.2,15.3,27.1,56.3,184.7,1.3,37.9,159.4,4.2,1.8,65.0,344.1,5.3,7.5,9.2,2.3,18.9,6.7,58.1,0.4,0.9,1.3
97,Massachusetts,12,23.2,17.7,29.0,60.9,214.1,1.2,32.5,142.2,4.4,1.6,61.5,356.3,5.8,8.4,7.7,1.8,17.9,8.0,70.9,0.5,0.9,1.4
98,Rutgers,13,23.2,10.9,22.6,48.3,137.5,0.8,39.8,168.7,4.2,1.8,62.4,306.2,4.9,6.5,9.7,1.3,17.5,5.1,45.2,0.4,0.6,1.0
99,Southern Mississippi,12,23.2,15.7,30.3,51.8,190.7,1.3,40.4,162.8,4.0,1.3,70.7,353.4,5.0,8.3,9.3,2.5,20.2,6.3,48.2,0.6,0.7,1.3
100,Utah,13,23.2,14.5,25.2,57.6,165.8,1.2,43.2,182.5,4.2,1.5,68.5,348.4,5.1,7.2,10.2,1.5,18.8,5.0,41.6,0.2,0.8,1.0
101,Baylor,12,23.1,21.9,36.8,59.5,263.0,1.3,34.4,114.8,3.3,1.1,71.3,377.8,5.3,11.6,7.3,1.0,19.8,4.1,28.9,0.7,0.6,1.3
102,BYU,12,23.1,18.3,33.0,55.6,205.4,1.4,30.0,104.3,3.5,1.3,63.0,309.8,4.9,9.4,5.8,1.5,16.8,5.3,43.0,0.8,0.8,1.6
103,Marshall,13,22.8,20.6,32.8,62.9,226.2,0.9,34.8,132.3,3.8,1.6,67.5,358.5,5.3,9.8,6.2,2.3,18.3,6.5,58.2,0.8,1.4,2.2
104,Vanderbilt,12,22.8,18.1,32.5,55.6,223.7,1.9,29.1,95.3,3.3,0.8,61.6,318.9,5.2,9.0,5.8,2.3,17.0,4.9,42.5,0.6,1.0,1.6
105,Indiana,12,22.2,17.9,30.6,58.6,212.8,1.5,36.1,120.1,3.3,1.1,66.7,332.8,5.0,10.2,7.4,2.2,19.8,5.4,50.6,0.7,0.8,1.5
106,Northwestern,13,22.1,18.5,29.9,62.0,202.0,1.5,35.2,101.9,2.9,1.1,65.2,303.9,4.7,8.9,6.5,1.5,16.9,5.3,42.6,0.1,0.6,0.7
107,Mississippi State,12,21.8,16.8,29.0,57.8,181.8,1.3,33.4,146.8,4.4,1.0,62.4,328.6,5.3,8.8,6.6,1.2,16.6,6.3,56.8,0.3,0.8,1.2
108,Hawaii,13,21.4,25.9,41.3,62.8,276.4,2.1,25.0,76.1,3.0,0.5,66.3,352.5,5.3,11.8,5.4,2.1,19.3,6.2,56.4,0.6,1.2,1.8
109,Temple,12,21.1,23.6,42.3,55.7,276.7,1.9,27.6,95.7,3.5,0.8,69.9,372.3,5.3,12.9,5.3,2.4,20.6,4.5,36.7,0.8,1.3,2.1
110,Buffalo,12,20.9,17.7,32.8,53.8,185.2,1.2,36.3,133.6,3.7,1.3,69.1,318.8,4.6,8.4,7.4,1.5,17.3,4.8,41.6,0.6,0.9,1.5
111,Minnesota,13,20.9,12.6,24.0,52.6,143.4,1.2,38.8,157.5,4.1,1.0,62.8,300.9,4.8,6.9,9.5,1.8,18.2,3.0,27.1,0.5,0.8,1.3
112,Stanford,12,20.6,19.4,35.4,54.8,233.0,0.9,34.4,118.6,3.4,1.3,69.8,351.6,5.0,10.1,6.8,2.7,19.6,6.4,59.1,0.4,0.8,1.3
113,Army,12,20.5,6.9,13.7,50.6,102.8,0.6,47.8,208.0,4.3,1.6,61.5,310.8,5.1,3.8,11.5,0.9,16.2,4.0,36.7,0.9,0.9,1.8
114,San Diego State,12,20.5,16.8,26.6,63.3,171.8,0.8,37.8,154.3,4.1,1.3,64.4,326.0,5.1,8.1,8.1,1.0,17.2,4.9,44.0,0.6,0.8,1.4
115,Wake Forest,12,20.3,16.2,26.8,60.4,197.3,1.2,39.0,130.4,3.3,1.1,65.8,327.8,5.0,8.8,8.8,2.4,20.0,4.1,38.8,0.9,0.9,1.8
