Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
53,Middle Tennessee State,13,29.8,22.8,35.6,63.9,238.5,2.2,35.0,123.7,3.5,1.2,70.6,362.2,5.1,10.5,7.8,1.5,19.8,6.6,56.5,0.6,1.0,1.6
54,East Carolina,12,29.7,21.8,35.3,61.7,270.8,1.8,39.6,162.4,4.1,1.7,74.8,433.2,5.8,11.8,8.5,1.7,21.9,5.3,49.3,0.9,0.9,1.8
55,UAB,13,29.5,14.0,21.9,63.9,206.3,1.5,39.0,180.3,4.6,2.1,60.9,386.6,6.3,7.7,9.1,1.2,17.9,8.8,85.4,0.5,0.8,1.3
56,Buffalo,12,29.3,18.2,30.6,59.4,214.9,1.0,44.8,195.7,4.4,2.5,75.3,410.6,5.5,9.8,11.6,2.3,23.8,5.4,51.9,0.6,0.9,1.5
57,Maryland,13,29.3,26.1,37.6,69.3,304.6,2.1,33.2,137.3,4.1,1.5,70.8,441.9,6.2,12.6,9.4,1.3,23.3,6.8,57.2,0.5,0.9,1.4
58,Texas A&M,12,29.3,17.3,30.8,56.4,208.6,1.6,34.3,183.8,5.4,1.4,65.1,392.4,6.0,9.9,9.8,1.3,21.0,6.4,55.1,0.3,1.1,1.3
59,Boise State,12,29.2,21.2,34.1,62.1,260.6,1.7,37.8,124.3,3.3,1.3,71.9,384.8,5.4,11.4,8.8,1.8,22.0,4.9,49.7,0.4,0.8,1.3
60,Mississippi State,13,29.1,39.8,54.2,73.6,378.3,2.8,20.8,63.2,3.0,0.8,74.9,441.5,5.9,18.2,5.4,2.2,25.7,7.5,57.2,0.7,0.7,1.4
61,Missouri,13,29.1,23.2,34.9,66.3,233.5,1.4,35.6,180.3,5.1,1.6,70.5,413.8,5.9,10.7,9.1,1.9,21.7,6.4,59.2,0.2,0.8,1.0
62,Purdue,13,29.1,31.3,44.3,70.7,355.4,2.7,29.7,84.8,2.9,0.5,74.0,440.2,5.9,17.1,5.1,1.9,24.0,4.5,42.8,0.5,0.9,1.5
63,Miami (OH),13,28.9,19.0,32.7,58.1,278.5,2.5,34.0,148.9,4.4,1.2,66.7,427.5,6.4,11.9,7.8,1.8,21.5,6.7,60.4,0.3,0.6,0.9
64,Hawaii,13,28.8,20.0,35.5,56.3,262.2,1.5,33.1,143.9,4.4,1.7,68.6,406.1,5.9,11.1,7.4,1.8,20.2,5.2,45.1,1.0,1.2,2.2
65,TCU,12,28.7,16.7,25.8,64.5,239.6,1.6,39.1,197.0,5.0,1.8,64.9,436.6,6.7,9.9,9.6,1.6,21.1,7.1,61.4,0.8,0.5,1.3
66,USC,12,28.7,26.5,41.7,63.6,298.3,1.8,33.3,145.9,4.4,1.3,74.9,444.3,5.9,13.8,9.4,2.5,25.8,8.0,75.0,0.6,1.1,1.7
67,Arizona State,13,28.4,15.8,24.1,65.8,194.7,0.9,37.3,194.9,5.2,2.6,61.4,389.6,6.3,8.2,10.8,1.1,20.0,8.7,78.1,0.9,0.8,1.7
68,Auburn,13,28.3,20.5,34.8,58.9,240.1,1.3,33.8,162.4,4.8,1.7,68.7,402.5,5.9,10.9,8.5,1.5,20.9,5.7,46.4,0.6,0.3,0.9
69,Georgia State,13,28.2,13.8,23.9,57.9,161.6,1.5,44.8,226.9,5.1,1.9,68.8,388.5,5.6,7.7,12.8,1.2,21.6,5.4,50.5,0.5,0.6,1.2
