Rk,Coach,School,Conf,W,L,Pct,Notes
120,Will Hall,Southern Mississippi,Sun Belt,3,9,.250,
121,K.C. Keeler,Sam Houston,CUSA,3,9,.250,
122,Maurice Linguist,Buffalo,MAC,3,9,.250,
123,Jim Mora,Connecticut,Ind,3,9,.250,
124,Pat Narduzzi,Pitt,ACC,3,9,.250,
125,Biff Poggi,Charlotte,American,3,9,.250,
126,Scott Satterfield,Cincinnati,Big 12,3,9,.250,
127,Troy Taylor,Stanford,Pac-12,3,9,.250,
128,Mel Tucker II,Michigan State,Big Ten,2,0,1.000,
129,Harlon Barnett,Michigan State,Big Ten,2,8,.200,
130,Terry Bowden,Louisiana-Monroe,Sun Belt,2,10,.167,
131,Mike Houston,East Carolina,American,2,10,.167,
132,Clark Lea,Vanderbilt,SEC,2,10,.167,
133,Joe Moorhead,Akron,MAC,2,10,.167,
134,Ken Wilson,Nevada,MWC,2,10,.167,
135,Tim Skipper,Fresno State,MWC,1,0,1.000,
136,Trooper Taylor,Duke,ACC,1,0,1.000,
137,Nunzio Campanile,Syracuse,ACC,1,1,.500,
138,Greg Knox,Mississippi State,SEC,1,1,.500,
139,Elijah Robinson,Texas A&M,SEC,1,2,.333,
140,Kenni Burns,Kent State,MAC,1,11,.083,
141,Greg Gasparato,Troy,Sun Belt,0,1,.000,
142,Kefense Hynson,Oregon State,Pac-12,0,1,.000,
143,Slade Nagle,Tulane,American,0,1,.000,
144,Damian Wroblewski,James Madison,Sun Belt,0,1,.000,
