Rk,Coach,School,Conf,W,L,Pct,Notes
58,Mike Bobo,Colorado State,MWC,7,6,.538,
59,Dave Clawson,Wake Forest,ACC,7,6,.538,
60,Chris Creighton,Eastern Michigan,MAC,7,6,.538,
61,Dave Doeren,North Carolina State,ACC,7,6,.538,
62,Pat Fitzgerald,Northwestern,Big Ten,7,6,.538,
63,Jim Grobe,Baylor,Big 12,7,6,.538,
64,Jay Hopson,Southern Mississippi,CUSA,7,6,.538,
65,Mark Stoops,Kentucky,SEC,7,6,.538,
66,Nick Rolovich,Hawaii,MWC,7,7,.500,
67,Ed Orgeron,LSU,SEC,6,2,.750,
68,Kevin Wilson,Indiana,Big Ten,6,6,.500,
69,John Bonamego,Central Michigan,MAC,6,7,.462,
70,D.J. Durkin,Maryland,Big Ten,6,7,.462,
71,Scott Frost,UCF,American,6,7,.462,
72,Mark Hudspeth,Louisiana,Sun Belt,6,7,.462,
73,Joey Jones,South Alabama,Sun Belt,6,7,.462,
74,Chuck Martin,Miami (OH),MAC,6,7,.462,
75,Derek Mason,Vanderbilt,SEC,6,7,.462,
76,Dan Mullen,Mississippi State,SEC,6,7,.462,
77,Will Muschamp,South Carolina,SEC,6,7,.462,
78,Gary Patterson,TCU,Big 12,6,7,.462,
79,Frank Wilson,UTSA,CUSA,6,7,.462,
80,Terry Bowden,Akron,MAC,5,7,.417,
81,Rod Carey,Northern Illinois,MAC,5,7,.417,
82,Sonny Dykes,California,Pac-12,5,7,.417,
83,Hugh Freeze,Ole Miss,SEC,5,7,.417,
84,Todd Graham,Arizona State,Pac-12,5,7,.417,
85,Kliff Kingsbury,Texas Tech,Big 12,5,7,.417,
86,Chad Morris,SMU,American,5,7,.417,
87,Brian Polian,Nevada,MWC,5,7,.417,
88,Charlie Strong,Texas,Big 12,5,7,.417,
89,Tyson Summers,Georgia Southern,Sun Belt,5,7,.417,
90,Seth Littrell,North Texas,CUSA,5,8,.385,
91,Ron Cooper,Florida International,CUSA,4,4,.500,
92,Gary Andersen,Oregon State,Pac-12,4,8,.333,
93,Dino Babers,Syracuse,ACC,4,8,.333,
94,Ron Caragher,San Jose State,MWC,4,8,.333,
95,David Cutcliffe,Duke,ACC,4,8,.333,
96,Willie Fritz,Tulane,American,4,8,.333,
97,Mark Helfrich,Oregon,Pac-12,4,8,.333,
98,Mike Jinks,Bowling Green,MAC,4,8,.333,
99,Brian Kelly,Notre Dame,Ind,4,8,.333,
100,Sean Kugler,UTEP,CUSA,4,8,.333,
101,Brad Lambert,Charlotte,CUSA,4,8,.333,
102,Jim Mora,UCLA,Pac-12,4,8,.333,
103,Mike Neu,Ball State,MAC,4,8,.333,
104,Barry Odom,Missouri,SEC,4,8,.333,
105,Tony Sanchez,UNLV,MWC,4,8,.333,
106,Tommy Tuberville,Cincinnati,American,4,8,.333,
107,Matt Viator,Louisiana-Monroe,Sun Belt,4,8,.333,
108,Darrell Hazell,Purdue,Big Ten,3,3,.500,
109,David Bailiff,Rice,CUSA,3,9,.250,
110,Matt Campbell,Iowa State,Big 12,3,9,.250,
111,Mark Dantonio,Michigan State,Big Ten,3,9,.250,
112,Bob Diaco,Connecticut,American,3,9,.250,
113,Paul Haynes,Kent State,MAC,3,9,.250,
114,Doc Holliday,Marshall,CUSA,3,9,.250,
115,Doug Martin,New Mexico State,Sun Belt,3,9,.250,
116,Scottie Montgomery,East Carolina,American,3,9,.250,
117,Charlie Partridge,Florida Atlantic,CUSA,3,9,.250,
118,Rich Rodriguez,Arizona,Pac-12,3,9,.250,
119,Lovie Smith,Illinois,Big Ten,3,9,.250,
120,Matt Wells,Utah State,MWC,3,9,.250,
121,Les Miles,LSU,SEC,2,2,.500,
122,Trent Miles,Georgia State,Sun Belt,2,8,.200,
123,Chris Ash,Rutgers,Big Ten,2,10,.167,
124,David Beaty,Kansas,Big 12,2,10,.167,
125,Lance Leipold,Buffalo,MAC,2,10,.167,
126,Bronco Mendenhall,Virginia,ACC,2,10,.167,
127,Mark Whipple,Massachusetts,MAC,2,10,.167,
128,Everett Withers,Texas State,Sun Belt,2,10,.167,
129,Nick Holt,Western Kentucky,CUSA,1,0,1.000,
130,TJ Weist,South Florida,American,1,0,1.000,
131,Tim Lappano,Georgia State,Sun Belt,1,1,.500,
132,Tim DeRuyter,Fresno State,MWC,1,7,.125,
133,Tom Allen,Indiana,Big Ten,0,1,.000,
134,Major Applewhite,Houston,American,0,1,.000,
135,Ed Foley,Temple,American,0,1,.000,
136,Eric Kiesau,Fresno State,MWC,0,4,.000,
137,Gerad Parker,Purdue,Big Ten,0,6,.000,
138,Ron Turner,Florida International,CUSA,0,4,.000,
