Rk,Coach,School,Conf,W,L,Pct,Notes
45,Shawn Elliott,Georgia State,Sun Belt,8,5,.615,
46,Hugh Freeze,Liberty,,8,5,.615,
47,Chris Klieman,Kansas State,Big 12,8,5,.615,
48,Tim Lester,Western Michigan,MAC,8,5,.615,
49,Andy Avalos,Boise State,MWC,7,5,.583,
50,Manny Diaz,Miami (FL),ACC,7,5,.583,
51,Mike Houston,East Carolina,American,7,5,.583,
52,Shane Beamer,South Carolina,SEC,7,6,.538,
53,Craig Bohl,Wyoming,MWC,7,6,.538,
54,Matt Campbell,Iowa State,Big 12,7,6,.538,
55,Jason Candle,Toledo,MAC,7,6,.538,
56,Chris Creighton,Eastern Michigan,MAC,7,6,.538,
57,Dana Dimel,UTEP,CUSA,7,6,.538,
58,James Franklin,Penn State,Big Ten,7,6,.538,
59,Josh Heupel,Tennessee,SEC,7,6,.538,
60,Charles Huff,Marshall,CUSA,7,6,.538,
61,Mike Leach,Mississippi State,SEC,7,6,.538,
62,Mike Locksley,Maryland,Big Ten,7,6,.538,
63,Chuck Martin,Miami (OH),MAC,7,6,.538,
64,Philip Montgomery,Tulsa,American,7,6,.538,
65,Jonathan Smith,Oregon State,Pac-12,7,6,.538,
66,Rick Stockstill,Middle Tennessee State,CUSA,7,6,.538,
67,Sean Lewis,Kent State,MAC,7,7,.500,
68,Jeff Hafley,Boston College,ACC,6,6,.500,
69,Bronco Mendenhall,Virginia,ACC,6,6,.500,
70,Ed Orgeron,LSU,SEC,6,6,.500,
71,Ryan Silverfield,Memphis,American,6,6,.500,
72,Mack Brown,North Carolina,ACC,6,7,.462,
73,Neal Brown,West Virginia,Big 12,6,7,.462,
74,Eli Drinkwitz,Missouri,SEC,6,7,.462,
75,Todd Graham,Hawaii,MWC,6,7,.462,
76,Bryan Harsin,Auburn,SEC,6,7,.462,
77,Seth Littrell,North Texas,CUSA,6,7,.462,
78,Mike Neu,Ball State,MAC,6,7,.462,
79,Ricky Rahne,Old Dominion,CUSA,6,7,.462,
80,Scott Satterfield,Louisville,ACC,6,7,.462,
81,Matt Wells,Texas Tech,Big 12,5,3,.625,
82,Justin Fuente,Virginia Tech,ACC,5,5,.500,
83,Chip Lindsey,Troy,Sun Belt,5,6,.455,
84,Dan Mullen,Florida,SEC,5,6,.455,
85,Dino Babers,Syracuse,ACC,5,7,.417,
86,Bret Bielema,Illinois,Big Ten,5,7,.417,
87,Brent Brennan,San Jose State,MWC,5,7,.417,
88,Will Healy,Charlotte,CUSA,5,7,.417,
89,Mike Norvell,Florida State,ACC,5,7,.417,
90,Steve Sarkisian,Texas,Big 12,5,7,.417,
91,Willie Taggart,Florida Atlantic,CUSA,5,7,.417,
92,Justin Wilcox,California,Pac-12,5,7,.417,
93,Kane Wommack,South Alabama,Sun Belt,5,7,.417,
94,Greg Schiano,Rutgers,Big Ten,5,8,.385,
95,Nick Rolovich,Washington State,Pac-12,4,3,.571,
96,Jimmy Lake,Washington,Pac-12,4,5,.444,
97,Mike Bloomgren,Rice,CUSA,4,8,.333,
98,Terry Bowden,Louisiana-Monroe,Sun Belt,4,8,.333,
99,Karl Dorrell,Colorado,Pac-12,4,8,.333,
100,Maurice Linguist,Buffalo,MAC,4,8,.333,
101,Scot Loeffler,Bowling Green,MAC,4,8,.333,
102,Ken Niumatalolo,Navy,American,4,8,.333,
103,Jake Spavital,Texas State,Sun Belt,4,8,.333,
104,Jake Dickert,Washington State,Pac-12,3,3,.500,
105,Gary Patterson,TCU,Big 12,3,5,.375,
106,Donte Williams,USC,Pac-12,3,7,.300,
107,Steve Addazio,Colorado State,MWC,3,9,.250,
108,Tim Albin,Ohio,MAC,3,9,.250,
109,Rod Carey,Temple,American,3,9,.250,
110,Geoff Collins,Georgia Tech,ACC,3,9,.250,
111,David Cutcliffe,Duke,ACC,3,9,.250,
112,Pat Fitzgerald,Northwestern,Big Ten,3,9,.250,
113,Scott Frost,Nebraska,Big Ten,3,9,.250,
114,Danny Gonzales,New Mexico,MWC,3,9,.250,
115,Will Hall,Southern Mississippi,CUSA,3,9,.250,
116,Skip Holtz,Louisiana Tech,CUSA,3,9,.250,
117,David Shaw,Stanford,Pac-12,3,9,.250,
118,Jerry Kill,TCU,Big 12,2,2,.500,
119,Sonny Cumbie,Texas Tech,Big 12,2,3,.400,
120,Kevin Whitley,Georgia Southern,Sun Belt,2,6,.250,
121,Tom Arth,Akron,MAC,2,7,.222,
122,Tom Allen,Indiana,Big Ten,2,10,.167,
123,Marcus Arroyo,UNLV,MWC,2,10,.167,
124,Willie Fritz,Tulane,American,2,10,.167,
125,Butch Jones,Arkansas State,Sun Belt,2,10,.167,
126,Clark Lea,Vanderbilt,SEC,2,10,.167,
127,Lance Leipold,Kansas,Big 12,2,10,.167,
128,Doug Martin,New Mexico State,,2,10,.167,
129,Jeff Scott,South Florida,American,2,10,.167,
130,Michael Desormeaux,Louisiana,Sun Belt,1,0,1.000,
131,Lee Marks,Fresno State,MWC,1,0,1.000,
132,Bob Stoops,Oklahoma,Big 12,1,0,1.000,
133,Clay Helton,USC,Pac-12,1,1,.500,
134,Greg Knox,Florida,SEC,1,1,.500,
135,J.C. Price,Virginia Tech,ACC,1,2,.333,
136,Chad Lunsford,Georgia Southern,Sun Belt,1,3,.250,
137,Walt Bell,Massachusetts,Ind,1,8,.111,
138,Lou Spanos,Connecticut,American,1,9,.100,
139,Butch Davis,Florida International,CUSA,1,11,.083,
140,Jedd Fisch,Arizona,Pac-12,1,11,.083,
141,Brad Davis,LSU,SEC,0,1,.000,
142,Randy Edsall,Connecticut,American,0,2,.000,
143,Marcus Freeman,Notre Dame,Ind,0,1,.000,
144,Bob Gregory,Washington,Pac-12,0,3,.000,
145,Brandon Hall,Troy,Sun Belt,0,1,.000,
146,Bryan McClendon,Oregon,Pac-12,0,1,.000,
147,Alex Miller,Massachusetts,Ind,0,3,.000,
148,Oscar Rodriguez Jr.,Akron,MAC,0,3,.000,
149,Vai Taua,Nevada,MWC,0,1,.000,
150,Jim Leavitt,SMU,American,,,,
151,Jess Simpson,Miami (FL),ACC,,,,
