Rk,Coach,School,Conf,W,L,Pct,Notes
103,Shawn Elliott,Georgia State,Sun Belt,4,8,.333,
104,Mike MacIntyre,Florida International,CUSA,4,8,.333,
105,Jim McElwain,Central Michigan,MAC,4,8,.333,
106,Ken Niumatalolo,Navy,American,4,8,.333,
107,Greg Schiano,Rutgers,Big Ten,4,8,.333,
108,Jake Spavital,Texas State,Sun Belt,4,8,.333,
109,Justin Wilcox,California,Pac-12,4,8,.333,
110,Bryan Harsin,Auburn,SEC,3,5,.375,
111,Mickey Joseph,Nebraska,Big Ten,3,6,.333,
112,Tony Elliott,Virginia,ACC,3,7,.300,
113,Brent Pry,Virginia Tech,ACC,3,8,.273,
114,Sonny Cumbie,Louisiana Tech,CUSA,3,9,.250,
115,Stan Drayton,Temple,American,3,9,.250,
116,Jeff Hafley,Boston College,ACC,3,9,.250,
117,Thomas Hammock,Northern Illinois,MAC,3,9,.250,
118,Butch Jones,Arkansas State,Sun Belt,3,9,.250,
119,Jay Norvell,Colorado State,MWC,3,9,.250,
120,Ricky Rahne,Old Dominion,Sun Belt,3,9,.250,
121,David Shaw,Stanford,Pac-12,3,9,.250,
122,Timmy Chang,Hawaii,MWC,3,10,.231,
123,Peter Rossomando,Charlotte,CUSA,2,2,.500,
124,Cadillac Williams,Auburn,SEC,2,2,.500,
125,Paul Chryst,Wisconsin,Big Ten,2,3,.400,
126,Shaun Aguano,Arizona State,Pac-12,2,7,.222,
127,Danny Gonzales,New Mexico,MWC,2,10,.167,
128,Joe Moorhead,Akron,MAC,2,10,.167,
129,Ken Wilson,Nevada,MWC,2,10,.167,
130,Zach Arnett,Mississippi State,SEC,1,0,1.000,
131,Deion Branch,Louisville,ACC,1,0,1.000,
132,Luke Fickell,Wisconsin,Big Ten,1,0,1.000,
133,Herm Edwards,Arizona State,Pac-12,1,2,.333,
134,Scott Frost,Nebraska,Big Ten,1,2,.333,
135,Geoff Collins,Georgia Tech,ACC,1,3,.250,
136,Mike Sanford Jr.,Colorado,Pac-12,1,6,.143,
137,Will Healy,Charlotte,CUSA,1,7,.125,
138,Jeff Scott,South Florida,American,1,8,.111,
139,Don Brown,Massachusetts,Ind,1,11,.083,
140,Pat Fitzgerald,Northwestern,Big Ten,1,11,.083,
141,Josh Aldridge,Liberty,Ind,0,1,.000,
142,Phil Bennett,North Texas,CUSA,0,1,.000,
143,Brian Brohm,Purdue,Big Ten,0,1,.000,
144,Kerry Coombs,Cincinnati,American,0,1,.000,
145,Daniel Da Prato,South Florida,American,0,3,.000,
146,Karl Dorrell,Colorado,Pac-12,0,5,.000,
147,Chad Staggs,Coastal Carolina,Sun Belt,0,1,.000,
