Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
69,Jerry Hughes,31,BUF,DE,16,16,0,0,0,0,3,0,0,1,11,0,4.5,23,14,9,6,9,0,,HughJe99
70,Danielle Hunter,25,MIN,DE,16,16,0,0,0,0,0,3,0,1,4,0,14.5,70,52,18,15,22,0,PBAP DPoY-5,HuntDa01
71,Micah Hyde,28,BUF,S,16,16,1,0,0,0,2,2,0,0,0,0,0.0,72,50,22,1,1,0,,HydeMi00
72,Germain Ifedi,25,SEA,RT,16,16,0,0,0,0,0,0,1,2,-1,0,0.0,0,0,0,0,0,0,,IfedGe00
73,Eddie Jackson,26,CHI,S,16,16,2,18,0,14,5,1,0,1,3,0,1.0,60,51,9,5,0,0,PB,JackEd01
74,Grady Jarrett,26,ATL,DT,16,16,0,0,0,0,0,2,0,0,0,0,7.5,69,38,31,12,16,0,PBAP-2,JarrGr00
75,Malcolm Jenkins,32,PHI,S,16,16,0,0,0,0,8,4,0,1,0,0,2.5,81,63,18,6,9,0,,JenkMa99
76,Rayshawn Jenkins,25,LAC,S,16,16,3,10,0,8,4,0,0,0,0,0,0.0,54,34,20,2,0,0,,JenkRa00
77,Ryan Jensen,28,TAM,C,16,16,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,,JensRy00
78,Aaron Jones,25,GNB,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,JoneAa00
79,Chandler Jones,29,ARI,LB,16,16,0,0,0,0,5,8,0,3,0,0,19.0,53,42,11,11,26,0,PBAP-1AP DPoY-2,JoneCh03
80,DaQuan Jones,28,TEN,DT,16,16,0,0,0,0,3,0,0,0,0,0,1.0,42,21,21,0,2,0,,JoneDa04
81,Deion Jones,25,ATL,LB,16,16,1,27,1,27,5,0,0,1,5,0,0.0,110,68,42,8,4,0,,JoneDe01
82,Cameron Jordan,30,NOR,DE,16,16,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,25,0,PBAP-2,JordCa00
83,Matt Judon,27,BAL,LB,16,16,0,0,0,0,0,4,0,0,0,0,9.5,54,43,11,14,33,0,PB,JudoMa00
84,Jason Kelce,32,PHI,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PBAP-1,KelcJa00
85,Travis Kelce,30,KAN,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PBAP-2,KelcTr00
86,Luke Kuechly,28,CAR,LB,16,16,2,26,0,25,12,0,0,0,0,0,0.0,144,81,63,4,5,1,PBAP-2,KuecLu00
87,Harold Landry,23,TEN,LB,16,16,1,0,0,0,1,1,0,2,0,0,9.0,68,43,25,12,14,0,,LandHa00
88,DeMarcus Lawrence,27,DAL,DE,16,16,0,0,0,0,2,2,0,2,0,0,5.0,45,30,15,10,16,0,,LawrDe00
89,Dexter Lawrence,22,NYG,DE,16,16,0,0,0,0,1,1,0,0,0,0,2.5,38,24,14,3,9,0,,LawrDe03
90,Brandon Linder,27,JAX,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,LindBr00
91,Phillip Lindsay,25,DEN,RB,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,LindPh00
92,Cory Littleton,26,LAR,LB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,5,0,,LittCo01
93,Tyler Lockett,27,SEA,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,LockTy00
94,Star Lotulelei,30,BUF,DT,16,16,1,0,0,0,1,0,0,0,0,0,2.0,19,12,7,3,3,0,,LotuSt00
95,Dean Lowry,25,GNB,DE,16,16,1,7,0,7,3,0,0,1,0,0,0.0,47,23,24,2,2,0,,LowrDe00
96,Khalil Mack,28,CHI,LB,16,16,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,14,0,PB,MackKh00
97,Nick Martin,26,HOU,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,MartNi00
98,Blake Martinez,25,GNB,LB,16,16,1,22,0,22,2,1,0,0,0,0,3.0,155,97,58,5,3,0,,MartBl01
99,Tyrann Mathieu,27,KAN,S,16,16,4,70,0,35,12,0,0,0,0,0,2.0,75,63,12,3,2,0,AP-1,MathTy00
100,Marcus Maye,26,NYJ,S,16,16,1,0,0,0,7,0,0,0,0,0,0.0,65,50,15,1,0,0,,MayeMa00
101,Baker Mayfield,24,CLE,QB,16,16,0,0,0,0,0,0,6,4,-20,0,0.0,0,0,0,0,0,0,,MayfBa00
102,Christian McCaffrey,23,CAR,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PBAP-1AP OPoY-3,McCaCh01
103,Devin McCourty,32,NWE,S,16,16,5,49,0,24,7,2,0,1,0,0,0.0,58,46,12,0,0,0,,McCoDe99
104,Gerald McCoy,31,CAR,DE,16,16,0,0,0,0,2,0,0,0,0,0,5.0,37,15,22,7,13,0,,McCoGe99
105,Kaleb McGary,24,ATL,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,McGaKa00
106,Connor McGovern,26,DEN,C,16,16,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,,McGoCo00
107,Steve McLendon,33,NYJ,DT,16,16,0,0,0,0,0,0,0,1,0,0,2.5,36,21,15,10,7,0,,McLeSt00
108,Rodney McLeod,29,PHI,S,16,16,2,30,0,23,6,2,0,0,0,0,1.0,76,46,30,0,1,0,,McLeRo00
109,Whitney Mercilus,29,HOU,LB,16,16,2,88,0,86,2,4,0,1,2,0,7.5,48,33,15,9,16,0,,MercWh00
