,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
553,Maurice Ffrench*,Pitt,ACC,8,12,122,10.2,2,15.3,0,0,,0,0.0,12,122,10.2,2,,maurice-ffrench-1
554,Sewo Olonilua*,Texas Christian,Big 12,13,15,122,8.1,1,9.4,2,17,8.5,0,1.3,17,139,8.2,1,,sewo-olonilua-1
555,Myles Swain*,Navy,American,7,22,121,5.5,1,17.3,0,0,,0,0.0,22,121,5.5,1,,myles-swain-1
556,R.J. Shelton,Michigan State,Big Ten,12,18,121,6.7,0,10.1,53,789,14.9,5,65.8,71,910,12.8,5,,rj-shelton-1
557,Madre London,Michigan State,Big Ten,11,28,120,4.3,2,10.9,1,15,15.0,0,1.4,29,135,4.7,2,,madre-london-1
558,Dion Ray*,Louisiana,Sun Belt,6,27,119,4.4,2,19.8,0,0,,0,0.0,27,119,4.4,2,,dion-ray-1
559,Marcus Green,Louisiana-Monroe,Sun Belt,12,14,119,8.5,0,9.9,36,344,9.6,4,28.7,50,463,9.3,4,,marcus-green-6
560,Mason Fine*,North Texas,CUSA,10,94,118,1.3,2,11.8,0,0,,0,0.0,94,118,1.3,2,,mason-fine-1
561,Alex McGough,Florida International,CUSA,9,45,117,2.6,4,13.0,0,0,,0,0.0,45,117,2.6,4,,alex-mcgough-1
562,Cameron Scarlett*,Stanford,Pac-12,11,38,117,3.1,1,10.6,0,0,,0,0.0,38,117,3.1,1,,cameron-scarlett-1
563,Raymond Calais*,Louisiana,Sun Belt,9,23,117,5.1,1,13.0,0,0,,0,0.0,23,117,5.1,1,,raymond-calais-1
564,Alex Delton*,Kansas State,Big 12,4,24,116,4.8,1,29.0,0,0,,0,0.0,24,116,4.8,1,,alex-delton-1
565,Dimitri Flowers*,Oklahoma,Big 12,13,22,115,5.2,0,8.8,11,200,18.2,4,15.4,33,315,9.5,4,,dimitri-flowers-1
566,Mark Allen*,Penn State,Big Ten,13,29,115,4.0,1,8.8,4,24,6.0,1,1.8,33,139,4.2,2,,mark-allen-5
567,Johnathon Johnson,Missouri,SEC,12,4,114,28.5,0,9.5,24,435,18.1,2,36.3,28,549,19.6,2,,johnathon-johnson-2
568,Justen Hervey,Utah State,MWC,11,12,113,9.4,1,10.3,1,0,0.0,0,0.0,13,113,8.7,1,,justen-hervey-1
569,Paul Lucas,Oregon State,Pac-12,12,33,113,3.4,0,9.4,5,76,15.2,0,6.3,38,189,5.0,0,,paul-lucas-1
570,Damion Hobbs,Utah State,MWC,10,24,111,4.6,6,11.1,0,0,,0,0.0,24,111,4.6,6,,damion-hobbs-1
571,Deonta Moore*,South Alabama,Sun Belt,13,26,111,4.3,0,8.5,2,10,5.0,0,0.8,28,121,4.3,0,,deonta-moore-1
572,Jager Gardner*,Temple,American,11,29,111,3.8,2,10.1,0,0,,0,0.0,29,111,3.8,2,,jager-gardner-1
573,Wyatt Schrepfer*,Baylor,Big 12,6,32,111,3.5,0,18.5,0,0,,0,0.0,32,111,3.5,0,,wyatt-schrepfer-1
574,Austin Conway*,Wyoming,MWC,14,17,110,6.5,1,7.9,11,103,9.4,0,7.4,28,213,7.6,1,,austin-conway-1
575,Kendrick Dorn,Georgia State,Sun Belt,9,31,110,3.5,1,12.2,11,66,6.0,0,7.3,42,176,4.2,1,,kendrick-dorn-1
576,Rayshad Lewis,Utah State,MWC,12,10,110,11.0,1,9.2,40,469,11.7,2,39.1,50,579,11.6,3,,rayshad-lewis-1
577,Rayshad Lewis,Utah State,MWC,11,10,110,11.0,1,10.0,37,463,12.5,2,42.1,47,573,12.2,3,,rayshad-lewis-2
578,George Bollas,Kent State,MAC,8,23,109,4.7,1,13.6,0,0,,0,0.0,23,109,4.7,1,,george-bollas-1
579,James White*,Texas A&M,SEC,12,24,109,4.5,3,9.1,0,0,,0,0.0,24,109,4.5,3,,james-white-5
580,Kody Walker*,Arkansas,SEC,7,33,109,3.3,1,15.6,3,21,7.0,0,3.0,36,130,3.6,1,,kody-walker-1
581,Maurice Alexander,Florida International,CUSA,8,55,109,2.0,1,13.6,0,0,,0,0.0,55,109,2.0,1,,maurice-alexander-2
582,Mitchell Harger,Iowa State,Big 12,10,18,109,6.1,1,10.9,3,19,6.3,0,1.9,21,128,6.1,1,,mitchell-harger-1
583,Tyshon Dye*,Clemson,ACC,7,21,109,5.2,1,15.6,2,11,5.5,0,1.6,23,120,5.2,1,,tyshon-dye-1
584,Treyvon Green,Fresno State,MWC,11,24,108,4.5,0,9.8,2,23,11.5,0,2.1,26,131,5.0,0,,treyvon-green-1
585,Daniel Santacaterina,Northern Illinois,MAC,3,26,107,4.1,1,35.7,0,0,,0,0.0,26,107,4.1,1,,daniel-santacaterina-1
586,Giovanni Rescigno,Rutgers,Big Ten,7,59,107,1.8,2,15.3,0,0,,0,0.0,59,107,1.8,2,,giovanni-rescigno-1
587,Kahlil Lewis,Cincinnati,American,12,9,107,11.9,0,8.9,48,605,12.6,5,50.4,57,712,12.5,5,,kahlil-lewis-1
588,Tra Barnett,Georgia State,Sun Belt,9,22,107,4.9,0,11.9,3,29,9.7,0,3.2,25,136,5.4,0,,tra-barnett-1
589,Ty Lee*,Middle Tennessee State,CUSA,13,6,107,17.8,1,8.2,63,699,11.1,9,53.8,69,806,11.7,10,,ty-lee-1
590,Keith Mixon*,Mississippi State,SEC,13,25,106,4.2,0,8.2,19,228,12.0,2,17.5,44,334,7.6,2,,keith-mixon-1
591,Will Collins,Louisiana-Monroe,Sun Belt,6,39,105,2.7,0,17.5,0,0,,0,0.0,39,105,2.7,0,,will-collins-2
592,Daryl Rollins Davis*,Arkansas State,Sun Belt,11,23,104,4.5,1,9.5,2,27,13.5,0,2.5,25,131,5.2,1,,daryl-rollins-davis-1
593,Demarcus Kirk,Georgia State,Sun Belt,10,36,104,2.9,1,10.4,1,4,4.0,0,0.4,37,108,2.9,1,,demarcus-kirk-1
594,Gemonta Jackson*,Old Dominion,CUSA,6,22,103,4.7,1,17.2,1,12,12.0,0,2.0,23,115,5.0,1,,gemonta-jackson-1
595,John Ross*,Washington,Pac-12,14,8,102,12.8,1,7.3,81,1150,14.2,17,82.1,89,1252,14.1,18,,john-ross-1
596,Rowdy Simon*,Tulsa,American,13,18,102,5.7,1,7.8,0,0,,0,0.0,18,102,5.7,1,,rowdy-simon-1
597,Dede Westbrook*,Oklahoma,Big 12,13,10,101,10.1,0,7.8,80,1524,19.1,17,117.2,90,1625,18.1,17,H-4AA,dede-westbrook-1
598,Kaleb Barker*,Troy,Sun Belt,10,9,101,11.2,1,10.1,0,0,,0,0.0,9,101,11.2,1,,kaleb-barker-1
599,Kevin Dove,UTEP,CUSA,5,19,101,5.3,1,20.2,0,0,,0,0.0,19,101,5.3,1,,kevin-dove-1
600,Andy Isabella,Massachusetts,Ind,12,12,100,8.3,0,8.3,62,801,12.9,7,66.8,74,901,12.2,7,,andy-isabella-1
601,Damian Williams*,Mississippi State,SEC,5,19,99,5.2,1,19.8,0,0,,0,0.0,19,99,5.2,1,,damian-williams-3
602,Clayton Thorson*,Northwestern,Big Ten,13,97,98,1.0,5,7.5,0,0,,0,0.0,97,98,1.0,5,,clayton-thorson-1
603,Dakwa Nichols*,North Carolina State,ACC,11,19,98,5.2,1,8.9,2,23,11.5,0,2.1,21,121,5.8,1,,dakwa-nichols-1
604,Deebo Samuel*,South Carolina,SEC,10,15,98,6.5,6,9.8,59,783,13.3,1,78.3,74,881,11.9,7,,deebo-samuel-1
605,Jordan Whitehead*,Pitt,ACC,9,9,98,10.9,0,10.9,0,0,,0,0.0,9,98,10.9,0,,jordan-whitehead-1
606,Bilal Ally,Massachusetts,Ind,9,17,97,5.7,0,10.8,0,0,,0,0.0,17,97,5.7,0,,bilal-ally-1
607,Deionte Buckley,Cincinnati,American,12,19,97,5.1,0,8.1,0,0,,0,0.0,19,97,5.1,0,,deionte-buckley-1
608,Donovan Lee*,Colorado,Pac-12,11,28,97,3.5,0,8.8,8,46,5.8,0,4.2,36,143,4.0,0,,donovan-lee-1
609,Nick Sharga*,Temple,American,14,18,97,5.4,0,6.9,1,2,2.0,0,0.1,19,99,5.2,0,,nick-sharga-1
610,Parker Wilson*,Air Force,MWC,13,16,97,6.1,0,7.5,0,0,,0,0.0,16,97,6.1,0,,parker-wilson-1
611,Tago Smith*,Navy,American,1,10,97,9.7,2,97.0,0,0,,0,0.0,10,97,9.7,2,,tago-smith-1
612,Trent Sherfield*,Vanderbilt,SEC,13,7,97,13.9,1,7.5,34,472,13.9,1,36.3,41,569,13.9,2,,trent-sherfield-1
613,Tyler Bell*,Wake Forest,ACC,12,20,97,4.9,1,8.1,2,15,7.5,0,1.3,22,112,5.1,1,,tyler-bell-2
614,Brandon Stephens,UCLA,Pac-12,8,19,95,5.0,0,11.9,4,39,9.8,0,4.9,23,134,5.8,0,,brandon-stephens-2
615,Tyler Stewart,Nevada,MWC,8,53,95,1.8,2,11.9,0,0,,0,0.0,53,95,1.8,2,,tyler-stewart-1
616,Ryan Finley*,North Carolina State,ACC,13,74,94,1.3,1,7.2,0,0,,0,0.0,74,94,1.3,1,,ryan-finley-1
617,Barry Sanders*,Oklahoma State,Big 12,13,28,93,3.3,2,7.2,9,45,5.0,0,3.5,37,138,3.7,2,,barry-sanders-2
618,Derrick Gore*,Alabama,SEC,12,18,93,5.2,1,7.8,1,0,0.0,0,0.0,19,93,4.9,1,,derrick-gore-1
619,Perry Hills*,Maryland,Big Ten,11,91,93,1.0,4,8.5,1,21,21.0,0,1.9,92,114,1.2,4,,perry-hills-1
620,Dallas Rivers*,Vanderbilt,SEC,13,20,92,4.6,1,7.1,2,13,6.5,0,1.0,22,105,4.8,1,,dallas-rivers-1
621,Winston Dimel*,Kansas State,Big 12,13,30,92,3.1,12,7.1,6,66,11.0,0,5.1,36,158,4.4,12,,winston-dimel-1
622,Connor White,Texas State,Sun Belt,5,29,91,3.1,0,18.2,0,0,,0,0.0,29,91,3.1,0,,connor-white-1
623,Mason Petrino*,Idaho,Sun Belt,7,22,91,4.1,0,13.0,0,0,,0,0.0,22,91,4.1,0,,mason-petrino-1
624,Matt Davis,SMU,American,1,14,91,6.5,0,91.0,0,0,,0,0.0,14,91,6.5,0,,matt-davis-4
625,Montell Cozart,Kansas,Big 12,8,28,91,3.3,0,11.4,0,0,,0,0.0,28,91,3.3,0,,montell-cozart-1
626,Tim Crawley,San Jose State,MWC,12,17,91,5.4,2,7.6,55,648,11.8,3,54.0,72,739,10.3,5,,tim-crawley-1
627,Freddie Stevenson*,Florida State,ACC,12,13,90,6.9,4,7.5,1,6,6.0,1,0.5,14,96,6.9,5,,freddie-stevenson-1
628,Jason Pellerin,Ole Miss,SEC,9,29,90,3.1,3,10.0,0,0,,0,0.0,29,90,3.1,3,,jason-pellerin-1
629,Mikale Wilbon*,Nebraska,Big Ten,10,15,89,5.9,0,8.9,4,34,8.5,0,3.4,19,123,6.5,0,,mikale-wilbon-1
630,Brent Freeman,SMU,American,3,17,88,5.2,0,29.3,0,0,,0,0.0,17,88,5.2,0,,brent-freeman-1
631,Joe Walker*,Army,Ind,12,6,88,14.7,0,7.3,3,65,21.7,2,5.4,9,153,17.0,2,,joe-walker-4
632,T.J. Hammonds*,Arkansas,SEC,8,15,88,5.9,1,11.0,0,0,,0,0.0,15,88,5.9,1,,tj-hammonds-1
633,David Hood*,Temple,American,11,16,87,5.4,0,7.9,1,11,11.0,0,1.0,17,98,5.8,0,,david-hood-2
634,Gerold Bright,Utah State,MWC,8,11,87,7.9,1,10.9,5,56,11.2,0,7.0,16,143,8.9,1,,gerold-bright-1
635,Mylik Mitchell,Kent State,MAC,4,48,87,1.8,0,21.8,0,0,,0,0.0,48,87,1.8,0,,mylik-mitchell-1
636,Tyler Rouse*,Boston College,ACC,13,24,87,3.6,0,6.7,9,86,9.6,1,6.6,33,173,5.2,1,,tyler-rouse-2
637,Damion Terry,Michigan State,Big Ten,7,26,85,3.3,1,12.1,1,15,15.0,0,2.1,27,100,3.7,1,,damion-terry-1
638,Josh Marriner*,Old Dominion,CUSA,12,23,84,3.7,0,7.0,2,13,6.5,0,1.1,25,97,3.9,0,,josh-marriner-1
639,KaVontae Turpin*,Texas Christian,Big 12,8,9,84,9.3,0,10.5,30,295,9.8,1,36.9,39,379,9.7,1,,kavontae-turpin-1
640,Jamire Jordan,Fresno State,MWC,12,17,83,4.9,1,6.9,45,713,15.8,2,59.4,62,796,12.8,3,,jamire-jordan-1
641,Jeff Carr*,Oklahoma State,Big 12,7,12,83,6.9,1,11.9,1,4,4.0,0,0.6,13,87,6.7,1,,jeff-carr-2
642,Ricky Brookins*,Indiana,Big Ten,13,20,82,4.1,0,6.3,4,16,4.0,0,1.2,24,98,4.1,0,,ricky-brookins-1
643,Adonis Jennings*,Temple,American,14,7,81,11.6,0,5.8,27,474,17.6,4,33.9,34,555,16.3,4,,adonis-jennings-1
644,Anthony Hawkins*,Colorado State,MWC,13,11,81,7.4,0,6.2,2,27,13.5,1,2.1,13,108,8.3,1,,anthony-hawkins-1
645,Sihiem King*,Kentucky,SEC,13,11,81,7.4,1,6.2,3,14,4.7,0,1.1,14,95,6.8,1,,sihiem-king-1
646,Blake Lynch*,Baylor,Big 12,11,12,80,6.7,0,7.3,34,404,11.9,3,36.7,46,484,10.5,3,,blake-lynch-1
647,Isiah Willis*,Georgia Tech,ACC,13,11,80,7.3,0,6.2,1,19,19.0,0,1.5,12,99,8.3,0,,isiah-willis-1
648,Harvey Langi*,BYU,Ind,13,20,79,4.0,2,6.1,0,0,,0,0.0,20,79,4.0,2,,harvey-langi-2
649,Kermit Whitfield*,Florida State,ACC,13,8,79,9.9,1,6.1,34,395,11.6,1,30.4,42,474,11.3,2,,kermit-whitfield-1
650,Dontre Wilson*,Ohio State,Big Ten,12,16,78,4.9,1,6.5,27,352,13.0,5,29.3,43,430,10.0,6,,dontre-wilson-1
651,Jalen Nixon*,Louisiana,Sun Belt,7,17,77,4.5,0,11.0,0,0,,0,0.0,17,77,4.5,0,,jalen-nixon-1
652,Jalen Starks,UCLA,Pac-12,5,26,77,3.0,2,15.4,0,0,,0,0.0,26,77,3.0,2,,jalen-starks-1
653,Jason Stewart*,Memphis,American,5,25,77,3.1,1,15.4,0,0,,0,0.0,25,77,3.1,1,,jason-stewart-3
654,Shai McKenzie*,Virginia Tech,ACC,6,20,76,3.8,1,12.7,3,28,9.3,0,4.7,23,104,4.5,1,,shai-mckenzie-1
655,George Aston*,Pitt,ACC,12,22,75,3.4,5,6.3,22,169,7.7,5,14.1,44,244,5.5,10,,george-aston-1
656,Marcus McMaryion,Oregon State,Pac-12,8,29,75,2.6,1,9.4,0,0,,0,0.0,29,75,2.6,1,,marcus-mcmaryion-1
657,Matt Guidry*,UTSA,CUSA,10,6,75,12.5,1,7.5,0,0,,0,0.0,6,75,12.5,1,,matt-guidry-1
658,Ryan Green*,Florida State,ACC,11,11,75,6.8,0,6.8,0,0,,0,0.0,11,75,6.8,0,,ryan-green-3
659,Tom Flacco*,Western Michigan,MAC,6,10,74,7.4,0,12.3,0,0,,0,0.0,10,74,7.4,0,,tom-flacco-1
660,Jalen Sparks,UCLA,Pac-12,4,25,73,2.9,2,18.3,1,2,2.0,0,0.5,26,75,2.9,2,,jalen-sparks-1
661,Malcolm Perry*,Navy,American,3,9,73,8.1,1,24.3,0,0,,0,0.0,9,73,8.1,1,,malcolm-perry-1
662,Sawyer Smith*,Troy,Sun Belt,6,19,73,3.8,1,12.2,0,0,,0,0.0,19,73,3.8,1,,sawyer-smith-1
663,Alex Ross,Missouri,SEC,11,24,71,3.0,0,6.5,1,3,3.0,0,0.3,25,74,3.0,0,,alex-ross-1
664,Mark Chapman*,Central Michigan,MAC,13,6,71,11.8,0,5.5,44,592,13.5,4,45.5,50,663,13.3,4,,mark-chapman-2
665,Michael Rector*,Stanford,Pac-12,13,5,71,14.2,1,5.5,32,367,11.5,3,28.2,37,438,11.8,4,,michael-rector-1
666,Tre Walker*,Navy,American,13,14,71,5.1,0,5.5,0,0,,0,0.0,14,71,5.1,0,,tre-walker-2
667,Elijah St. Hilaire*,Army,Ind,12,11,70,6.4,1,5.8,1,19,19.0,0,1.6,12,89,7.4,1,,elijah-st-hilaire-1
668,Tyler O'Connor,Michigan State,Big Ten,11,63,70,1.1,0,6.4,0,0,,0,0.0,63,70,1.1,0,,tyler-oconnor-1
669,Anthony Miller*,Memphis,American,13,12,69,5.8,1,5.3,95,1434,15.1,14,110.3,107,1503,14.0,15,,anthony-miller-6
670,Deltron Hopkins*,Appalachian State,Sun Belt,10,7,69,9.9,0,6.9,23,151,6.6,2,15.1,30,220,7.3,2,,deltron-hopkins-1
671,Jack Milas,Ball State,MAC,12,4,69,17.3,0,5.8,0,0,,0,0.0,4,69,17.3,0,,jack-milas-1
672,James Toland IV*,USC,Pac-12,9,13,69,5.3,0,7.7,0,0,,0,0.0,13,69,5.3,0,,james-toland-iv-1
673,Malik Miller*,Auburn,SEC,3,16,69,4.3,1,23.0,0,0,,0,0.0,16,69,4.3,1,,malik-miller-2
674,N'Keal Harry,Arizona State,Pac-12,12,3,69,23.0,2,5.8,58,659,11.4,5,54.9,61,728,11.9,7,,nkeal-harry-1
675,Ardarius Stewart*,Alabama,SEC,12,8,68,8.5,0,5.7,54,864,16.0,8,72.0,62,932,15.0,8,,ardarius-stewart-1
676,John Robinson-Woodgett,Massachusetts,Ind,11,19,68,3.6,1,6.2,10,65,6.5,1,5.9,29,133,4.6,2,,john-robinson-woodgett-1
677,Anthony Wyche*,North Texas,CUSA,7,21,67,3.2,0,9.6,3,31,10.3,0,4.4,24,98,4.1,0,,anthony-wyche-1
678,Jajuan Lawson*,New Mexico,MWC,4,12,67,5.6,1,16.8,0,0,,0,0.0,12,67,5.6,1,,jajuan-lawson-1
679,Josh Crawford*,Vanderbilt,SEC,9,14,66,4.7,0,7.3,0,0,,0,0.0,14,66,4.7,0,,josh-crawford-1
680,Malin Jones*,Louisville,ACC,11,15,66,4.4,0,6.0,2,18,9.0,0,1.6,17,84,4.9,0,,malin-jones-1
681,D.J. Reid*,Virginia Tech,ACC,5,12,65,5.4,0,13.0,0,0,,0,0.0,12,65,5.4,0,,dj-reid-2
682,Malik Rosier*,Miami (FL),ACC,6,2,65,32.5,1,10.8,0,0,,0,0.0,2,65,32.5,1,,malik-rosier-1
683,Gamar Girdy,New Mexico State,Sun Belt,12,10,64,6.4,0,5.3,0,0,,0,0.0,10,64,6.4,0,,gamar-girdy-1
684,Johnny Frasier*,North Carolina State,ACC,5,18,64,3.6,1,12.8,0,0,,0,0.0,18,64,3.6,1,,johnny-frasier-1
685,Kevonn Mabon,Ball State,MAC,12,12,64,5.3,1,5.3,85,972,11.4,3,81.0,97,1036,10.7,4,,kevonn-mabon-1
686,Parker Boehme,Duke,ACC,5,12,64,5.3,1,12.8,0,0,,0,0.0,12,64,5.3,1,,parker-boehme-1
687,Christian Chapman*,San Diego State,MWC,14,71,63,0.9,0,4.5,0,0,,0,0.0,71,63,0.9,0,,christian-chapman-1
688,Jehu Chesson*,Michigan,Big Ten,13,12,63,5.3,1,4.8,35,500,14.3,2,38.5,47,563,12.0,3,,jehu-chesson-1
689,Jerminic Smith*,Iowa,Big Ten,13,3,63,21.0,0,4.8,23,314,13.7,2,24.2,26,377,14.5,2,,jerminic-smith-1
690,Kwame Etwi*,Texas A&M,SEC,4,10,63,6.3,1,15.8,0,0,,0,0.0,10,63,6.3,1,,kwame-etwi-1
691,Tyler Byrd*,Tennessee,SEC,13,8,63,7.9,0,4.8,15,209,13.9,0,16.1,23,272,11.8,0,,tyler-byrd-1
692,J'mar Smith*,Louisiana Tech,CUSA,8,17,62,3.6,2,7.8,0,0,,0,0.0,17,62,3.6,2,,jmar-smith-1
693,Rod Talley*,South Carolina,SEC,12,11,62,5.6,0,5.2,2,16,8.0,0,1.3,13,78,6.0,0,,rod-talley-1
694,Shun Brown,Arizona,Pac-12,12,2,62,31.0,0,5.2,29,521,18.0,3,43.4,31,583,18.8,3,,shun-brown-1
695,Jordan Ellis,Virginia,ACC,12,14,61,4.4,1,5.1,0,0,,0,0.0,14,61,4.4,1,,jordan-ellis-2
696,Mason Rudolph*,Oklahoma State,Big 12,13,83,61,0.7,6,4.7,1,24,24.0,0,1.8,84,85,1.0,6,,mason-rudolph-1
697,Tre Tipton*,Pitt,ACC,9,11,61,5.5,0,6.8,12,142,11.8,1,15.8,23,203,8.8,1,,tre-tripton-1
698,Dennis Andrews*,Middle Tennessee State,CUSA,13,11,60,5.5,3,4.6,32,428,13.4,8,32.9,43,488,11.3,11,,dennis-andrews-3
699,D'Wayne Eskridge*,Western Michigan,MAC,12,6,60,10.0,0,5.0,17,121,7.1,1,10.1,23,181,7.9,1,,dwayne-eskridge-1
700,Noel Thomas,Connecticut,American,12,13,60,4.6,0,5.0,100,1179,11.8,3,98.3,113,1239,11.0,3,,noel-thomas-1
701,Parker Adamson*,Southern Mississippi,CUSA,4,13,60,4.6,1,15.0,0,0,,0,0.0,13,60,4.6,1,,parker-adamson-1
702,Steven Peoples*,Virginia Tech,ACC,14,16,60,3.8,1,4.3,2,40,20.0,1,2.9,18,100,5.6,2,,steven-peoples-1
703,Jacob Park,Iowa State,Big 12,10,36,59,1.6,1,5.9,1,10,10.0,0,1.0,37,69,1.9,1,,jacob-park-1
704,Jahmaal Daniel*,Navy,American,4,5,59,11.8,1,14.8,0,0,,0,0.0,5,59,11.8,1,,jahmaal-daniel-1
705,Patrick Laird,California,Pac-12,11,8,59,7.4,1,5.4,3,-2,-0.7,0,-0.2,11,57,5.2,1,,patrick-laird-2
706,Raekwon James,Kent State,MAC,12,8,59,7.4,0,4.9,25,225,9.0,0,18.8,33,284,8.6,0,,raekwon-james-1
707,Tre Nation,Illinois,Big Ten,3,11,59,5.4,0,19.7,0,0,,0,0.0,11,59,5.4,0,,tre-nation-1
708,Walter Dawn,UTEP,CUSA,12,15,59,3.9,2,4.9,6,121,20.2,1,10.1,21,180,8.6,3,,walter-dawn-1
709,Alonzo Moore*,Nebraska,Big Ten,11,4,58,14.5,1,5.3,20,375,18.8,2,34.1,24,433,18.0,3,,alonzo-moore-1
710,Austin Ramesh*,Wisconsin,Big Ten,11,17,58,3.4,3,5.3,3,24,8.0,0,2.2,20,82,4.1,3,,austin-ramesh-1
711,Carlin Fils-Aime*,Tennessee,SEC,7,14,58,4.1,2,8.3,0,0,,0,0.0,14,58,4.1,2,,carlin-fils-aime-1
712,D'Vaughn Pennamon,Ole Miss,SEC,9,20,58,2.9,1,6.4,2,20,10.0,0,2.2,22,78,3.5,1,,dvaughn-pennamon-1
713,Joe Burrow*,Ohio State,Big Ten,6,12,58,4.8,1,9.7,0,0,,0,0.0,12,58,4.8,1,,joe-burrow-1
714,Dejonte O'Neal,Fresno State,MWC,4,16,57,3.6,1,14.3,7,18,2.6,0,4.5,23,75,3.3,1,,dejonte-oneal-1
715,Devan Demas*,Boise State,MWC,8,15,57,3.8,0,7.1,1,5,5.0,0,0.6,16,62,3.9,0,,devan-demas-1
716,Jarret LaCoste,Oregon,Pac-12,2,11,57,5.2,0,28.5,0,0,,0,0.0,11,57,5.2,0,,jarret-lacoste-1
717,Nick Gibson*,Mississippi State,SEC,3,9,57,6.3,0,19.0,0,0,,0,0.0,9,57,6.3,0,,nick-gibson-1
718,Philip Nelson,East Carolina,American,10,62,57,0.9,2,5.7,1,2,2.0,1,0.2,63,59,0.9,3,,philip-nelson-1
719,Sidney Davis*,Troy,Sun Belt,13,6,57,9.5,1,4.4,12,168,14.0,1,12.9,18,225,12.5,2,,sidney-davis-1
720,D'Eriq King*,Houston,American,10,15,56,3.7,0,5.6,29,228,7.9,1,22.8,44,284,6.5,1,,deriq-king-1
721,Emmanuel Esukpa,Rice,CUSA,10,17,56,3.3,2,5.6,0,0,,0,0.0,17,56,3.3,2,,emmanuel-esukpa-1
722,Lynn Griffin*,Georgia Tech,ACC,8,13,56,4.3,0,7.0,1,10,10.0,0,1.3,14,66,4.7,0,,lynn-griffin-1
723,D.J. Moore*,Maryland,Big Ten,13,11,55,5.0,0,4.2,41,637,15.5,6,49.0,52,692,13.3,6,,dj-moore-3
724,Dominique Heath*,Kansas State,Big 12,13,2,54,27.0,1,4.2,45,438,9.7,3,33.7,47,492,10.5,4,,dominique-heath-1
725,Dominique Heath*,Kansas State,Big 12,13,2,54,27.0,1,4.2,45,438,9.7,3,33.7,47,492,10.5,4,,dominique-heath-2
726,Parris Campbell*,Ohio State,Big Ten,13,4,54,13.5,1,4.2,13,121,9.3,0,9.3,17,175,10.3,1,,parris-campbell-1
727,Rocky Reid*,Wake Forest,ACC,4,22,54,2.5,0,13.5,0,0,,0,0.0,22,54,2.5,0,,rocky-reid-1
728,Traveon Samuel*,Louisville,ACC,13,8,54,6.8,1,4.2,18,230,12.8,1,17.7,26,284,10.9,2,,traveon-samuel-1
729,Jared Cornelius*,Arkansas,SEC,11,13,53,4.1,1,4.8,32,515,16.1,4,46.8,45,568,12.6,5,,jared-cornelius-1
730,John Trainor*,Army,Ind,11,11,53,4.8,0,4.8,1,4,4.0,0,0.4,12,57,4.8,0,,john-trainor-1
731,Nick Stevens*,Colorado State,MWC,10,15,53,3.5,2,5.3,0,5,,0,0.5,15,58,3.9,2,,nick-stevens-1
732,Rahshead Johnson,San Jose State,MWC,10,8,53,6.6,0,5.3,16,202,12.6,2,20.2,24,255,10.6,2,,rahshead-johnson-1
733,Ruben Garnett*,Middle Tennessee State,CUSA,13,22,53,2.4,0,4.1,3,17,5.7,0,1.3,25,70,2.8,0,,ruben-garnett-1
734,Thomas Sperbeck*,Boise State,MWC,13,11,53,4.8,0,4.1,80,1272,15.9,9,97.8,91,1325,14.6,9,,thomas-sperbeck-1
735,Trey Sneed,Rutgers,Big Ten,12,16,53,3.3,0,4.4,1,2,2.0,0,0.2,17,55,3.2,0,,trey-sneed-1
736,Chris Laviano,Rutgers,Big Ten,7,45,52,1.2,0,7.4,0,0,,0,0.0,45,52,1.2,0,,chris-laviano-1
737,Donovan Williams,Connecticut,American,3,31,52,1.7,0,17.3,1,11,11.0,0,3.7,32,63,2.0,0,,donovan-williams-1
738,Adoree Jackson*,USC,Pac-12,13,7,51,7.3,0,3.9,2,76,38.0,1,5.8,9,127,14.1,1,AA,adoree-jackson-1
739,Josh Burrell*,Houston,American,7,12,51,4.3,1,7.3,0,0,,0,0.0,12,51,4.3,1,,josh-burrell-1
740,Myles Washington,Kent State,MAC,11,22,51,2.3,1,4.6,7,63,9.0,0,5.7,29,114,3.9,1,,myles-washington-1
741,Nate German,Rice,CUSA,11,14,51,3.6,0,4.6,13,157,12.1,0,14.3,27,208,7.7,0,,nate-german-1
742,Ryan Williams,Missouri,SEC,1,9,51,5.7,0,51.0,0,0,,0,0.0,9,51,5.7,0,,ryan-williams-13
743,Collin Hill*,Colorado State,MWC,5,26,49,1.9,1,9.8,0,0,,0,0.0,26,49,1.9,1,,collin-hill-1
744,Eddie Printz,Texas State,Sun Belt,11,17,49,2.9,0,4.5,0,0,,0,0.0,17,49,2.9,0,,eddie-printz-1
745,Khris Francis*,North Carolina,ACC,13,15,49,3.3,0,3.8,4,46,11.5,0,3.5,19,95,5.0,0,,khris-francis-1
746,Tommy Mister,Northern Illinois,MAC,12,9,49,5.4,0,4.1,1,13,13.0,0,1.1,10,62,6.2,0,,tommy-mister-1
747,Cody Hollister*,Arkansas,SEC,12,2,48,24.0,1,4.0,10,140,14.0,0,11.7,12,188,15.7,1,,cody-hollister-1
