,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
282,Chris Warren III,Texas,Big 12,4,62,366,5.9,3,91.5,0,0,,0,0.0,62,366,5.9,3,,chris-warren-iii-1
283,Mitch Leidner*,Minnesota,Big Ten,12,111,366,3.3,10,30.5,0,0,,0,0.0,111,366,3.3,10,,mitch-leidner-1
284,Trace McSorley*,Penn State,Big Ten,14,146,365,2.5,7,26.1,0,0,,0,0.0,146,365,2.5,7,,trace-mcsorley-1
285,Brian Herrien*,Georgia,SEC,12,63,363,5.8,3,30.3,2,14,7.0,0,1.2,65,377,5.8,3,,brian-herrien-1
286,Davon Jones*,Boston College,ACC,12,91,361,4.0,2,30.1,10,99,9.9,0,8.3,101,460,4.6,2,,davon-jones-1
287,Kurt Palandech,Nevada-Las Vegas,MWC,11,48,359,7.5,5,32.6,0,0,,0,0.0,48,359,7.5,5,,kurt-palandech-1
288,Moe Neal,Syracuse,ACC,12,68,357,5.3,2,29.8,2,6,3.0,0,0.5,70,363,5.2,2,,moe-neal-1
289,Demarcus Felton,Texas Tech,Big 12,10,64,354,5.5,3,35.4,7,31,4.4,0,3.1,71,385,5.4,3,,demarcus-felton-1
290,Shaun Wick*,Wyoming,MWC,13,89,354,4.0,1,27.2,4,32,8.0,0,2.5,93,386,4.2,1,,shaun-wick-1
291,Jacques Patrick*,Florida State,ACC,13,61,350,5.7,4,26.9,4,21,5.3,0,1.6,65,371,5.7,4,,jacques-patrick-1
292,Jojo Kemp*,Kentucky,SEC,10,70,349,5.0,6,34.9,2,5,2.5,0,0.5,72,354,4.9,6,,jojo-kemp-1
293,Dalton Sneed,Nevada-Las Vegas,MWC,9,57,348,6.1,1,38.7,1,10,10.0,0,1.1,58,358,6.2,1,,dalton-sneed-1
294,Kyle Evans*,Colorado,Pac-12,14,84,346,4.1,3,24.7,8,114,14.3,0,8.1,92,460,5.0,3,,kyle-evans-1
295,Austin Walter,Rice,CUSA,12,68,343,5.0,4,28.6,13,73,5.6,2,6.1,81,416,5.1,6,,austin-walter-1
296,La Ramsby,Georgia Southern,Sun Belt,11,84,343,4.1,8,31.2,7,22,3.1,0,2.0,91,365,4.0,8,,la-ramsby-1
297,Anthony Jennings*,Louisiana,Sun Belt,13,144,341,2.4,9,26.2,0,0,,0,0.0,144,341,2.4,9,,anthony-jennings-1
298,Favian Upshaw,Georgia Southern,Sun Belt,8,69,341,4.9,2,42.6,0,0,,0,0.0,69,341,4.9,2,,favian-upshaw-1
299,John Moten IV*,Northwestern,Big Ten,13,57,340,6.0,2,26.2,3,44,14.7,0,3.4,60,384,6.4,2,,john-moten-iv-1
300,Anthony Anderson,Marshall,CUSA,11,86,339,3.9,2,30.8,2,16,8.0,0,1.5,88,355,4.0,2,,anthony-anderson-4
301,Richie James*,Middle Tennessee State,CUSA,13,38,339,8.9,4,26.1,105,1625,15.5,12,125.0,143,1964,13.7,16,,richie-james-1
302,Johnathan Hawkins,Buffalo,MAC,12,74,338,4.6,1,28.2,21,119,5.7,1,9.9,95,457,4.8,2,,johnathan-hawkins-1
303,Vic Enwere,California,Pac-12,6,61,336,5.5,2,56.0,4,10,2.5,0,1.7,65,346,5.3,2,,vic-enwere-1
304,Jaxson Kincaide,Nevada,MWC,12,78,334,4.3,3,27.8,7,88,12.6,0,7.3,85,422,5.0,3,,jaxson-kincaide-1
305,Tarean Folston,Notre Dame,Ind,10,77,334,4.3,2,33.4,8,66,8.3,0,6.6,85,400,4.7,2,,tarean-folston-1
306,Tyler Rogers,New Mexico State,Sun Belt,11,124,333,2.7,4,30.3,1,9,9.0,1,0.8,125,342,2.7,5,,tyler-rogers-1
307,Chad Kelly,Ole Miss,SEC,9,81,332,4.1,5,36.9,0,0,,0,0.0,81,332,4.1,5,,chad-kelly-1
308,Tony Pittman,Marshall,CUSA,12,63,331,5.3,2,27.6,5,18,3.6,0,1.5,68,349,5.1,2,,tony-pittman-2
309,Kenny Potter,San Jose State,MWC,11,138,330,2.4,7,30.0,0,0,,0,0.0,138,330,2.4,7,,kenny-potter-1
310,Victor Bolden,Oregon State,Pac-12,12,28,329,11.8,2,27.4,46,542,11.8,2,45.2,74,871,11.8,4,,victor-bolden-1
311,Alexander Mattison*,Boise State,MWC,13,67,328,4.9,4,25.2,5,54,10.8,0,4.2,72,382,5.3,4,,alexander-mattison-1
312,Stephen Johnson*,Kentucky,SEC,12,97,327,3.4,3,27.3,1,-3,-3.0,0,-0.3,98,324,3.3,3,,stephen-johnson-8
313,Bryant Shirreffs,Connecticut,American,9,144,326,2.3,2,36.2,0,0,,0,0.0,144,326,2.3,2,,bryant-shirreffs-1
314,Tyler Campbell*,Army,Ind,12,34,326,9.6,2,27.2,2,71,35.5,0,5.9,36,397,11.0,2,,tyler-campbell-4
315,Adrian Killins*,UCF,American,13,50,325,6.5,4,25.0,18,198,11.0,2,15.2,68,523,7.7,6,,adrian-killins-1
316,Taylor Martin,Kansas,Big 12,10,91,324,3.6,4,32.4,6,45,7.5,1,4.5,97,369,3.8,5,,taylor-martin-1
317,Soso Jamabo,UCLA,Pac-12,11,82,321,3.9,3,29.2,16,197,12.3,0,17.9,98,518,5.3,3,,soso-jamabo-1
318,Kam Martin*,Auburn,SEC,10,44,320,7.3,3,32.0,2,52,26.0,0,5.2,46,372,8.1,3,,kam-martin-1
319,Nick Wilson,Arizona,Pac-12,5,55,320,5.8,3,64.0,2,11,5.5,0,2.2,57,331,5.8,3,,nick-wilson-2
320,Jazz Peavy*,Wisconsin,Big Ten,14,21,318,15.1,1,22.7,43,635,14.8,5,45.4,64,953,14.9,6,,jazz-peavy-1
321,Squally Canada*,BYU,Ind,12,74,315,4.3,2,26.3,3,7,2.3,0,0.6,77,322,4.2,2,,squally-canada-1
322,Brian Lankford-Johnson,Purdue,Big Ten,12,48,314,6.5,2,26.2,11,90,8.2,0,7.5,59,404,6.8,2,,brian-lankford-johnson-1
323,Kyler Neal,Georgia State,Sun Belt,9,75,314,4.2,2,34.9,3,28,9.3,0,3.1,78,342,4.4,2,,kyler-neal-1
324,Dalton Sturm*,UTSA,CUSA,13,110,313,2.8,4,24.1,1,0,0.0,0,0.0,111,313,2.8,4,,dalton-sturm-1
325,Darian Green,Ball State,MAC,8,57,311,5.5,1,38.9,24,124,5.2,0,15.5,81,435,5.4,1,,darian-green-1
326,Tyler Stehling,Rice,CUSA,11,101,309,3.1,4,28.1,1,27,27.0,1,2.5,102,336,3.3,5,,tyler-stehling-1
327,Garrett Smith,Louisiana-Monroe,Sun Belt,8,60,308,5.1,3,38.5,1,-4,-4.0,0,-0.5,61,304,5.0,3,,garrett-smith-2
328,Mitch Trubisky*,North Carolina,ACC,13,93,308,3.3,5,23.7,1,8,8.0,0,0.6,94,316,3.4,5,,mitch-trubisky-1
329,Dru Brown*,Hawaii,MWC,13,88,306,3.5,4,23.5,0,0,,0,0.0,88,306,3.5,4,,dru-brown-1
330,Ke'Shawn Vaughn,Illinois,Big Ten,11,60,301,5.0,3,27.4,9,89,9.9,0,8.1,69,390,5.7,3,,keshawn-vaughn-1
331,Myles Willis*,Boston College,ACC,13,49,301,6.1,1,23.2,1,8,8.0,0,0.6,50,309,6.2,1,,myles-willis-1
332,Kani Benoit,Oregon,Pac-12,10,51,300,5.9,3,30.0,5,33,6.6,0,3.3,56,333,5.9,3,,kani-benoit-1
333,Tyreis Thomas*,South Alabama,Sun Belt,9,73,300,4.1,6,33.3,6,16,2.7,0,1.8,79,316,4.0,6,,tyreis-thomas-1
334,Jowan Davis,Rice,CUSA,11,71,299,4.2,4,27.2,8,45,5.6,0,4.1,79,344,4.4,4,,jowan-davis-1
335,Mark Thompson*,Florida,SEC,12,68,299,4.4,2,24.9,4,105,26.3,1,8.8,72,404,5.6,3,,mark-thompson-2
336,Marquez Trigg*,Western Kentucky,CUSA,14,71,298,4.2,2,21.3,2,13,6.5,0,0.9,73,311,4.3,2,,marquez-trigg-1
337,Blake Banham*,Eastern Michigan,MAC,9,61,294,4.8,2,32.7,7,71,10.1,0,7.9,68,365,5.4,2,,blake-banham-1
338,Patrick Towles*,Boston College,ACC,13,115,294,2.6,4,22.6,2,25,12.5,1,1.9,117,319,2.7,5,,patrick-towles-1
339,Eric Dungey,Syracuse,ACC,9,125,293,2.3,6,32.6,0,0,,0,0.0,125,293,2.3,6,,eric-dungey-1
340,Nate Starks,UCLA,Pac-12,10,87,292,3.4,1,29.2,8,28,3.5,0,2.8,95,320,3.4,1,,nate-starks-1
341,Hyleck Foster,Marshall,CUSA,11,68,291,4.3,1,26.5,15,74,4.9,1,6.7,83,365,4.4,2,,hyleck-foster-1
