Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Trente Jones,Packers,2024,3,,"$2,840,000 ","$946,667 ","$110,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$117,365 "
Jeremy Flax,Vikings,2024,3,,"$2,840,000 ","$946,667 ","$50,000 ",,0.40%,,"$3,030,149 ","$1,010,050 ","$53,348 "
Willis Patrick,Chargers,2024,3,,"$2,847,500 ","$949,167 ","$17,500 ",,0.40%,,"$3,038,151 ","$1,012,717 ","$18,672 "
Jacob Johanning,Raiders,2024,3,,"$2,855,000 ","$951,667 ","$100,000 ",,0.40%,,"$3,046,153 ","$1,015,385 ","$106,695 "
Jake Kubas,Giants,2024,3,,"$2,860,000 ","$953,333 ","$270,000 ",,0.40%,,"$3,051,488 ","$1,017,162 ","$288,078 "
Dalton Tucker,Colts,2024,3,,"$2,870,000 ","$956,667 ","$240,000 ",,0.40%,,"$3,062,157 ","$1,020,719 ","$256,069 "
Lecitus Smith,Patriots,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Chasen Hines,Dolphins,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Lecitus Smith,Eagles,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Chasen Hines,Dolphins,2024,2,,"$1,945,000 ","$972,500 ",$0 ,,0.40%,,"$2,075,225 ","$1,037,613 ",$0 
Keaton Sutherland,Jaguars,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Alex Leatherwood,Chargers,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Zachary Thomas,NE/LAR,2024,1,,"$985,000 ","$985,000 ",$0 ,,0.40%,,"$1,050,949 ","$1,050,949 ",$0 
Nick Gargiulo,Broncos,2024,4,,"$4,100,736 ","$1,025,184 ","$80,736 ",,0.40%,,"$4,375,296 ","$1,093,824 ","$86,142 "
C.J. Hanson,Chiefs,2024,4,,"$4,104,784 ","$1,026,196 ","$84,784 ",,0.40%,,"$4,379,615 ","$1,094,904 ","$90,461 "
Travis Clayton,Bills,2024,4,,"$4,141,584 ","$1,035,396 ","$121,584 ",,0.40%,,"$4,418,879 ","$1,104,720 ","$129,725 "
Christian Mahogany,Lions,2024,4,,"$4,158,388 ","$1,039,597 ","$138,388 ",,0.40%,,"$4,436,808 ","$1,109,202 ","$147,654 "
Dakoda Shepley,Cowboys,2024,2,,"$2,085,000 ","$1,042,500 ",$0 ,,0.40%,,"$2,224,599 ","$1,112,299 ",$0 
Lachavious Simmons,Titans,2024,2,,"$2,085,000 ","$1,042,500 ",$0 ,,0.40%,,"$2,224,599 ","$1,112,299 ",$0 
Dieter Eiselen,Texans,2024,2,,"$2,095,000 ","$1,047,500 ","$10,000 ",,0.40%,,"$2,235,268 ","$1,117,634 ","$10,670 "
Jack Anderson,Colts,2024,1,,"$1,055,000 ","$1,055,000 ","$75,000 ",,0.40%,,"$1,125,636 ","$1,125,636 ","$80,022 "
Calvin Throckmorton,Broncos,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Quinn Bailey,Broncos,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Calvin Throckmorton,Broncos,2024,1,,"$1,055,000 ","$1,055,000 ","$150,000 ",,0.40%,,"$1,125,636 ","$1,125,636 ","$160,043 "
Jake Hanson,Jets,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Netane Muti,Lions,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Jack Anderson,Panthers,2024,1,,"$1,055,000 ","$1,055,000 ",$0 ,,0.40%,,"$1,125,636 ","$1,125,636 ",$0 
Jack Anderson,Jaguars,2024,1,,"$1,055,000 ","$1,055,000 ","$75,000 ",,0.40%,,"$1,125,636 ","$1,125,636 ","$80,022 "
Ike Boettger,Panthers,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Sean Harlow,Dolphins,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Max Scharping,PHI/PIT,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Ike Boettger,Lions,2024,1,,"$1,125,000 ","$1,125,000 ",$0 ,,0.40%,,"$1,200,323 ","$1,200,323 ",$0 
Matt Pryor,Bears,2024,1,,"$1,175,000 ","$1,175,000 ","$50,000 ",,0.50%,,"$1,253,671 ","$1,253,671 ","$53,348 "
D.J. Fluker,Raiders,2024,1,,"$1,210,000 ","$1,210,000 ",$0 ,,0.50%,,"$1,291,014 ","$1,291,014 ",$0 
