Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
31,Will Levis,24,TEN,QB,9,9,149,255,2695,10.6,1062,7.1,4.2,746,5.0,5,7,2,12,4.9,41,16.7,165,67.1,2.5,88,8,46,82,28.1,9,6.3,20,115,15,112,3,3,61,574,,LeviWi00
32,Jake Browning,27,CIN,QB,9,7,171,243,1563,6.4,827,4.8,3.4,1109,6.5,7,8,0,9,3.8,23,9.8,186,79.1,2.5,80,25,26,75,26.5,16,7.7,23,167,21,167,1,0,34,381,,BrowJa08
33,Ryan Tannehill,35,TEN,QB,10,8,149,230,1817,7.9,821,5.5,3.6,795,5.3,5,7,2,12,5.4,31,14.0,166,75.1,2.4,65,10,30,72,26.7,8,8.3,14,113,13,101,1,12,58,537,,TannRy00
34,Bailey Zappe,24,NWE,QB,10,6,127,212,1680,7.9,631,5.0,3.0,641,5.0,5,8,1,7,3.4,41,20.2,145,71.4,2.4,82,14,11,50,20.3,9,7.6,14,56,10,43,3,13,34,357,,ZappBa00
35,Joe Flacco,38,CLE,QB,5,5,123,204,1900,9.3,938,7.6,4.6,678,5.5,3,7,0,9,4.6,35,17.8,138,70.1,2.6,46,19,14,41,19.3,0,,9,177,9,177,0,0,63,704,AP CPoY-1,FlacJo00
36,Tyrod Taylor,34,NYG,QB,11,5,116,180,1546,8.6,763,6.6,4.2,578,5.0,1,8,6,11,6.6,24,14.5,134,80.7,2.3,55,19,15,51,22.8,27,5.9,17,184,15,177,1,7,24,207,,TaylTy00
37,Tommy DeVito,25,NYG,QB,9,6,114,178,1161,6.5,518,4.5,2.9,583,5.1,7,10,0,8,4.8,21,12.5,129,76.8,2.6,68,16,9,62,26.1,23,5.4,16,131,13,123,2,8,19,138,,DeViTo00
38,Easton Stick,28,LAC,QB,5,4,111,174,1204,6.9,548,4.9,3.1,581,5.2,5,3,1,8,4.7,32,18.8,121,71.2,2.4,67,6,11,31,15.7,9,7.4,35,262,27,226,8,36,25,179,,SticEa00
39,Deshaun Watson,28,CLE,QB,6,6,105,171,1566,9.2,616,5.9,3.6,499,4.8,4,5,1,12,7.3,34,20.6,118,71.5,2.5,59,13,18,48,23.4,17,6.2,20,115,17,116,1,-1,34,334,,WatsDe00
40,Jimmy Garoppolo,32,LVR,QB,7,6,110,169,1380,8.2,737,6.7,4.4,468,4.3,5,3,1,5,3.0,30,18.2,117,70.9,2.5,51,5,15,34,17.8,8,4.9,3,16,3,16,0,0,37,309,,GaroJi00
41,Daniel Jones,26,NYG,QB,6,6,108,160,1083,6.8,469,4.3,2.9,440,4.1,5,7,0,6,3.9,21,13.7,120,78.4,2.3,47,17,17,64,30.5,20,8.0,30,198,23,160,6,38,30,262,,JoneDa05
42,Trevor Siemian,32,NYJ,QB,5,3,86,153,820,5.4,254,3.0,1.7,470,5.5,4,8,0,2,1.4,33,22.8,97,66.9,2.2,46,4,16,28,16.8,6,5.8,1,0,1,0,0,0,19,87,,SiemTr00
43,Nick Mullens,28,MIN,QB,5,3,100,148,1380,9.3,829,8.3,5.6,477,4.8,4,2,1,1,0.7,29,20.0,106,73.1,2.5,44,12,25,49,29.7,5,4.0,12,93,12,93,0,0,54,534,,MullNi00
44,Tyson Bagent,23,CHI,QB,5,4,94,143,835,5.8,362,3.9,2.5,497,5.3,4,5,0,6,4.3,19,13.8,106,76.8,2.6,48,11,10,26,16.4,11,8.5,15,76,12,73,1,3,21,206,,BageTy00
45,Taylor Heinicke,30,ATL,QB,5,4,74,136,1137,8.4,383,5.2,2.8,507,6.9,2,6,2,8,6.3,31,24.2,89,69.5,2.5,37,9,13,30,19.1,13,9.6,18,186,17,185,1,1,31,317,,HeinTa00
46,Dorian Thompson-Robinson,24,CLE,QB,8,3,60,112,662,5.9,236,3.9,2.1,204,3.4,2,4,2,11,10.4,21,19.8,74,69.8,2.4,38,7,10,23,18.5,6,7.2,17,73,13,59,3,14,9,41,,ThomDo02
47,P.J. Walker,28,CLE,QB,6,2,54,111,890,8.0,276,5.1,2.5,398,7.4,4,3,1,6,5.6,32,29.9,61,57.0,2.6,29,8,20,39,31.0,4,4.3,9,94,5,78,3,16,23,70,,WalkPh00
48,Mitchell Trubisky,29,PIT,QB,5,2,67,107,983,9.2,358,5.3,3.3,274,4.1,1,1,1,5,4.8,20,19.0,82,78.1,2.4,18,6,8,21,17.2,8,6.3,4,24,3,19,1,5,8,37,,TrubMi00
49,Anthony Richardson,21,IND,QB,4,4,50,84,668,8.0,280,5.6,3.3,297,5.9,2,3,0,6,7.4,17,21.0,60,74.1,2.6,24,10,5,22,22.0,9,4.7,19,147,11,88,6,59,8,41,,RichAn03
50,Tim Boyle,29,NYJ,QB,3,2,48,77,474,6.2,170,3.5,2.2,190,4.0,1,2,0,4,5.3,18,24.0,56,74.7,2.3,7,8,6,23,26.7,0,,3,45,3,45,0,0,12,53,,BoylTi00
51,Drew Lock,27,SEA,QB,4,2,48,76,621,8.2,238,5.0,3.1,305,6.4,4,1,0,6,8.0,12,16.0,54,72.0,2.3,14,7,1,14,16.5,3,5.0,7,15,7,15,0,0,15,157,,LockDr00
52,Mason Rudolph,28,PIT,QB,4,3,55,74,518,7.0,293,5.3,4.0,426,7.7,1,5,0,0,0.0,7,10.1,57,82.6,2.3,24,3,3,12,14.6,2,4.5,7,71,6,64,1,7,12,72,,RudoMa00
53,Jarrett Stidham,27,DEN,QB,3,2,40,66,577,8.7,162,4.1,2.5,334,8.4,0,4,0,2,3.2,12,19.4,43,69.4,2.6,18,3,8,18,23.7,3,3.0,2,21,2,21,0,0,15,161,,StidJa00
54,Andy Dalton,36,CAR,QB,3,1,34,58,478,8.2,233,6.9,4.0,128,3.8,2,1,0,5,8.8,11,19.3,39,68.4,2.2,14,2,5,10,16.1,1,10.0,2,16,1,15,1,1,3,15,,DaltAn00
55,C.J. Beathard,30,JAX,QB,7,1,40,53,351,6.6,199,5.0,3.8,150,3.8,1,3,0,2,4.0,4,8.0,42,84.0,2.2,14,1,5,12,19.0,4,9.5,1,0,0,0,0,0,4,17,,BeatC.00
56,Case Keenum,35,HOU,QB,2,2,34,53,389,7.3,151,4.4,2.8,140,4.1,0,2,0,2,3.9,7,13.7,37,72.5,2.5,16,1,5,12,20.3,0,,7,26,7,26,0,0,5,21,,KeenCa00
57,Jameis Winston,29,NOR,QB,7,0,25,47,603,12.8,179,7.2,3.8,85,3.4,0,1,0,3,6.5,10,21.7,35,76.1,2.1,19,3,2,7,14.3,0,,1,11,1,11,0,0,1,11,,WinsJa00
58,Sam Darnold,26,SFO,QB,10,1,28,46,371,8.1,142,5.1,3.1,155,5.5,0,0,1,0,0.0,12,26.7,31,68.9,2.9,8,1,2,9,16.4,3,5.0,4,26,4,26,0,0,6,17,,DarnSa00
59,Brian Hoyer,38,LVR,QB,3,1,23,42,344,8.2,151,6.6,3.6,80,3.5,1,0,0,1,2.4,10,23.8,24,57.1,2.1,14,1,1,3,7.0,0,,1,6,1,6,0,0,8,72,,HoyeBr00
60,Davis Mills,25,HOU,QB,6,0,18,39,305,7.8,99,5.5,2.5,74,4.1,1,1,0,4,10.5,8,21.1,24,63.2,2.4,7,2,1,5,11.9,1,9.0,1,0,1,0,0,0,3,8,,MillDa02
61,Brett Rypien,27,LAR,QB,2,1,18,38,323,8.5,88,4.9,2.3,84,4.7,4,1,0,2,5.4,6,16.2,27,73.0,2.4,8,2,4,8,18.6,3,6.3,1,0,0,0,0,0,6,13,,RypiBr00
62,Tyler Huntley,25,BAL,QB,5,1,21,37,249,6.7,125,6.0,3.4,78,3.7,1,2,0,4,11.4,7,20.0,21,60.0,2.8,11,0,1,5,10.2,8,5.9,4,18,4,18,0,0,2,7,,HuntTy01
63,Blaine Gabbert,34,KAN,QB,2,1,18,35,189,5.4,67,3.7,1.9,118,6.6,2,1,0,5,14.7,6,17.6,23,67.6,1.9,10,0,10,11,27.5,4,11.8,4,21,4,21,0,0,6,45,,GabbBl00
64,Jeff Driskel,30,CLE,QB,1,1,13,26,232,8.9,92,7.1,3.5,74,5.7,2,1,0,4,16.0,4,16.0,18,72.0,2.4,3,0,5,8,25.0,3,8.7,2,7,1,7,0,0,5,20,,DrisJe00
65,Cooper Rush,30,DAL,QB,7,0,18,24,215,9.0,64,3.6,2.7,80,4.4,0,0,0,0,0.0,6,25.0,18,75.0,2.0,12,0,0,1,4.0,0,,1,0,1,0,0,0,7,81,,RushCo00
66,Carson Wentz,31,LAR,QB,2,1,17,24,159,6.6,98,5.8,4.1,65,3.8,0,0,0,1,4.2,6,25.0,18,75.0,2.4,6,0,1,3,10.0,4,2.8,1,7,1,7,0,0,4,18,,WentCa00
67,Jacoby Brissett,31,WAS,QB,3,0,18,23,178,7.7,154,8.6,6.7,70,3.9,0,1,0,1,4.5,1,4.5,19,86.4,2.5,2,0,2,2,8.0,2,9.5,0,0,0,0,0,0,3,21,,BrisJa00
68,Marcus Mariota,30,PHI,QB,3,0,15,23,178,7.7,92,6.1,4.0,72,4.8,2,0,0,0,0.0,2,8.7,18,78.3,2.4,9,2,1,6,21.4,2,8.5,6,38,6,38,0,0,0,0,,MariMa01
69,Clayton Tune,24,ARI,QB,7,1,12,21,53,2.5,19,1.6,0.9,43,3.6,3,0,0,1,4.8,2,9.5,15,71.4,2.2,4,1,3,11,33.3,5,5.6,1,2,1,2,0,0,5,28,,TuneCl00
70,Jaren Hall,25,MIN,QB,3,2,13,20,156,7.8,69,5.3,3.5,99,7.6,0,1,0,0,0.0,5,26.3,14,73.7,2.7,9,1,2,7,25.9,3,5.3,1,17,1,17,0,0,5,46,,HallJa00
71,Taysom Hill,33,NOR,TE/QB,16,7,6,11,126,11.5,65,10.8,5.9,18,3.0,1,0,0,0,0.0,3,27.3,7,63.6,2.6,9,0,0,2,11.8,4,9.3,20,130,2,0,17,130,3,14,,HillTa00
72,Mike White,28,MIA,QB,6,0,5,6,23,3.8,23,4.6,3.8,51,10.2,0,0,0,0,0.0,0,0.0,5,83.3,1.7,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,WhitMi01
73,A.J. McCarron,33,CIN,QB,2,0,4,5,-8,-1.6,-1,-0.3,-0.2,20,5.0,0,0,0,0,0.0,1,20.0,4,80.0,2.3,3,0,0,1,16.7,0,,0,0,0,0,0,0,1,0,,McCaA.00
74,Malik Willis,24,TEN,QB,3,0,4,5,39,7.8,19,4.8,3.8,55,13.8,0,0,0,0,0.0,1,20.0,4,80.0,2.8,0,0,0,4,33.3,3,5.7,0,0,0,0,0,0,1,9,,WillMa12
75,Logan Woodside,28,ATL,QB,1,0,3,4,6,1.5,-2,-0.7,-0.5,29,9.7,0,0,0,0,0.0,0,0.0,3,75.0,2.4,0,0,1,2,40.0,0,,3,28,2,22,1,6,2,22,,WoodLo00
76,Derrick Henry,29,TEN,RB,17,17,2,3,27,9.0,14,7.0,4.7,0,0.0,0,0,0,0,0.0,1,33.3,2,66.7,2.1,1,0,0,0,0.0,0,,13,62,2,12,11,50,0,0,PB,HenrDe00
77,Jakobi Meyers,27,LVR,WR,16,16,2,3,12,4.0,12,6.0,4.0,0,0.0,0,1,0,0,0.0,0,0.0,2,100.0,2.0,2,0,0,0,0.0,1,5.0,1,3,1,3,0,0,2,9,,MeyeJa01
78,Keenan Allen,31,LAC,WR,13,13,1,2,39,19.5,22,22.0,11.0,27,27.0,0,0,0,0,0.0,1,50.0,1,50.0,3.3,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,PB,AlleKe00
79,Christian Kirk,27,JAX,WR,12,12,1,2,25,12.5,-1,-1.0,-0.5,0,0.0,0,0,0,0,0.0,1,50.0,1,50.0,2.9,1,0,0,0,0.0,0,,1,-1,1,-1,0,0,1,0,,KirkCh01
80,Tyler Boyd,29,CIN,WR,17,13,0,1,-8,-8.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,2.1,1,0,1,1,100.0,0,,1,0,1,0,0,0,0,0,,BoydTy00
81,Dyami Brown,24,WAS,WR,17,1,1,1,1,1.0,1,1.0,1.0,3,3.0,0,0,0,0,0.0,0,0.0,1,100.0,2.5,1,0,0,0,0.0,0,,1,4,1,4,0,0,0,0,,BrowDy00
82,Ja'Marr Chase,23,CIN,WR,16,16,1,1,-7,-7.0,-7,-7.0,-7.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,3.0,0,0,0,0,0.0,0,,2,-15,1,-7,1,-8,0,0,PB,ChasJa00
83,Sean Clifford,25,GNB,QB,2,0,1,1,34,34.0,34,34.0,34.0,3,3.0,0,0,0,0,0.0,0,0.0,1,100.0,2.4,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,ClifSe00
84,Logan Cooke,28,JAX,P,17,0,1,1,4,4.0,4,4.0,4.0,9,9.0,0,0,0,0,0.0,0,0.0,1,100.0,2.3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,CookLo00
85,Kenneth Gainwell,24,PHI,RB,16,2,1,1,17,17.0,17,17.0,17.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,1.7,0,0,0,0,0.0,0,,15,68,0,0,15,68,1,17,,GainKe00
86,Chris Godwin,27,TAM,WR,17,17,0,1,18,18.0,0,,0.0,0,,0,0,0,0,0.0,0,0.0,0,0.0,3.3,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,,GodwCh00
87,Johnny Hekker,33,CAR,P,17,0,1,1,-4,-4.0,-4,-4.0,-4.0,11,11.0,0,0,0,0,0.0,0,0.0,1,100.0,2.2,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,HekkJo00
88,Connor Heyward,24,PIT,TE,17,7,0,1,-4,-4.0,0,,0.0,0,,1,0,0,0,0.0,0,0.0,1,100.0,2.1,1,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,,HeywCo00
89,DeAndre Hopkins,31,TEN,WR,17,16,0,1,-1,-1.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,3.3,1,0,1,1,50.0,1,5.0,1,0,1,0,0,0,0,0,,HopkDe00
90,Justin Jefferson,24,MIN,WR,10,9,0,1,20,20.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,3.2,1,0,1,1,100.0,0,,1,0,1,0,0,0,0,0,,JeffJu00
91,Drake London,22,ATL,WR,16,16,1,1,12,12.0,12,12.0,12.0,10,10.0,0,0,0,0,0.0,0,0.0,1,100.0,2.1,0,1,0,1,100.0,0,,1,22,1,22,0,0,0,0,,LondDr00
92,Braden Mann,26,PHI,P,15,0,1,1,11,11.0,11,11.0,11.0,17,17.0,0,0,0,0,0.0,0,0.0,1,100.0,2.1,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,MannBr01
93,Jerick McKinnon,31,KAN,RB,12,0,1,1,-3,-3.0,-3,-3.0,-3.0,7,7.0,0,0,0,0,0.0,0,0.0,1,100.0,0.5,0,0,0,0,0.0,0,,2,11,1,4,1,7,0,0,,McKiJe00
94,Thomas Morstead,37,NYJ,P,17,0,1,1,10,10.0,10,10.0,10.0,8,8.0,0,0,0,0,0.0,0,0.0,1,100.0,1.9,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,MorsTh00
95,Jalen Reeves-Maybin,28,DET,LB,17,0,1,1,22,22.0,22,22.0,22.0,9,9.0,0,0,0,0,0.0,0,0.0,1,100.0,1.7,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,PBAP-2,ReevJa00
96,Aaron Rodgers,40,NYJ,QB,1,1,0,1,17,17.0,0,,0.0,0,,0,1,0,0,,0,,0,,3.2,0,1,1,3,150.0,0,,0,0,0,0,0,0,0,0,,RodgAa00
97,Deebo Samuel,27,SFO,WR,15,15,0,1,11,11.0,0,,0.0,0,,0,1,0,0,,0,,0,,0.6,0,0,1,1,100.0,0,,3,-3,1,0,2,-3,0,0,,SamuDe00
98,Devin Singletary,26,HOU,RB,17,10,1,1,6,6.0,6,6.0,6.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,2.7,0,0,1,1,100.0,0,,0,0,0,0,0,0,1,6,,SingDe00
99,Jonnu Smith,28,ATL,TE,17,6,0,1,7,7.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,1.5,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,SmitJo01
100,Kadarius Toney,24,KAN,WR,13,2,0,1,16,16.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,4.7,0,1,0,1,100.0,0,,3,14,0,0,3,14,1,0,,ToneKa00
101,Tommy Townsend,27,KAN,P,17,0,1,1,11,11.0,11,11.0,11.0,0,0.0,0,0,0,0,0.0,0,0.0,1,100.0,2.0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,TownTo01
102,Kyle Trask,25,TAM,QB,2,0,0,1,3,3.0,0,,0.0,0,,0,0,0,1,100.0,0,0.0,1,100.0,2.3,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,TrasKy00
103,Dontayvion Wicks,22,GNB,WR,15,6,1,1,9,9.0,9,9.0,9.0,5,5.0,0,0,0,0,0.0,0,0.0,1,100.0,0.9,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,WickDo00
104,Garrett Wilson,23,NYJ,WR,17,17,0,1,10,10.0,0,,0.0,0,,0,0,0,0,0.0,1,100.0,0,0.0,2.6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,WilsGa00
