 
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
347,Lexington Joseph,Florida International,CUSA,12,57,273,4.8,1,22.8,8,56,7.0,0,4.7,65,329,5.1,1,,lexington-joseph-1
348,Chavon McEachern,Charlotte,CUSA,10,50,272,5.4,1,27.2,8,57,7.1,1,5.7,58,329,5.7,2,,chavon-mceachern-1
349,Hassan Hall*,Louisville,ACC,9,38,272,7.2,1,30.2,2,19,9.5,0,2.1,40,291,7.3,1,,hassan-hall-1
350,Jaison Patterson,Bowling Green,MAC,10,65,271,4.2,2,27.1,12,76,6.3,0,7.6,77,347,4.5,2,,jaison-patterson-1
351,Kaegun Williams*,San Diego State,MWC,14,59,268,4.5,2,19.1,7,44,6.3,0,3.1,66,312,4.7,2,,kaegun-williams-1
352,Kendall Milton*,Georgia,SEC,8,56,264,4.7,1,33.0,2,5,2.5,0,0.6,58,269,4.6,1,,kendall-milton-1
353,Mike Diliello*,Middle Tennessee State,CUSA,12,49,264,5.4,6,22.0,0,0,,0,0.0,49,264,5.4,6,,mike-diliello-1
354,Johnnie Lang,Arkansas State,Sun Belt,12,65,263,4.0,0,21.9,17,93,5.5,0,7.8,82,356,4.3,0,,johnnie-lang-1
355,Chance Warren,Navy,American,12,43,261,6.1,1,21.8,11,169,15.4,3,14.1,54,430,8.0,4,,chance-warren-1
356,Stetson Bennett*,Georgia,SEC,14,56,259,4.6,1,18.5,0,0,,1,0.0,56,259,4.6,2,,stetson-bennett-1
357,Tyler Lavine,SMU,American,12,54,257,4.8,2,21.4,10,113,11.3,1,9.4,64,370,5.8,3,,tyler-lavine-1
358,Cameron Montgomery,Rice,CUSA,12,44,256,5.8,2,21.3,7,40,5.7,0,3.3,51,296,5.8,2,,cameron-montgomery-1
359,Justin Hall*,Ball State,MAC,11,37,255,6.9,6,23.2,61,613,10.0,5,55.7,98,868,8.9,11,,justin-hall-3
360,D.J. Jones*,North Carolina,ACC,9,60,253,4.2,0,28.1,12,55,4.6,0,6.1,72,308,4.3,0,,dj-jones-6
361,Brennan Armstrong,Virginia,ACC,11,98,251,2.6,9,22.8,1,18,18.0,1,1.6,99,269,2.7,10,,brennan-armstrong-1
362,Jacquez Stuart*,Toledo,MAC,13,46,250,5.4,1,19.2,8,53,6.6,0,4.1,54,303,5.6,1,,jacquez-stuart-1
363,Jalen John,Arizona,Pac-12,9,62,250,4.0,0,27.8,8,42,5.3,0,4.7,70,292,4.2,0,,jalen-john-6
364,Juju McDowell*,South Carolina,SEC,12,52,248,4.8,2,20.7,9,53,5.9,0,4.4,61,301,4.9,2,,juju-mcdowell-1
365,Keytaon Thompson,Virginia,ACC,12,39,247,6.3,4,20.6,78,990,12.7,1,82.5,117,1237,10.6,5,,keytaon-thompson-1
366,Jordan Byrd*,San Diego State,MWC,14,37,246,6.6,3,17.6,13,76,5.8,0,5.4,50,322,6.4,3,,jordan-byrd-1
367,Tyre Shelton*,Miami (OH),MAC,7,54,245,4.5,2,35.0,2,6,3.0,0,0.9,56,251,4.5,2,,tyre-shelton-1
368,Connor Blumrick*,Virginia Tech,ACC,6,56,242,4.3,3,40.3,0,0,,0,0.0,56,242,4.3,3,,connor-blumrick-1
369,Lopini Katoa*,BYU,Ind,13,61,242,4.0,2,18.6,9,28,3.1,1,2.2,70,270,3.9,3,,lopini-katoa-1
370,Chaton Mobley*,Middle Tennessee State,CUSA,8,52,241,4.6,2,30.1,4,16,4.0,0,2.0,56,257,4.6,2,,chaton-mobley-1
371,Kenny Pickett*,Pitt,ACC,13,97,241,2.5,5,18.5,0,0,,0,0.0,97,241,2.5,5,H-3,kenny-pickett-1
372,Tayvon Ruley,Temple,American,12,45,241,5.4,2,20.1,4,18,4.5,0,1.5,49,259,5.3,2,,tayvon-ruley-1
373,Eric Wilson Jr.,Florida International,CUSA,12,42,239,5.7,0,19.9,8,93,11.6,1,7.8,50,332,6.6,1,,eric-wilson-jr-1
374,Brock Purdy*,Iowa State,Big 12,13,85,238,2.8,1,18.3,0,0,,0,0.0,85,238,2.8,1,,brock-purdy-1
375,Timmy Mcclain,South Florida,American,11,123,238,1.9,4,21.6,0,0,,0,0.0,123,238,1.9,4,,timmy-mcclain-1
376,Devin Darrington,Virginia,ACC,12,32,237,7.4,2,19.8,4,53,13.3,0,4.4,36,290,8.1,2,,devin-darrington-1
377,Elijah Young*,Missouri,SEC,13,50,237,4.7,1,18.2,16,96,6.0,1,7.4,66,333,5.0,2,,elijah-young-1
