Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
253,Traeshon Holden*,Oregon,Pac-12,14,37,452,12.2,6,32.3,2,12,6.0,1,0.9,39,464,11.9,7,,traeshon-holden-1
254,Darrell Harding Jr.,Buffalo,MAC,12,23,451,19.6,3,37.6,0,0,,0,0.0,23,451,19.6,3,,darrell-harding-jr-1
255,Kelby Williams*,Old Dominion,Sun Belt,12,26,451,17.3,2,37.6,1,0,0.0,0,0.0,27,451,16.7,2,,kelby-williams-1
256,Mason Fairchild*,Kansas,Big 12,13,27,451,16.7,3,34.7,0,0,,0,0.0,27,451,16.7,3,,mason-fairchild-1
257,Justin Olson,Middle Tennessee State,CUSA,10,43,450,10.5,1,45.0,0,0,,0,0.0,43,450,10.5,1,,justin-olson-1
258,Caden Prieskorn*,Ole Miss,SEC,10,30,449,15.0,4,44.9,0,0,,0,0.0,30,449,15.0,4,,caden-prieskorn-1
259,Mookie Cooper*,Missouri,SEC,13,36,447,12.4,0,34.4,1,3,3.0,0,0.2,37,450,12.2,0,,mookie-cooper-1
260,Isiah Paige*,Old Dominion,Sun Belt,11,43,445,10.3,2,40.5,1,-8,-8.0,0,-0.7,44,437,9.9,2,,isiah-paige-1
261,Tiaquelin Mims,Southern Mississippi,Sun Belt,12,39,445,11.4,2,37.1,5,28,5.6,0,2.3,44,473,10.8,2,,tiaquelin-mims-1
262,Kole Taylor*,West Virginia,Big 12,13,35,444,12.7,4,34.2,0,0,,0,0.0,35,444,12.7,4,,kole-taylor-2
263,Tyson Davis,Central Michigan,MAC,10,29,444,15.3,4,44.4,0,0,,0,0.0,29,444,15.3,4,,tyson-davis-1
264,Gary Bryant Jr.*,Oregon,Pac-12,14,30,442,14.7,4,31.6,3,18,6.0,0,1.3,33,460,13.9,4,,gary-bryant-jr-1
265,Phoenix Sproles*,James Madison,Sun Belt,13,52,442,8.5,5,34.0,0,0,,0,0.0,52,442,8.5,5,,phoenix-sproles-1
266,Zae Baines,Temple,American,11,36,442,12.3,1,40.2,2,7,3.5,0,0.6,38,449,11.8,1,,zae-baines-1
267,Kelvontay Dixon*,SMU,American,13,25,441,17.6,4,33.9,1,-1,-1.0,0,-0.1,26,440,16.9,4,,kelvontay-dixon-1
268,Jha'Quan Jackson*,Tulane,American,10,26,439,16.9,4,43.9,5,51,10.2,0,5.1,31,490,15.8,4,,jhaquan-jackson-1
269,London Humphreys,Vanderbilt,SEC,12,22,439,20.0,4,36.6,1,5,5.0,0,0.4,23,444,19.3,4,,london-humphreys-1
270,Jack Velling*,Oregon State,Pac-12,12,29,438,15.1,8,36.5,0,0,,0,0.0,29,438,15.1,8,,jack-velling-1
271,Jesse Prewitt III,Central Michigan,MAC,12,31,438,14.1,4,36.5,0,0,,0,0.0,31,438,14.1,4,,jesse-prewitt-iii-1
272,Amare Thomas,UAB,American,12,53,437,8.2,3,36.4,4,40,10.0,0,3.3,57,477,8.4,3,,amare-thomas-1
273,Jayce Brown*,Kansas State,Big 12,10,27,437,16.2,3,43.7,4,3,0.8,0,0.3,31,440,14.2,3,,jayce-brown-1
274,Khafre Brown*,South Florida,American,12,27,435,16.1,5,36.3,0,0,,0,0.0,27,435,16.1,5,,khafre-brown-1
275,Jack Westover*,Washington,Pac-12,15,46,433,9.4,4,28.9,1,1,1.0,1,0.1,47,434,9.2,5,,jack-westover-1
276,Jerand Bradley*,Texas Tech,Big 12,12,36,431,12.0,4,35.9,0,0,,0,0.0,36,431,12.0,4,,jerand-bradley-1
277,Romello Brinson*,SMU,American,14,28,431,15.4,2,30.8,0,0,,0,0.0,28,431,15.4,2,,romello-brinson-1
278,Malik Phillips,Sam Houston,CUSA,12,35,430,12.3,1,35.8,3,9,3.0,0,0.8,38,439,11.6,1,,malik-phillips-1
279,Andrel Anthony*,Oklahoma,Big 12,6,27,429,15.9,1,71.5,0,0,,0,0.0,27,429,15.9,1,,andrel-anthony-1
280,Devonte Ross*,Troy,Sun Belt,14,40,428,10.7,3,30.6,1,2,2.0,0,0.1,41,430,10.5,3,,devonte-ross-2
281,Jordan Hudson*,SMU,American,14,30,425,14.2,7,30.4,0,0,,0,0.0,30,425,14.2,7,,jordan-hudson-1
282,Dean Patterson,Florida International,CUSA,12,28,423,15.1,1,35.3,1,1,1.0,0,0.1,29,424,14.6,1,,dean-patterson-1
283,James Tucker*,Coastal Carolina,Sun Belt,13,20,423,21.2,3,32.5,0,0,,0,0.0,20,423,21.2,3,,james-tucker-4
284,Grayson Barnes*,Northern Illinois,MAC,13,23,422,18.3,5,32.5,0,0,,0,0.0,23,422,18.3,5,,grayson-barnes-1
285,Isaac Rex,BYU,Big 12,12,34,422,12.4,3,35.2,0,0,,0,0.0,34,422,12.4,3,,isaac-rex-1
286,Mitchell Evans*,Notre Dame,Ind,8,29,422,14.6,1,52.8,1,2,2.0,0,0.3,30,424,14.1,1,,mitchell-evans-2
