Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,-9999
26,Kenyan Drake,25,ARI,RB,8,8,123,643,42,396,3.2,247,2.0,8,15.4,,DrakKe00
27,Frank Gore,36,BUF,RB,16,8,166,599,30,260,1.6,339,2.0,10,16.6,,GoreFr00
28,Melvin Gordon,26,LAC,RB,12,11,162,612,39,312,1.9,300,1.9,8,20.3,,GordMe00
29,Peyton Barber,25,TAM,RB,16,7,154,470,23,204,1.3,266,1.7,8,19.3,,BarbPe01
30,Devin Singletary,22,BUF,RB,12,8,151,775,37,413,2.7,362,2.4,20,7.6,,SingDe00
31,Latavius Murray,29,NOR,RB,16,8,146,637,38,390,2.7,247,1.7,11,13.3,,MurrLa00
32,Tevin Coleman,26,SFO,RB,14,11,137,544,26,354,2.6,190,1.4,5,27.4,,ColeTe01
33,Raheem Mostert,27,SFO,RB,16,0,137,772,31,475,3.5,297,2.2,12,11.4,,MostRa00
34,Gus Edwards,24,BAL,RB,16,1,133,711,46,335,2.5,376,2.8,7,19.0,,EdwaGu00
35,Austin Ekeler,24,LAC,RB,16,8,132,557,32,233,1.8,324,2.5,12,11.0,,EkelAu00
36,Royce Freeman,23,DEN,RB,16,0,132,496,22,244,1.8,252,1.9,8,16.5,,FreeRo00
37,Matt Breida,24,SFO,RB,13,5,123,623,23,402,3.3,221,1.8,8,15.4,,BreiMa00
38,Jordan Howard,25,PHI,RB,10,4,119,525,28,243,2.0,282,2.4,4,29.8,,HowaJo00
39,James Conner,24,PIT,RB,10,10,116,464,26,199,1.7,265,2.3,5,23.2,,ConnJa00
40,Kerryon Johnson,22,DET,RB,8,7,113,403,22,177,1.6,226,2.0,8,14.1,,JohnKe06
41,Damien Williams,27,KAN,RB,11,6,111,498,22,141,1.3,357,3.2,15,7.4,,WillDa05
42,Josh Allen,23,BUF,QB,16,16,109,510,42,267,2.4,243,2.2,5,21.8,,AlleJo02
43,Benny Snell Jr.,21,PIT,RB,13,2,108,426,19,125,1.2,301,2.8,7,15.4,,SnelBe00
44,DeAndre Washington,26,OAK,RB,16,3,108,387,23,186,1.7,201,1.9,5,21.6,,WashDe00
45,Jamaal Williams,24,GNB,RB,14,2,107,460,23,270,2.5,190,1.8,5,21.4,,WillJa06
46,LeSean McCoy,31,KAN,RB,13,9,101,465,24,265,2.6,200,2.0,5,20.2,,McCoLe01
47,Alexander Mattison,21,MIN,RB,13,0,100,462,19,267,2.7,195,2.0,11,9.1,,MattAl01
48,David Johnson,28,ARI,RB,13,9,94,345,20,175,1.9,170,1.8,6,15.7,,JohnDa08
49,Kyler Murray,22,ARI,QB,16,16,93,544,27,445,4.8,99,1.1,4,23.3,AP ORoY-1,MurrKy00
50,Bo Scarbrough,25,DET,RB,6,5,89,377,15,183,2.1,194,2.2,5,17.8,,ScarBo01
51,Tony Pollard,22,DAL,RB,15,0,86,455,21,146,1.7,309,3.6,10,8.6,,PollTo00
52,Duke Johnson,26,HOU,RB,16,2,83,410,17,175,2.1,235,2.8,8,10.4,,JohnDu00
53,Deshaun Watson,24,HOU,QB,15,15,82,413,29,351,4.3,62,0.8,3,27.3,PB,WatsDe00
54,Brian Hill,24,ATL,RB,12,2,78,323,19,157,2.0,166,2.1,3,26.0,,HillBr02
55,Russell Wilson,31,SEA,QB,16,16,75,342,17,290,3.9,52,0.7,1,75.0,PBAP-2AP OPoY-4,WilsRu00
56,Kalen Ballage,24,MIA,RB,12,6,74,135,10,50,0.7,85,1.1,1,74.0,,BallKa00
57,Malcolm Brown,26,LAR,RB,14,1,69,255,16,110,1.6,145,2.1,10,6.9,,BrowMa03
58,Gardner Minshew II,23,JAX,QB,14,12,67,344,20,256,3.8,88,1.3,2,33.5,,MinsGa00
59,James White,27,NWE,RB,15,1,67,263,15,165,2.5,98,1.5,3,22.3,,WhitJa02
60,Jaylen Samuels,23,PIT,RB,14,4,66,175,9,49,0.7,126,1.9,3,22.0,,SamuJa00
61,Rex Burkhead,29,NWE,RB,13,1,65,302,18,157,2.4,145,2.2,6,10.8,,BurkRe00
62,Rashaad Penny,23,SEA,RB,10,0,65,370,16,186,2.9,184,2.8,5,13.0,,PennRa00
63,Tarik Cohen,24,CHI,RB,16,11,64,213,15,134,2.1,79,1.2,6,10.7,,CoheTa00
64,Ty Johnson,22,DET,RB,16,1,63,273,11,120,1.9,153,2.4,5,12.6,,JohnTy02
65,Patrick Laird,24,MIA,RB,15,4,62,168,9,86,1.4,82,1.3,5,12.4,,LairPa00
66,Carson Wentz,27,PHI,QB,16,16,62,243,21,167,2.7,76,1.2,4,15.5,AP CPoY-5,WentCa00
67,Boston Scott,24,PHI,RB,11,2,61,245,17,136,2.2,109,1.8,2,30.5,,ScotBo02
68,Chase Edmonds,23,ARI,RB,13,2,60,303,12,180,3.0,123,2.1,4,15.0,,EdmoCh00
69,Bilal Powell,31,NYJ,RB,13,1,59,229,12,82,1.4,147,2.5,4,14.8,,PoweBi00
70,Jameis Winston,25,TAM,QB,16,16,59,250,18,193,3.3,57,1.0,2,29.5,,WinsJa00
71,Justice Hill,22,BAL,RB,16,0,58,225,10,125,2.2,100,1.7,3,19.3,,HillJu00
72,Jacoby Brissett,27,IND,QB,15,15,56,228,20,186,3.3,42,0.8,1,56.0,,BrisJa00
73,Ryan Fitzpatrick,37,MIA,QB,15,13,54,243,16,195,3.6,48,0.9,3,18.0,,FitzRy00
74,Dion Lewis,29,TEN,RB,16,1,54,209,6,82,1.5,127,2.4,7,7.7,,LewiDi00
75,Giovani Bernard,28,CIN,RB,16,2,53,170,10,66,1.2,104,2.0,6,8.8,,BernGi00
76,Mark Walton,22,MIA,RB,7,4,53,201,11,91,1.7,110,2.1,1,53.0,,WaltMa00
77,Nyheim Hines,23,IND,RB,16,2,52,199,16,118,2.3,81,1.6,2,26.0,,HineNy00
78,Dak Prescott,26,DAL,QB,16,16,52,277,19,178,3.4,99,1.9,7,7.4,,PresDa01
79,Jordan Wilkins,25,IND,RB,14,1,51,307,12,140,2.7,167,3.3,4,12.8,,WilkJo01
80,Mike Boone,24,MIN,RB,16,2,49,273,9,93,1.9,180,3.7,2,24.5,,BoonMi00
81,Jonathan Williams,25,IND,RB,9,1,49,235,13,102,2.1,133,2.7,7,7.0,,WillJo07
82,Mitchell Trubisky,25,CHI,QB,15,15,48,193,12,140,2.9,53,1.1,4,12.0,,TrubMi00
83,Jimmy Garoppolo,28,SFO,QB,16,16,46,62,13,45,1.0,17,0.4,1,46.0,AP CPoY-2,GaroJi00
84,Aaron Rodgers,36,GNB,QB,16,16,46,183,9,155,3.4,28,0.6,0,,PB,RodgAa00
85,Daniel Jones,22,NYG,QB,13,12,45,279,21,236,5.2,43,1.0,2,22.5,,JoneDa05
86,Kareem Hunt,24,CLE,RB,8,3,43,179,8,65,1.5,114,2.7,4,10.8,,HuntKa00
87,Patrick Mahomes,24,KAN,QB,14,14,43,218,15,194,4.5,24,0.6,1,43.0,PBAP OPoY-4,MahoPa00
88,Ryan Tannehill,31,TEN,QB,12,10,43,185,14,156,3.6,29,0.7,1,43.0,PBAP CPoY-1,TannRy00
89,Derrius Guice,22,WAS,RB,5,1,42,245,9,52,1.2,193,4.6,3,14.0,,GuicDe00
90,Darrel Williams,24,KAN,RB,12,0,41,141,12,81,2.0,60,1.5,1,41.0,,WillDa10
91,Darrell Henderson,22,LAR,RB,13,0,39,147,10,84,2.2,63,1.6,7,5.6,,HendDa00
92,Jalen Richard,26,OAK,RB,16,0,39,145,10,90,2.3,55,1.4,0,,,RichJa01
93,J.D. McKissic,26,DET,RB,16,3,38,205,8,112,2.9,93,2.4,3,12.7,,McKiJ.00
94,Chris Thompson,29,WAS,RB,11,0,37,138,7,74,2.0,64,1.7,2,18.5,,ThomCh03
95,Darwin Thompson,22,KAN,RB,12,0,37,128,9,58,1.6,70,1.9,4,9.3,,ThomDa06
96,Myles Gaskin,22,MIA,RB,7,0,36,133,7,28,0.8,105,2.9,0,,,GaskMy00
97,Ryquell Armstead,23,JAX,RB,16,1,35,108,5,18,0.5,90,2.6,2,17.5,,ArmsRy00
98,Matt Ryan,34,ATL,QB,15,15,34,147,10,133,3.9,14,0.4,0,,,RyanMa00
99,Sam Darnold,22,NYJ,QB,13,13,33,62,6,54,1.6,8,0.2,0,,,DarnSa00
100,Jared Goff,25,LAR,QB,16,16,33,40,5,36,1.1,4,0.1,0,,,GoffJa00
101,Kyle Allen,23,CAR,QB,13,12,32,106,9,81,2.5,25,0.8,2,16.0,,AlleKy00
102,Andy Dalton,32,CIN,QB,13,13,32,73,12,41,1.3,32,1.0,1,32.0,,DaltAn00
103,Ty Montgomery,26,NYJ,WR,16,2,32,103,2,61,1.9,42,1.3,0,,,MontTy01
104,Kirk Cousins,31,MIN,QB,15,15,31,63,8,51,1.6,12,0.4,0,,PB,CousKi00
105,Jon Hilliman,24,NYG,RB,3,1,30,91,6,45,1.5,46,1.5,0,,,HillJo03
106,Wayne Gallman,25,NYG,RB,10,2,29,110,6,72,2.5,38,1.3,0,,,GallWa00
107,Justin Jackson,23,LAC,RB,7,0,29,200,9,99,3.4,101,3.5,4,7.3,,JackJu01
108,Teddy Bridgewater,27,NOR,QB,9,5,28,31,4,16,0.6,15,0.5,0,,AP CPoY-5,BridTe00
109,Baker Mayfield,24,CLE,QB,16,16,28,141,15,110,3.9,31,1.1,2,14.0,,MayfBa00
110,Derek Carr,28,OAK,QB,16,16,27,82,7,81,3.0,1,0.0,0,,,CarrDe02
111,Taysom Hill,29,NOR,WR/QB,16,5,27,156,10,107,4.0,49,1.8,1,27.0,,HillTa00
112,Jeff Wilson,24,SFO,RB,10,0,27,105,9,66,2.4,39,1.4,0,,,WilsJe01
113,Tom Brady,42,NWE,QB,16,16,26,34,8,30,1.2,4,0.2,0,,,BradTo00
114,Marcus Mariota,26,TEN,QB,7,6,24,129,5,98,4.1,31,1.3,1,24.0,,MariMa01
115,Kerrith Whyte Jr,23,PIT,RB,6,0,24,122,5,47,2.0,75,3.1,1,24.0,,WhytKe00
116,Ameer Abdullah,26,MIN,RB,16,0,23,115,4,77,3.3,38,1.7,2,11.5,,AbduAm00
117,C.J. Prosise,25,SEA,RB,9,0,23,72,4,39,1.7,33,1.4,1,23.0,,ProsC.00
118,Jeff Driskel,26,DET,QB,3,3,22,151,10,126,5.7,25,1.1,1,22.0,,DrisJe00
119,Trey Edmunds,25,PIT,RB,11,0,22,92,2,53,2.4,39,1.8,0,,,EdmuTr00
120,Qadree Ollison,23,ATL,RB,8,0,22,50,6,29,1.3,21,1.0,0,,,OlliQa00
121,Wendell Smallwood,25,WAS,RB,15,0,22,81,4,47,2.1,34,1.5,1,22.0,,SmalWe00
122,Ito Smith,24,ATL,RB,7,0,22,106,10,71,3.2,35,1.6,2,11.0,,SmitIt00
123,Devlin Hodges,23,PIT,QB,8,6,21,68,5,64,3.0,4,0.2,0,,,HodgDe00
124,Mason Rudolph,24,PIT,QB,10,8,21,42,6,21,1.0,21,1.0,1,21.0,,RudoMa00
125,Robert Griffin III,29,BAL,QB,7,1,20,70,5,51,2.6,19,1.0,1,20.0,,GrifRo01
126,Dwayne Haskins,22,WAS,QB,9,7,20,101,7,72,3.6,29,1.5,0,,,HaskDw00
127,Matthew Stafford,31,DET,QB,8,8,20,66,5,54,2.7,12,0.6,1,20.0,,StafMa00
128,Curtis Samuel,23,CAR,WR,16,15,19,130,7,103,5.4,27,1.4,1,19.0,,SamuCu00
129,Travis Homer,21,SEA,RB,16,1,18,114,6,82,4.6,32,1.8,0,,,HomeTr00
130,Drew Lock,23,DEN,QB,5,5,18,72,5,63,3.5,9,0.5,2,9.0,,LockDr00
131,Tra Carson,27,2TM,RB,3,1,18,48,3,19,1.1,29,1.6,0,,,CarsTr01
131,Tra Carson,27,GNB,RB,2,0,6,14,1,3,0.5,11,1.8,0,,,CarsTr01
131,Tra Carson,27,DET,RB,1,1,12,34,2,16,1.3,18,1.5,0,,,CarsTr01
132,Cordarrelle Patterson,28,CHI,WR,16,4,17,103,4,81,4.8,22,1.3,3,5.7,PBAP-1,PattCo00
133,Darren Sproles,36,PHI,RB,6,1,17,66,3,40,2.4,26,1.5,0,,,SproDa00
134,Spencer Ware,28,KAN,RB,3,1,17,51,3,21,1.2,30,1.8,2,8.5,,WareSp00
135,Robert Woods,27,LAR,WR,15,15,17,115,5,81,4.8,34,2.0,3,5.7,,WoodRo02
136,T.J. Yeldon,26,BUF,RB,6,0,17,63,5,15,0.9,48,2.8,4,4.3,,YeldT.00
137,C.J. Anderson,28,DET,RB,2,0,16,43,1,6,0.4,37,2.3,1,16.0,,AndeC.00
138,Reggie Bonnafon,23,CAR,RB,16,0,16,116,2,92,5.8,24,1.5,1,16.0,,BonnRe00
139,Brandon Bolden,29,NWE,RB,15,2,15,68,5,46,3.1,22,1.5,2,7.5,,BoldBr00
140,Elijhaa Penny,26,NYG,RB,16,1,15,39,2,16,1.1,23,1.5,1,15.0,,PennEl00
141,Deebo Samuel,23,SFO,WR,15,11,14,159,5,105,7.5,54,3.9,2,7.0,,SamuDe00
142,Dontrell Hilliard,24,CLE,RB,14,0,13,49,3,36,2.8,13,1.0,0,,,HillDo00
143,Mike Davis,26,2TM,RB,12,1,13,27,0,15,1.2,12,0.9,0,,,DaviMi01
143,Mike Davis,26,CHI,RB,7,1,11,25,0,16,1.5,9,0.8,0,,,DaviMi01
143,Mike Davis,26,CAR,RB,5,0,2,2,0,-1,-0.5,3,1.5,0,,,DaviMi01
144,Joe Flacco,34,DEN,QB,8,8,12,20,4,16,1.3,4,0.3,0,,,FlacJo00
145,Marshawn Lynch,33,SEA,RB,1,0,12,34,2,20,1.7,14,1.2,0,,,LyncMa00
146,Paul Perkins,25,DET,RB,4,0,12,29,3,16,1.3,13,1.1,1,12.0,,PerkPa00
147,Philip Rivers,38,LAC,QB,16,16,12,29,2,29,2.4,0,0.0,0,,,RivePh00
148,Dalyn Dawkins,25,TEN,RB,2,0,11,26,2,17,1.5,9,0.8,0,,,DawkDa01
149,Dare Ogunbowale,25,TAM,RB,16,0,11,17,3,5,0.5,12,1.1,1,11.0,,OgunDa00
150,Jay Ajayi,26,PHI,RB,3,0,10,30,3,9,0.9,21,2.1,5,2.0,,AjayJa00
151,Brandon Allen,27,DEN,QB,3,3,10,39,4,32,3.2,7,0.7,0,,,AlleBr00
152,Javorius Allen,28,NYG,RB,10,0,10,36,3,-5,-0.5,41,4.1,0,,,AlleJa01
153,Ryan Finley,25,CIN,QB,3,3,10,77,4,73,7.3,4,0.4,0,,,FinlRy00
154,Wes Hills,24,DET,RB,1,1,10,21,3,9,0.9,12,1.2,0,,,HillWe00
155,Alec Ingold,23,OAK,FB,16,4,10,17,7,9,0.9,8,0.8,0,,,IngoAl01
156,Christian Kirk,23,ARI,WR,13,13,10,93,4,66,6.6,27,2.7,1,10.0,,KirkCh01
157,Troymaine Pope,26,LAC,RB,14,0,10,20,0,11,1.1,9,0.9,0,,,PopeTr00
158,Tyrod Taylor,30,LAC,QB,8,0,10,7,1,3,0.3,4,0.4,0,,,TaylTy00
159,Drew Brees,40,NOR,QB,11,11,9,-4,2,-4,-0.4,0,0.0,0,,PB,BreeDr00
160,Taiwan Jones,31,HOU,RB,11,0,9,40,3,26,2.9,14,1.6,0,,,JoneTa00
161,Case Keenum,31,WAS,QB,10,8,9,12,2,11,1.2,1,0.1,0,,,KeenCa00
162,Devine Ozigbo,23,JAX,RB,10,0,9,27,1,11,1.2,16,1.8,0,,,OzigDe01
163,Steven Sims,22,WAS,WR,16,2,9,85,2,27,3.0,58,6.4,2,4.5,,SimsSt00
164,Josh Adams,23,NYJ,RB,3,0,8,12,1,5,0.6,7,0.9,0,,,AdamJo03
165,David Blough,24,DET,QB,5,5,8,31,1,27,3.4,4,0.5,0,,,BlouDa00
166,Tony Brooks-James,25,PIT,RB,3,0,8,7,0,-11,-1.4,18,2.3,2,4.0,,BrooTo01
167,Julian Edelman,33,NWE,WR,16,13,8,27,2,21,2.6,6,0.8,0,,,EdelJu00
168,Tyreek Hill,25,KAN,WR,12,12,8,23,1,9,1.1,14,1.8,0,,PB,HillTy00
169,Brian Hoyer,34,IND,QB,4,1,8,2,0,-3,-0.4,5,0.6,0,,,HoyeBr00
170,Isaiah McKenzie,24,BUF,WR,15,8,8,49,4,35,4.4,14,1.8,0,,,McKeIs00
171,Dwayne Washington,25,NOR,RB,16,0,8,60,2,9,1.1,51,6.4,2,4.0,,WashDw00
172,Will Grier,24,CAR,QB,2,2,7,22,2,21,3.0,1,0.1,0,,,GrieWi00
173,C.J. Ham,26,MIN,FB,16,7,7,17,2,4,0.6,13,1.9,1,7.0,PB,HamxC.00
174,Brett Hundley,26,ARI,QB,3,0,7,41,3,13,1.9,28,4.0,0,,,HundBr00
175,Zach Line,29,NOR,RB,12,2,7,20,5,10,1.4,10,1.4,0,,,LineZa01
176,Derek Watt,27,LAC,FB,16,2,7,10,6,5,0.7,5,0.7,0,,,WattDe00
177,Alex Armah,25,CAR,FB,16,1,6,11,1,6,1.0,5,0.8,0,,,ArmaAl00
178,Tavon Austin,29,DAL,WR,14,0,6,47,2,28,4.7,19,3.2,0,,,AustTa00
179,Brandin Cooks,26,LAR,WR,14,14,6,52,3,45,7.5,7,1.2,0,,,CookBr00
180,Chase Daniel,33,CHI,QB,3,1,6,6,2,2,0.3,4,0.7,0,,,DaniCh00
181,Sean Mannion,27,MIN,QB,3,1,6,-5,0,-5,-0.8,0,0.0,0,,,MannSe00
182,D.J. Moore,22,CAR,WR,15,15,6,40,3,29,4.8,11,1.8,0,,,MoorD.00
183,Sterling Shepard,26,NYG,WR,10,10,6,72,3,67,11.2,5,0.8,0,,,ShepSt00
184,Tim Boyle,25,GNB,QB,3,0,5,-7,0,-7,-1.4,0,0.0,0,,,BoylTi00
185,Stefon Diggs,26,MIN,WR,15,15,5,61,3,37,7.4,24,4.8,0,,,DiggSt00
186,Alex Erickson,27,CIN,WR,16,6,5,33,2,20,4.0,13,2.6,0,,,EricAl01
187,N'Keal Harry,22,NWE,WR,7,5,5,49,4,12,2.4,37,7.4,1,5.0,,HarrNK00
188,Buddy Howell,23,HOU,RB,16,0,5,10,1,7,1.4,3,0.6,0,,,HoweGr00
189,George Kittle,26,SFO,TE,14,14,5,22,1,14,2.8,8,1.6,0,,PBAP-1,KittGe00
190,A.J. McCarron,29,HOU,QB,2,1,5,39,3,39,7.8,0,0.0,0,,,McCaA.00
191,Matt Moore,35,KAN,QB,6,2,5,-1,0,-2,-0.4,1,0.2,0,,,MoorMa01
192,Cam Newton,30,CAR,QB,2,2,5,-2,0,-2,-0.4,0,0.0,0,,,NewtCa00
193,Samaje Perine,24,MIA,RB,1,0,5,16,1,11,2.2,5,1.0,1,5.0,,PeriSa00
194,Josh Reynolds,24,LAR,WR,16,2,5,23,2,22,4.4,1,0.2,0,,,ReynJo00
195,Keith Smith,27,ATL,FB,16,5,5,8,4,0,0.0,8,1.6,0,,,SmitKe03
196,Dede Westbrook,26,JAX,WR,15,11,5,27,0,13,2.6,14,2.8,0,,,WestDe00
197,Dexter Williams,22,GNB,RB,4,0,5,11,0,6,1.2,5,1.0,0,,,WillDe07
198,Albert Wilson,27,MIA,WR,13,4,5,45,1,35,7.0,10,2.0,1,5.0,,WilsAl02
199,Kenjon Barner,30,ATL,RB,14,0,4,28,1,22,5.5,6,1.5,0,,,BarnKe00
200,Tyler Boyd,25,CIN,WR,16,15,4,23,1,20,5.0,3,0.8,0,,,BoydTy00
201,Parris Campbell,22,IND,WR,7,3,4,34,1,24,6.0,10,2.5,1,4.0,,CampPa00
202,Trevor Davis,26,OAK,WR,9,4,4,73,2,73,18.3,0,0.0,0,,,DaviTr03
203,Nick Foles,30,JAX,QB,4,4,4,23,2,18,4.5,5,1.3,0,,,FoleNi00
204,Russell Gage,23,ATL,WR,16,4,4,12,0,3,0.8,9,2.3,1,4.0,,GageRu00
205,Jakeem Grant,27,MIA,WR,10,2,4,5,1,5,1.3,0,0.0,0,,,GranJa00
206,Ryan Griffin,30,TAM,QB,2,0,4,-1,0,-1,-0.3,0,0.0,0,,,GrifRy01
207,Mecole Hardman,21,KAN,WR,16,5,4,17,1,16,4.0,1,0.3,0,,PBAP-2,HardMe00
208,Damien Harris,22,NWE,RB,2,0,4,12,0,8,2.0,4,1.0,0,,,HarrDa06
209,Deonte Harty,22,NOR,WR,14,1,4,31,2,29,7.3,2,0.5,0,,PBAP-1,HarrDe07
210,Andy Isabella,23,ARI,WR,15,1,4,15,0,11,2.8,4,1.0,0,,,IsabAn00
211,D'Ernest Johnson,23,CLE,RB,16,0,4,21,0,18,4.5,3,0.8,0,,,JohnDE04
212,Diontae Johnson,23,PIT,WR,16,12,4,41,2,18,4.5,23,5.8,1,4.0,AP-2,JohnDi01
213,Tyler Lockett,27,SEA,WR,16,16,4,-5,0,-5,-1.3,0,0.0,0,,,LockTy00
214,Eli Manning,38,NYG,QB,4,4,4,7,1,5,1.3,2,0.5,0,,,MannEl00
215,Jordan Scarlett,23,CAR,RB,9,0,4,9,0,4,1.0,5,1.3,0,,,ScarJo00
216,Anthony Sherman,31,KAN,RB,16,0,4,9,3,9,2.3,0,0.0,0,,,SherAn00
217,Jonnu Smith,24,TEN,TE,16,14,4,78,2,7,1.8,71,17.8,1,4.0,,SmitJo01
218,Adam Thielen,29,MIN,WR,10,10,4,6,1,0,0.0,6,1.5,2,2.0,,ThieAd00
219,De'Lance Turner,24,MIA,RB,8,0,4,6,0,1,0.3,5,1.3,0,,,TurnDe01
220,Keenan Allen,27,LAC,WR,16,16,3,16,1,13,4.3,3,1.0,0,,PB,AlleKe00
221,Odell Beckham Jr.,27,CLE,WR,16,15,3,10,1,4,1.3,6,2.0,1,3.0,,BeckOd00
222,A.J. Brown,22,TEN,WR,16,11,3,60,2,12,4.0,48,16.0,1,3.0,AP ORoY-3,BrowAJ00
223,Randall Cobb,29,DAL,WR,15,6,3,11,0,6,2.0,5,1.7,0,,,CobbRa00
224,Patrick DiMarco,30,BUF,FB,16,4,3,7,0,1,0.3,6,2.0,0,,,DiMaPa00
225,Phillip Dorsett,26,NWE,WR,14,4,3,21,1,18,6.0,3,1.0,0,,,DorsPh00
226,Evan Engram,25,NYG,TE,8,6,3,7,0,6,2.0,1,0.3,0,,,EngrEv00
227,Noah Fant,22,DEN,TE,16,11,3,-12,0,-12,-4.0,0,0.0,0,,,FantNo00
228,Josh Ferguson,26,WAS,RB,2,0,3,9,1,9,3.0,0,0.0,0,,,FergJo02
229,Taylor Gabriel,28,CHI,WR,9,7,3,20,1,20,6.7,0,0.0,0,,,GabrTa00
230,Garrett Gilbert,28,CLE,QB,5,0,3,-3,0,-3,-1.0,0,0.0,0,,,GilbGa01
231,Ted Ginn Jr.,34,NOR,WR,16,9,3,18,2,16,5.3,2,0.7,0,,,GinnTe00
232,Kyle Juszczyk,28,SFO,FB,12,12,3,7,1,2,0.7,5,1.7,0,,PB,JuszKy00
233,John Kelly,23,LAR,RB,4,0,3,9,0,5,1.7,4,1.3,0,,,KellJo00
234,T.J. Logan,25,TAM,FB,12,0,3,10,0,6,2.0,4,1.3,0,,,LogaT.00
235,David Moore,24,SEA,WR,14,1,3,25,1,8,2.7,17,5.7,1,3.0,,MoorDa03
236,Nick Mullens,24,SFO,QB,1,0,3,-3,0,-3,-1.0,0,0.0,0,,,MullNi00
237,Senorise Perry,28,BUF,RB,11,0,3,3,0,0,0.0,3,1.0,1,3.0,,PerrSe00
238,Josh Rosen,22,MIA,QB,6,3,3,13,0,13,4.3,0,0.0,0,,,RoseJo01
239,John Ross,24,CIN,WR,8,8,3,4,0,2,0.7,2,0.7,0,,,RossJo00
240,Matt Schaub,38,ATL,QB,6,1,3,-3,0,-3,-1.0,0,0.0,0,,,SchaMa00
241,Vyncint Smith,23,NYJ,WR,13,4,3,52,3,44,14.7,8,2.7,0,,,SmitVy00
242,Diontae Spencer,27,DEN,WR,16,2,3,6,0,2,0.7,4,1.3,0,,,SpenDi00
243,Courtland Sutton,24,DEN,WR,16,14,3,17,1,13,4.3,4,1.3,0,,PB,SuttCo00
244,Mohamed Sanu,30,2TM,WR,15,12,3,11,1,6,2.0,5,1.7,0,,,SanuMo00
244,Mohamed Sanu,30,ATL,WR,7,6,2,3,1,0,0.0,3,1.5,0,,,SanuMo00
244,Mohamed Sanu,30,NWE,WR,8,6,1,8,0,6,6.0,2,2.0,0,,,SanuMo00
