Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
58,Nevada,MWC,3,9,0.25,3,5,0.375,28.2,33.9,-9.25,-2,,,,
59,Nevada-Las Vegas,MWC,5,7,0.417,4,4,0.5,28.8,31.8,-7.92,-5.42,,,,
60,San Diego State,MWC,10,3,0.769,6,2,0.75,30.8,20.2,5.05,-3.87,,19,,
61,Fresno State,MWC,10,4,0.714,7,1,0.875,27.1,17.9,4.47,-1.68,,25,,
62,New Mexico,MWC,3,9,0.25,1,7,0.125,20.7,31.8,-10.38,-2.38,,,,
63,Air Force,MWC,5,7,0.417,4,4,0.5,31.4,32.4,-4.77,-1.02,,,,
64,Utah State,MWC,6,7,0.462,4,4,0.5,30.2,26.9,-2.18,-3.72,,,,
65,Colorado State,MWC,7,6,0.538,5,3,0.625,33.4,27.8,-0.87,-4.95,,,,
66,Wyoming,MWC,8,5,0.615,5,3,0.625,23.5,17.5,0.04,-4.65,,,,
67,Ball State,MAC,2,10,0.167,0,8,0,17.9,40.7,-19.27,-5.52,,,,
68,Eastern Michigan,MAC,5,7,0.417,3,5,0.375,26.1,23.3,-4.09,-4.76,,,,
69,Western Michigan,MAC,6,6,0.5,4,4,0.5,33.9,29,-2.87,-4.37,,,,
70,Northern Illinois,MAC,8,5,0.615,6,2,0.75,28.9,22,0.91,-4.32,,,,
71,Central Michigan,MAC,8,5,0.615,6,2,0.75,28.5,27.5,-5.03,-4.8,,,,
72,Toledo,MAC,11,3,0.786,7,1,0.875,36.4,26.2,3.82,-5.04,,,,
73,Kent State,MAC,2,10,0.167,1,7,0.125,12.8,35.1,-17.66,-1.75,,,,
74,Bowling Green,MAC,2,10,0.167,2,6,0.25,25.3,38,-13.11,-2.36,,,,
75,Miami (OH),MAC,5,7,0.417,4,4,0.5,24.4,24.1,-6.04,-6.21,,,,
76,Buffalo,MAC,6,6,0.5,4,4,0.5,28.5,24.8,-2.92,-5.34,,,,
77,Ohio,MAC,9,4,0.692,5,3,0.625,39.1,24.2,1.99,-6.78,,,,
78,Akron,MAC,7,7,0.5,6,2,0.75,22.1,28,-4.82,-1.96,,,,
79,BYU,Ind,4,9,0.308,,,,17.1,24.7,-8.06,-1.37,,,,
80,Army,Ind,10,3,0.769,,,,30.7,22,3.69,-3,,,,
81,Massachusetts,Ind,4,8,0.333,,,,30.6,31.8,-9.36,-7.03,,,,
82,UTEP,CUSA,0,12,0,0,8,0,11.8,36.8,-23.75,-3.67,,,,
83,Rice,CUSA,1,11,0.083,1,7,0.125,16.3,35.8,-18.37,-4.29,,,,
84,UTSA,CUSA,6,5,0.545,3,5,0.375,23.5,17,-5.78,-10.33,,,,
85,Louisiana Tech,CUSA,7,6,0.538,4,4,0.5,30.5,25.4,-2.44,-5.98,,,,
86,UAB,CUSA,8,5,0.615,6,2,0.75,27.8,25.6,-8.08,-10.62,,,,
87,Southern Mississippi,CUSA,8,5,0.615,6,2,0.75,29.2,24.5,-5.49,-8.18,,,,
88,North Texas,CUSA,9,5,0.643,7,1,0.875,35.5,35,-3.6,-4.1,,,,
89,Charlotte,CUSA,1,11,0.083,1,7,0.125,14.2,32.8,-20.25,-6,,,,
90,Old Dominion,CUSA,5,7,0.417,3,5,0.375,20.7,31.7,-13.95,-6.53,,,,
91,Middle Tennessee State,CUSA,7,6,0.538,4,4,0.5,25.5,24.7,-6.48,-6.86,,,,
92,Marshall,CUSA,8,5,0.615,4,4,0.5,26.7,19.9,-1.13,-6.44,,,,
93,Florida International,CUSA,8,5,0.615,5,3,0.625,25.6,28.5,-6.75,-6.36,,,,
94,Western Kentucky,CUSA,6,7,0.462,4,4,0.5,25.5,26.8,-10.99,-9.61,,,,
95,Florida Atlantic,CUSA,11,3,0.786,8,0,1,40.6,22.7,8.01,-4.78,,,,
96,Illinois,Big Ten,2,10,0.167,0,9,0,15.4,31.5,-7.87,5.38,,,,
97,Minnesota,Big Ten,5,7,0.417,2,7,0.222,22.1,22.8,3.36,4.78,,,,
98,Nebraska,Big Ten,4,8,0.333,3,6,0.333,25.8,36.4,1.52,8.18,,,,
99,Purdue,Big Ten,7,6,0.538,4,5,0.444,25.2,20.5,9.74,6.21,,,,
100,Iowa,Big Ten,8,5,0.615,4,5,0.444,28.2,19.9,14.66,8.74,,25,,
101,Maryland,Big Ten,4,8,0.333,2,7,0.222,24.1,37.1,1.03,9.78,,,,
102,Indiana,Big Ten,5,7,0.417,2,7,0.222,26.8,25.3,4.74,4.9,,,,
103,Rutgers,Big Ten,4,8,0.333,3,6,0.333,18,28.3,-2.27,6.15,,,,
104,Michigan,Big Ten,8,5,0.615,5,4,0.556,25.2,18.8,13.44,6.98,11,7,,
105,Kansas,Big 12,1,11,0.083,0,9,0,18.7,43.4,-12.35,4.23,,,,
106,Baylor,Big 12,1,11,0.083,1,8,0.111,24.3,35.9,-6.47,4.12,,,,
107,Texas Tech,Big 12,6,7,0.462,3,6,0.333,34.3,32.2,3.01,4.01,,24,,
108,West Virginia,Big 12,7,6,0.538,5,4,0.556,34.5,31.5,4.84,3.07,22,22,,
109,Texas,Big 12,7,6,0.538,5,4,0.556,29.5,21.2,8.21,3.91,23,23,,
110,Kansas State,Big 12,8,5,0.615,5,4,0.556,32.3,25.2,5.84,1.07,20,18,,
111,Iowa State,Big 12,8,5,0.615,5,4,0.556,29.2,20.9,9.77,3.85,,14,,
112,Tulsa,American,2,10,0.167,1,7,0.125,29.3,37.5,-7.46,0.04,,,,
113,Tulane,American,5,7,0.417,3,5,0.375,27.5,29.2,-2.24,-0.57,,,,
114,SMU,American,7,6,0.538,4,4,0.5,37.8,36.7,0.71,-0.76,,,,
115,Navy,American,7,6,0.538,4,4,0.5,30.5,26.3,5.69,2.69,,25,,
116,Houston,American,7,5,0.583,5,3,0.625,28.3,23.8,2.63,-0.7,,,,
117,East Carolina,American,3,9,0.25,2,6,0.25,24.9,45,-12.37,-0.04,,,,
118,Connecticut,American,3,9,0.25,2,6,0.25,23.6,37.9,-12.29,-0.12,,,,
119,Cincinnati,American,4,8,0.333,2,6,0.25,20.9,31.8,-9.59,-0.76,,,,
120,Temple,American,7,6,0.538,4,4,0.5,25.1,25.8,-0.81,-1.57,,,,
121,North Carolina,ACC,3,9,0.25,1,7,0.125,26,31.3,-1.82,4.1,,,,
122,Pitt,ACC,5,7,0.417,3,5,0.375,23.9,26.6,1.21,4.13,,,,
123,Virginia,ACC,6,7,0.462,3,5,0.375,22.5,28.4,-0.06,3.55,,,,
124,Duke,ACC,7,6,0.538,3,5,0.375,26.5,20.2,7.23,3.23,,,,
125,Georgia Tech,ACC,5,6,0.455,4,4,0.5,28.1,26.5,6.38,5.93,,,,
126,Syracuse,ACC,4,8,0.333,2,6,0.25,27.4,32.2,1.96,5.8,,,,
127,Florida State,ACC,7,6,0.538,3,5,0.375,27.8,21.2,8.07,5.76,3,3,,
128,Boston College,ACC,7,6,0.538,4,4,0.5,25.7,22.8,9.39,7.08,,,,
129,Wake Forest,ACC,8,5,0.615,4,4,0.5,35.3,28.3,11.42,6.03,,,,
130,Louisville,ACC,8,5,0.615,4,4,0.5,38.1,27.4,9.67,3.75,16,14,,
