Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS▼,SOS,AP Pre,AP High,AP Rank,Notes
45,Ole Miss,SEC (West),5,7,0.417,2,6,0.25,32.6,34,4.74,5.83,11,11,,record adjusted to 0-7-0 by NCAA
46,Arkansas,SEC (West),7,6,0.538,3,5,0.375,30.3,31.1,4.35,4.35,,16,,
47,Notre Dame,Ind,4,8,0.333,,,,30.9,27.8,4.27,3.94,10,10,,
48,Troy,Sun Belt,10,3,0.769,6,2,0.75,33.7,22.1,4.1,-4.67,,25,,
49,Air Force,MWC (Mountain),10,3,0.769,5,3,0.625,35.2,26.2,4.09,-4.53,,,,
50,Georgia,SEC (East),8,5,0.615,4,4,0.5,24.5,24,3.64,2.57,18,9,,
51,Navy,American (West),9,5,0.643,7,1,0.875,37.9,31,3.59,-0.84,,20,,
52,Louisiana Tech,CUSA (West),9,5,0.643,6,2,0.75,44.3,33.6,3.39,-4.82,,,,
53,Vanderbilt,SEC (East),6,7,0.462,3,5,0.375,23,24,3.21,3.06,,,,
54,Baylor,Big 12,7,6,0.538,3,6,0.333,34.6,29,3.01,0.39,23,8,,
55,Memphis,American (West),8,5,0.615,5,3,0.625,38.8,28.8,2.96,-1.11,,,,
56,UCLA,Pac-12 (South),4,8,0.333,2,7,0.222,24.9,27.5,2.63,5.13,16,16,,
57,Texas Christian,Big 12,6,7,0.462,4,5,0.444,31,28,2.63,1.47,13,13,,
58,Colorado State,MWC (Mountain),7,6,0.538,5,3,0.625,35.3,30.4,2.52,-1.17,,,,
59,California,Pac-12 (North),5,7,0.417,3,6,0.333,37.1,42.6,2.42,5.92,,,,
60,Kentucky,SEC (East),7,6,0.538,4,4,0.5,30,31.3,2.3,2.76,,,,
61,Texas,Big 12,5,7,0.417,3,6,0.333,31.9,31.5,1.75,2.42,,11,,
62,Mississippi State,SEC (West),6,7,0.462,3,5,0.375,30.4,31.8,1.68,2.76,,,,
63,Oregon State,Pac-12 (North),4,8,0.333,3,6,0.333,26.2,30.5,1.53,5.11,,,,
64,Indiana,Big Ten (East),6,7,0.462,4,5,0.444,25.8,27.2,1.38,2.69,,,,
65,Wyoming,MWC (Mountain),8,6,0.571,6,2,0.75,35.9,34.1,1.37,-0.99,,,,
66,Texas Tech,Big 12,5,7,0.417,3,6,0.333,43.7,43.5,1.34,1.5,,,,
67,Old Dominion,CUSA (East),10,3,0.769,7,1,0.875,35.1,27.2,1.11,-6.51,,,,
68,Wake Forest,ACC (Atlantic),7,6,0.538,3,5,0.375,20.4,22.2,0.73,1.8,,,,
69,Oregon,Pac-12 (North),4,8,0.333,2,7,0.222,35.4,41.4,0.7,5.12,24,22,,
70,Boston College,ACC (Atlantic),7,6,0.538,2,6,0.25,20.4,25,0.58,0.5,,,,
71,Maryland,Big Ten (East),6,7,0.462,3,6,0.333,25.8,29.5,0.07,1.6,,,,
72,UCF,American (East),6,7,0.462,4,4,0.5,28.8,24.6,-0.01,-1.86,,,,
73,Arkansas State,Sun Belt,8,5,0.615,7,1,0.875,27.3,21.5,-0.56,-5.64,,,,
74,South Carolina,SEC (East),6,7,0.462,3,5,0.375,20.8,26.5,-0.91,2.01,,,,
75,Idaho,Sun Belt,9,4,0.692,6,2,0.75,30.8,31.3,-1.19,-3.81,,,,
76,New Mexico,MWC (Mountain),9,4,0.692,6,2,0.75,36.7,31.5,-1.21,-5.44,,,,
77,Duke,ACC (Coastal),4,8,0.333,1,7,0.125,23.3,28.2,-1.36,3.39,,,,
78,Michigan State,Big Ten (East),3,9,0.25,1,8,0.111,24.1,27.8,-1.79,4.29,12,8,,
79,Ohio,MAC (East),8,6,0.571,6,2,0.75,26.3,22.6,-1.99,-5.56,,,,
80,Army,Ind,8,5,0.615,,,,29.9,19.8,-2.41,-6.41,,,,
81,Missouri,SEC (East),4,8,0.333,2,6,0.25,31.4,31.5,-2.5,2.58,,,,
82,Arizona State,Pac-12 (South),5,7,0.417,2,7,0.222,33.3,39.8,-2.6,3.9,,,,
83,Southern Mississippi,CUSA (West),7,6,0.538,4,4,0.5,32.8,29.5,-3.73,-5.04,,,,
84,UTSA,CUSA (West),6,7,0.462,5,3,0.625,29.2,27.9,-3.92,-5.07,,,,
85,Eastern Michigan,MAC (West),7,6,0.538,4,4,0.5,29.6,29.8,-4.3,-4.07,,,,
86,Northern Illinois,MAC (West),5,7,0.417,5,3,0.625,30.5,30.3,-4.39,-3.64,,,,
87,Georgia Southern,Sun Belt,5,7,0.417,4,4,0.5,26.6,26.5,-4.4,-2.4,,,,
88,Iowa State,Big 12,3,9,0.25,2,7,0.222,27.7,31.3,-4.43,1.65,,,,
89,Syracuse,ACC (Atlantic),4,8,0.333,2,6,0.25,25.7,38.6,-4.51,4.57,,,,
90,Arizona,Pac-12 (South),3,9,0.25,1,8,0.111,24.8,38.3,-4.63,5.2,,,,
91,SMU,American (West),5,7,0.417,3,5,0.375,27.7,36.3,-4.84,-0.34,,,,
92,Middle Tennessee State,CUSA (East),8,5,0.615,5,3,0.625,39.7,35.8,-5.53,-6.99,,,,
