Rk,School,Conf,CW,CL,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
111,South Florida,American,1,11,0.083,0,8,0,28,41.2,-10.11,1.97,,,,
112,Temple,American,3,9,0.25,1,7,0.125,21.9,29.3,-7.72,-2.39,,,,
113,Tulsa,American,5,7,0.417,3,5,0.375,30.6,33.1,-4.42,-1.59,,,,
114,Memphis,American,7,6,0.538,3,5,0.375,35.3,26,4.14,-1.17,,,,
115,Navy,American,4,8,0.333,4,4,0.5,21.9,24.3,-2.56,0.94,,,,
116,East Carolina,American,8,5,0.615,4,4,0.5,32.5,27.2,4.41,-0.82,,,,
117,SMU,American,7,6,0.538,5,3,0.625,37.2,33.8,3.69,1.39,,,,
118,Houston,American,8,5,0.615,5,3,0.625,36.1,32.2,3.8,0.8,24,24,,
119,UCF,American,9,5,0.643,6,2,0.75,32.9,23.6,5.74,0.74,,17,,
120,Cincinnati,American,9,4,0.692,6,2,0.75,29.2,20.6,5.85,-1,23,20,,
121,Virginia Tech,ACC (Coastal),3,8,0.273,1,6,0.143,19.3,24.7,-6.78,-0.96,,,,
122,Virginia,ACC (Coastal),3,7,0.3,1,6,0.143,17,24,-5.85,1.45,,,,
123,Miami (FL),ACC (Coastal),5,7,0.417,3,5,0.375,23.6,26.8,-2.91,0.68,16,13,,
124,Georgia Tech,ACC (Coastal),5,7,0.417,4,4,0.5,17.2,28.4,-3.29,4.55,,,,
125,Duke,ACC (Coastal),9,4,0.692,5,3,0.625,32.8,22.1,7.39,-1.84,,,,
126,North Carolina,ACC (Coastal),9,5,0.643,6,2,0.75,34.4,30.8,5.52,1.95,,13,,
127,Boston College,ACC (Atlantic),3,9,0.25,2,6,0.25,17.8,30.3,-5.67,3.58,,,,
128,Wake Forest,ACC (Atlantic),8,5,0.615,3,5,0.375,36.1,28.3,8.98,3.21,22,10,,
129,Syracuse,ACC (Atlantic),7,6,0.538,4,4,0.5,27.7,23.1,6.41,3.8,,14,,
130,North Carolina State,ACC (Atlantic),8,5,0.615,4,4,0.5,24.3,19.2,6.75,3.36,13,10,,
131,Louisville,ACC (Atlantic),8,5,0.615,4,4,0.5,26.9,19.2,10.44,4.59,,,,
