,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
50,Washington State,Pac-12 (North),6,7,0.462,3,6,0.333,37.8,31.4,3.86,2.01,23,19,,
51,Oregon State,Pac-12 (North),5,7,0.417,4,5,0.444,31.2,32.5,2.01,3.18,,,,
52,Washington,Pac-12 (North),8,5,0.615,4,5,0.444,32,19.4,12.38,2.68,13,13,,
53,California,Pac-12 (North),8,5,0.615,4,5,0.444,21.2,21.9,3.39,2.69,,15,,
54,Nevada-Las Vegas,MWC (West),4,8,0.333,2,6,0.25,24.2,33,-11.55,-3.97,,,,
55,Fresno State,MWC (West),4,8,0.333,2,6,0.25,30,30.1,-4.53,-3.12,,,,
56,San Jose State,MWC (West),5,7,0.417,2,6,0.25,30.1,31.9,-6.08,-3.83,,,,
57,Nevada,MWC (West),7,6,0.538,4,4,0.5,21.3,31.9,-8.64,-4.8,,,,
58,Hawaii,MWC (West),10,5,0.667,5,3,0.625,33.9,31.9,0.19,-1.75,,,,
59,San Diego State,MWC (West),10,3,0.769,5,3,0.625,21.2,12.7,1.69,-5.85,,24,,
60,New Mexico,MWC (Mountain),2,10,0.167,0,8,0,22.3,37.2,-13.7,-2.2,,,,
61,Colorado State,MWC (Mountain),4,8,0.333,3,5,0.375,28.1,31.2,-6.84,-3.59,,,,
62,Wyoming,MWC (Mountain),8,5,0.615,4,4,0.5,25.4,17.8,1.33,-4.28,,,,
63,Utah State,MWC (Mountain),7,6,0.538,6,2,0.75,29.2,30.7,-1.93,-0.31,,,,
64,Eastern Michigan,MAC (West),6,7,0.462,3,5,0.375,29.2,30.6,-7.5,-5.81,,,,
65,Toledo,MAC (West),6,6,0.5,3,5,0.375,27.3,32.2,-8.76,-5.26,,,,
66,Northern Illinois,MAC (West),5,7,0.417,4,4,0.5,22.8,28.2,-10.01,-5.68,,,,
67,Ball State,MAC (West),5,7,0.417,4,4,0.5,34.8,31.4,-3.51,-4.43,,,,
68,Western Michigan,MAC (West),7,6,0.538,5,3,0.625,33.1,25.9,-1.77,-5.85,,,,
69,Central Michigan,MAC (West),8,6,0.571,6,2,0.75,30.4,28.3,-2.98,-6.41,,,,
70,Akron,MAC (East),0,12,0,0,8,0,10.5,36.3,-26.64,-7.06,,,,
71,Bowling Green,MAC (East),3,9,0.25,2,6,0.25,16,38.6,-16.08,-3.66,,,,
72,Ohio,MAC (East),7,6,0.538,5,3,0.625,34.3,26.5,-2.7,-6.32,,,,
73,Kent State,MAC (East),7,6,0.538,5,3,0.625,29.2,31.8,-4.19,-3.73,,,,
74,Buffalo,MAC (East),8,5,0.615,5,3,0.625,31.5,21.3,1.44,-6.49,,,,
75,Miami (OH),MAC (East),8,6,0.571,6,2,0.75,24.1,28.1,-3.03,-1.67,,,,
76,Army,Ind,5,8,0.385,,,,28.5,23,-4.23,-4.7,,,,
77,BYU,Ind,7,6,0.538,,,,28.5,25.5,0.85,-1.23,,,,
78,Massachusetts,Ind,1,11,0.083,,,,19.8,52.7,-29.95,-8.87,,,,
79,New Mexico State,Ind,2,10,0.167,,,,21.7,41,-16.86,-3.78,,,,
80,Liberty,Ind,8,5,0.615,,,,32.8,28.1,-5.7,-8.54,,,,
81,UTEP,CUSA (West),1,11,0.083,0,8,0,19.6,35.9,-23.1,-8.52,,,,
82,Rice,CUSA (West),3,9,0.25,3,5,0.375,17.9,25.9,-10.46,-3.21,,,,
83,UTSA,CUSA (West),4,8,0.333,3,5,0.375,20.3,33.9,-14.08,-5.08,,,,
84,North Texas,CUSA (West),4,8,0.333,3,5,0.375,30.6,32.5,-9.47,-6.3,,,,
85,Southern Mississippi,CUSA (West),7,6,0.538,5,3,0.625,26.6,26.2,-2.9,-3.67,,,,
86,UAB,CUSA (West),9,5,0.643,6,2,0.75,23.1,21.6,-4.6,-7.88,,,,
87,Louisiana Tech,CUSA (West),10,3,0.769,6,2,0.75,32.5,21.8,-1.05,-9.51,,,,
88,Old Dominion,CUSA (East),1,11,0.083,0,8,0,16.3,29.8,-17.12,-4.2,,,,
89,Middle Tennessee State,CUSA (East),4,8,0.333,3,5,0.375,26.3,29.9,-6.11,-2.69,,,,
90,Florida International,CUSA (East),6,7,0.462,3,5,0.375,26.5,27.2,-8.19,-6.96,,,,
91,Charlotte,CUSA (East),7,6,0.538,5,3,0.625,29.8,32.4,-6.88,-5.41,,,,
92,Marshall,CUSA (East),8,5,0.615,6,2,0.75,25.8,25,-0.54,-2.38,,,,
93,Western Kentucky,CUSA (East),9,4,0.692,6,2,0.75,25.4,20.1,0.31,-5.08,,,,
94,Florida Atlantic,CUSA (East),11,3,0.786,7,1,0.875,36.4,22.7,8.28,-2.43,,,,
95,Northwestern,Big Ten (West),3,9,0.25,1,8,0.111,16.3,23.6,-3.13,3.46,,,,
96,Purdue,Big Ten (West),4,8,0.333,3,6,0.333,25.8,30.6,-0.52,4.15,,,,
97,Nebraska,Big Ten (West),5,7,0.417,3,6,0.333,28,27.8,2.67,4,24,24,,
98,Illinois,Big Ten (West),6,7,0.462,4,5,0.444,26.7,26.2,-0.08,0.61,,,,
99,Rutgers,Big Ten (East),2,10,0.167,0,9,0,13.3,36.7,-11.16,4.93,,,,
100,Maryland,Big Ten (East),3,9,0.25,1,8,0.111,25.3,34.7,-3.18,4.57,,21,,
101,Michigan State,Big Ten (East),7,6,0.538,4,5,0.444,22.4,22.5,6.06,5.6,18,18,,
102,Indiana,Big Ten (East),8,5,0.615,5,4,0.556,31.8,24.4,5.79,1.49,,24,,
103,Kansas,Big 12,3,9,0.25,1,8,0.111,23.5,36.1,-5.73,3.19,,,,
104,Texas Tech,Big 12,4,8,0.333,2,7,0.222,30.5,30.3,-0.65,1.1,,,,
105,West Virginia,Big 12,5,7,0.417,3,6,0.333,20.6,28.8,-2.92,3.16,,,,
106,Texas Christian,Big 12,5,7,0.417,3,6,0.333,30.3,26.4,5.27,3.6,,25,,
107,Iowa State,Big 12,7,6,0.538,5,4,0.556,32.2,25.9,7.92,4.53,21,21,,
108,Oklahoma State,Big 12,8,5,0.615,5,4,0.556,32.5,26.8,7.39,3.46,,21,,
109,Kansas State,Big 12,8,5,0.615,5,4,0.556,29.6,21.4,7.02,2.64,,20,,
110,Tulsa,American (West),4,8,0.333,2,6,0.25,26.4,31.3,0.43,5.01,,,,
111,Houston,American (West),4,8,0.333,2,6,0.25,30.7,34,-0.41,3.25,,,,
112,Tulane,American (West),7,6,0.538,3,5,0.375,33.1,26.3,3.98,1.21,,,,
113,SMU,American (West),10,3,0.769,6,2,0.75,41.8,33.4,9.02,0.64,,15,,
114,Connecticut,American (East),2,10,0.167,0,8,0,18.9,40.5,-14.83,-1.33,,,,
