Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Brock Bowers,N/A,Career Totals,,5.036666666666666,0.0,0,0,0,0,0,,19,193,5,,175,2538,26,
Bub Means,N/A,Career Totals,,0.32,0.0,1,1,22,0,0,,4,2,0,,90,1552,10,
Bucky Irving,N/A,Career Totals,,3.3033333333333332,0.0,2,3,36,1,0,,475,2937,20,,95,785,5,
Cade Stover,N/A,Career Totals,,5.456666666666667,0.0,0,0,0,0,0,,0,0,0,,82,1058,10,
Caleb Williams,N/A,Career Totals,,3.893333333333333,0.0,735,1099,10082,93,14,,289,966,27,,1,15,0,
Carlos Davis,N/A,Career Totals,,-2.4050000000000002,1.0,62,101,886,6,3,,247,965,5,,17,147,0,
Cole Turner,N/A,Career Totals,,-1.8483333333333334,1.0,0,0,0,0,0,,0,0,0,,128,1559,20,
Cooper DeJean,N/A,Career Totals,,4.05,0.0,0,0,0,0,0,,1,8,0,,0,0,0,
Devaughn Vele,N/A,Career Totals,,1.5524999999999998,0.0,2,4,15,0,0,,2,-4,0,,123,1689,9,
Erick All,N/A,Career Totals,,4.828,0.0,0,0,0,0,0,,0,0,0,,75,864,5,
Greg Gaines,N/A,Career Totals,,5.285,13.0,0,0,0,0,0,,0,0,0,,3,14,0,
Isaac Guerendo,N/A,Career Totals,,4.958,0.0,0,0,0,0,0,,231,1392,17,,42,358,1,
Isaiah Johnson,N/A,Career Totals,,-4.553333333333334,1.0,0,0,0,0,0,,190,902,12,,46,389,3,
Ja'Tavion Sanders,N/A,Career Totals,,7.385,0.0,0,0,0,0,0,,1,12,0,,99,1295,7,
Jacob Cowing,N/A,Career Totals,,-4.022,0.0,1,1,-2,0,0,,12,102,1,,316,4477,33,
Jaheim Bell,N/A,Career Totals,,4.46,0.0,0,0,0,0,0,,84,303,4,,95,1260,9,
Jake Bailey,N/A,Career Totals,,-1.8066666666666666,7.0,0,0,0,0,0,,5,57,0,,142,1776,5,
Jalen McMillan,N/A,Career Totals,,0.42000000000000015,0.0,1,3,9,0,0,,6,46,1,,164,2143,17,
Jared Wiley,N/A,Career Totals,,5.268,0.0,0,0,0,0,0,,0,0,0,,90,1013,15,
Javon Baker,N/A,Career Totals,,4.315,0.0,0,0,0,0,0,,0,0,0,,117,2051,13,
Jayden Daniels,N/A,Career Totals,,1.6659999999999997,0.0,953,1438,12749,89,20,,617,3307,34,,1,5,1,
Jaylen Wright,N/A,Career Totals,,3.9033333333333338,0.0,0,0,0,0,0,,368,2297,18,,30,171,0,
Jermaine Burton,N/A,Career Totals,,6.3275,0.0,0,0,0,0,0,,4,50,0,,132,2376,22,
Jha'Quan Jackson,N/A,Career Totals,,-0.46399999999999986,0.0,0,0,0,0,0,,12,116,1,,109,1743,17,
Joe Jackson,N/A,Career Totals,,5.09,0.0,0,0,0,0,0,,4,1,0,,0,0,0,
Johnny Wilson,N/A,Career Totals,,0.3949999999999999,0.0,0,0,0,0,0,,1,0,0,,102,1757,8,
Jordan Jenkins,N/A,Career Totals,,4.34,28.0,0,0,0,0,0,,5,27,0,,0,0,0,
