Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
363,Matthew Wilcox Jr.,Bowling Green,MAC,12,1,1,100.0,18,0,0.0,0,0.0,18.0,18.00,18.0,1.5,251.2,,matthew-wilcox-jr-1
364,Tanner Schafer*,Oklahoma,Big 12,1,3,5,60.0,18,0,0.0,0,0.0,3.6,3.60,6.0,18.0,90.2,,tanner-schafer-1
365,Braxton Berrios*,Miami (FL),ACC,13,1,1,100.0,17,0,0.0,0,0.0,17.0,17.00,17.0,1.3,242.8,,braxton-berrios-1
366,Conner Cramer*,New Mexico State,Sun Belt,13,1,2,50.0,17,1,50.0,0,0.0,8.5,18.50,17.0,1.3,286.4,,conner-cramer-1
367,Jalan McClendon*,North Carolina State,ACC,3,2,3,66.7,17,0,0.0,0,0.0,5.7,5.67,8.5,5.7,114.3,,jalan-mcclendon-1
368,Jeffery Mead*,Oklahoma,Big 12,10,1,1,100.0,17,0,0.0,0,0.0,17.0,17.00,17.0,1.7,242.8,,jeffery-mead-1
369,Parker Smith,Rice,CUSA,10,1,1,100.0,17,0,0.0,0,0.0,17.0,17.00,17.0,1.7,242.8,,parker-smith-1
370,Evan Shirreffs*,Miami (FL),ACC,4,2,7,28.6,16,0,0.0,0,0.0,2.3,2.29,8.0,4.0,47.8,,evan-shirreffs-1
371,Jay Tyler*,Stanford,Pac-12,12,1,1,100.0,16,0,0.0,0,0.0,16.0,16.00,16.0,1.3,234.4,,jay-tyler-1
372,Jett Duffey*,Texas Tech,Big 12,1,2,2,100.0,16,0,0.0,0,0.0,8.0,8.00,8.0,16.0,167.2,,jett-duffey-1
373,Mitchell Guadagni*,Toledo,MAC,9,1,6,16.7,16,0,0.0,1,16.7,2.7,-4.83,16.0,1.8,5.7,,mitchell-guadagni-1
374,Andrew Meyer*,Ohio,MAC,12,1,1,100.0,15,0,0.0,0,0.0,15.0,15.00,15.0,1.3,226.0,,andrew-meyer-1
375,D.J. Moore,Maryland,Big Ten,12,2,2,100.0,15,0,0.0,0,0.0,7.5,7.50,7.5,1.3,163.0,,dj-moore-3
376,Ryan Winslow,Pitt,ACC,12,1,1,100.0,15,1,100.0,0,0.0,15.0,35.00,15.0,1.3,556.0,,ryan-winslow-1
377,Vic Wharton,California,Pac-12,12,1,2,50.0,15,1,50.0,0,0.0,7.5,17.50,15.0,1.3,278.0,,vic-wharton-1
378,Will Hefley,Tulsa,American,1,2,6,33.3,15,0,0.0,2,33.3,2.5,-12.50,7.5,15.0,-12.3,,will-hefley-1
379,Darveon Brown*,Arkansas State,Sun Belt,11,1,1,100.0,14,0,0.0,0,0.0,14.0,14.00,14.0,1.3,217.6,,darveon-brown-1
380,Jacob Huesman*,Appalachian State,Sun Belt,2,2,3,66.7,14,0,0.0,0,0.0,4.7,4.67,7.0,7.0,105.9,,jacob-huesman-1
381,N'Keal Harry*,Arizona State,Pac-12,13,1,1,100.0,14,1,100.0,0,0.0,14.0,34.00,14.0,1.1,547.6,,nkeal-harry-1
382,Tyler Johnston III*,UAB,CUSA,6,1,2,50.0,13,0,0.0,0,0.0,6.5,6.50,13.0,2.2,104.6,,tyler-johnston-iii-1
383,Chris Oladokun*,South Florida,American,2,1,1,100.0,12,0,0.0,0,0.0,12.0,12.00,12.0,6.0,200.8,,chris-oladokun-1
384,Devin Singletary*,Florida Atlantic,CUSA,14,1,1,100.0,12,0,0.0,0,0.0,12.0,12.00,12.0,0.9,200.8,,devin-singletary-1
385,Justin Jackson*,Northwestern,Big Ten,13,1,1,100.0,12,1,100.0,0,0.0,12.0,32.00,12.0,0.9,530.8,,justin-jackson-5
386,Bryce Bobo,Colorado,Pac-12,12,1,1,100.0,11,1,100.0,0,0.0,11.0,31.00,11.0,0.9,522.4,,bryce-bobo-1
387,Glen Cuiellette,Tulane,American,11,1,1,100.0,11,0,0.0,0,0.0,11.0,11.00,11.0,1.0,192.4,,glen-cuiellette-1
388,Khalil McClain,Tulane,American,2,1,3,33.3,11,0,0.0,0,0.0,3.7,3.67,11.0,5.5,64.1,,khalil-mcclain-1
389,Matt Lynch*,UCLA,Pac-12,1,2,3,66.7,11,1,33.3,0,0.0,3.7,10.33,5.5,11.0,207.5,,matt-lynch-1
390,Brice Ramsey*,Georgia,SEC,4,1,4,25.0,10,0,0.0,2,50.0,2.5,-20.00,10.0,2.5,-54.0,,brice-ramsey-1
391,Donavan Tate*,Arizona,Pac-12,2,1,1,100.0,10,0,0.0,0,0.0,10.0,10.00,10.0,5.0,184.0,,donavan-tate-1
392,John Kelly,Tennessee,SEC,11,1,1,100.0,10,0,0.0,0,0.0,10.0,10.00,10.0,0.9,184.0,,john-kelly-6
393,Rhett Rodriguez*,Arizona,Pac-12,2,1,1,100.0,10,0,0.0,0,0.0,10.0,10.00,10.0,5.0,184.0,,rhett-rodriguez-1
394,Timmy Hernandez,Oregon State,Pac-12,12,1,1,100.0,10,0,0.0,0,0.0,10.0,10.00,10.0,0.8,184.0,,timmy-hernandez-1
395,Garrett Groshek*,Wisconsin,Big Ten,14,1,1,100.0,9,0,0.0,0,0.0,9.0,9.00,9.0,0.6,175.6,,garrett-groshek-1
396,Jonathan Ward*,Central Michigan,MAC,13,1,2,50.0,9,0,0.0,0,0.0,4.5,4.50,9.0,0.7,87.8,,jonathan-ward-3
397,Billy Fessler*,Penn State,Big Ten,13,1,2,50.0,8,0,0.0,0,0.0,4.0,4.00,8.0,0.6,83.6,,billy-fessler-1
398,Jamie Newman*,Wake Forest,ACC,3,2,4,50.0,8,0,0.0,1,25.0,2.0,-9.25,4.0,2.7,16.8,,jamie-newman-1
399,Austin Wilson,Coastal Carolina,Sun Belt,2,1,4,25.0,7,0,0.0,0,0.0,1.8,1.75,7.0,3.5,39.7,,austin-wilson-2
400,Cole Brownholtz,Hawaii,MWC,1,1,1,100.0,7,0,0.0,0,0.0,7.0,7.00,7.0,7.0,158.8,,cole-brownholtz-1
401,Keondre Wudtee*,Oklahoma State,Big 12,2,1,3,33.3,7,0,0.0,0,0.0,2.3,2.33,7.0,3.5,52.9,,keondre-wudtee-1
402,LaBaron Anthony,Georgia Southern,Sun Belt,3,1,10,10.0,7,0,0.0,0,0.0,0.7,0.70,7.0,2.3,15.9,,labaron-anthony-1
403,Sam Geraci,Louisiana,Sun Belt,12,1,1,100.0,7,0,0.0,0,0.0,7.0,7.00,7.0,0.6,158.8,,sam-geraci-1
404,Trenard Davis,Illinois,Big Ten,9,1,1,100.0,7,0,0.0,0,0.0,7.0,7.00,7.0,0.8,158.8,,trenard-davis-1
405,Jake Arceneaux,Louisiana,Sun Belt,2,1,1,100.0,6,0,0.0,0,0.0,6.0,6.00,6.0,3.0,150.4,,jake-arceneaux-1
