Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
245,Jiya Wright,Louisiana-Monroe,Sun Belt,4,10,20,50.0,164,2,10.0,2,10.0,8.2,5.70,16.4,41.0,131.9,,jiya-wright-1
246,Isaiah Chavez,New Mexico,MWC,5,17,24,70.8,161,2,8.3,1,4.2,6.7,6.50,9.5,32.2,146.4,,isaiah-chavez-1
247,Nick Patti*,Pitt,ACC,9,14,19,73.7,161,0,0.0,0,0.0,8.5,8.47,11.5,17.9,144.9,,nick-patti-3
248,Dakereon Joyner*,South Carolina,SEC,13,9,9,100.0,160,1,11.1,0,0.0,17.8,20.00,17.8,12.3,286.0,,dakereon-joyner-1
249,Grayson James,Florida International,CUSA,6,18,27,66.7,155,1,3.7,0,0.0,5.7,6.48,8.6,25.8,127.1,,grayson-james-1
250,Jaren Lewis*,Kansas State,Big 12,4,12,23,52.2,154,1,4.3,2,8.7,6.7,3.65,12.8,38.5,105.4,,jaren-lewis-1
251,Connor Blumrick*,Virginia Tech,ACC,6,16,31,51.6,152,2,6.5,0,0.0,4.9,6.19,9.5,25.3,114.1,,connor-blumrick-1
252,Knox Kadum*,Virginia Tech,ACC,5,12,24,50.0,151,0,0.0,1,4.2,6.3,4.42,12.6,30.2,94.5,,knox-kadum-1
253,Paul Tyson*,Alabama,SEC,12,10,16,62.5,150,0,0.0,0,0.0,9.4,9.38,15.0,12.5,141.3,,paul-tyson-1
254,Garrett Greene*,West Virginia,Big 12,11,16,26,61.5,147,0,0.0,0,0.0,5.7,5.65,9.2,13.4,109.0,,garrett-greene-1
255,Jake Garcia,Miami (FL),ACC,1,11,14,78.6,147,2,14.3,0,0.0,10.5,13.36,13.4,147.0,213.9,,jake-garcia-1
256,Evan Simon*,Rutgers,Big Ten,6,16,28,57.1,145,0,0.0,1,3.6,5.2,3.57,9.1,24.2,93.5,,evan-simon-1
257,Eddie Lee Marburger*,UTSA,CUSA,2,4,8,50.0,143,1,12.5,0,0.0,17.9,20.38,35.8,71.5,241.4,,eddie-lee-marburger-1
258,Tyler Macon*,Missouri,SEC,3,9,17,52.9,143,1,5.9,0,0.0,8.4,9.59,15.9,47.7,143.0,,tyler-macon-1
259,Xavier Arline,Navy,American,7,7,18,38.9,142,1,5.6,0,0.0,7.9,9.00,20.3,20.3,123.5,,xavier-arline-1
260,Jontre Kirklin*,LSU,SEC,9,7,11,63.6,138,3,27.3,2,18.2,12.5,9.82,19.7,15.3,222.7,,jontre-kirklin-1
261,Jack West,Stanford,Pac-12,4,20,30,66.7,135,0,0.0,3,10.0,4.5,0.00,6.8,33.8,84.5,,jack-west-4
262,Jemel Jones*,Army,Ind,4,7,13,53.8,135,1,7.7,1,7.7,10.4,8.46,19.3,33.8,151.1,,jemel-jones-1
263,John Paddock*,Ball State,MAC,2,18,26,69.2,132,0,0.0,1,3.8,5.1,3.35,7.3,66.0,104.2,,john-paddock-1
264,Taisun Phommachanh*,Clemson,ACC,6,11,19,57.9,131,1,5.3,1,5.3,6.9,5.58,11.9,21.8,122.7,,taisun-phommachanh-1
265,Cole Snyder*,Rutgers,Big Ten,6,18,28,64.3,130,1,3.6,0,0.0,4.6,5.36,7.2,21.7,115.1,,cole-snyder-2
266,Chase Wolf*,Wisconsin,Big Ten,4,8,16,50.0,124,1,6.3,2,12.5,7.8,3.38,15.5,31.0,110.7,,chase-wolf-1
267,Jacob Huesman*,Appalachian State,Sun Belt,6,12,21,57.1,116,1,4.8,1,4.8,5.5,4.33,9.7,19.3,109.7,,jacob-huesman-1
268,Chandler Fields*,Louisiana,Sun Belt,8,9,13,69.2,106,1,7.7,0,0.0,8.2,9.69,11.8,13.3,163.1,,chandler-fields-1
269,Miles Kendrick,Kansas,Big 12,5,12,18,66.7,106,2,11.1,1,5.6,5.9,5.61,8.8,21.2,141.7,,miles-kendrick-1
270,Tyler Snead,East Carolina,American,12,3,5,60.0,102,2,40.0,0,0.0,20.4,28.40,34.0,8.5,363.4,,tyler-snead-1
271,Jack Miller III*,Ohio State,Big Ten,4,7,14,50.0,101,0,0.0,0,0.0,7.2,7.21,14.4,25.3,110.6,,jack-miller-iii-1
272,Sam Noyer*,Oregon State,Pac-12,2,11,24,45.8,101,0,0.0,2,8.3,4.2,0.46,9.2,50.5,64.5,,sam-noyer-1
273,Reece Udinski*,Maryland,Big Ten,4,11,15,73.3,100,1,6.7,1,6.7,6.7,5.00,9.1,25.0,138.0,,reece-udinski-1
274,Chubba Purdy,Florida State,ACC,1,5,5,100.0,98,2,40.0,0,0.0,19.6,27.60,19.6,98.0,396.6,,chubba-purdy-1
275,Jarrett Guest*,Coastal Carolina,Sun Belt,6,9,10,90.0,96,1,10.0,0,0.0,9.6,11.60,10.7,16.0,203.6,,jarrett-guest-1
276,Jordan Moore,Duke,ACC,10,9,19,47.4,95,1,5.3,0,0.0,5.0,6.05,10.6,9.5,106.7,,jordan-moore-5
277,Ryan Glover,California,Pac-12,1,11,29,37.9,94,0,0.0,0,0.0,3.2,3.24,8.5,94.0,65.2,,ryan-glover-1
278,Tyhier Tyler*,Army,Ind,12,4,8,50.0,93,2,25.0,1,12.5,11.6,11.00,23.3,7.8,205.2,,tyhier-tyler-1
279,Antavious Willis,Southern Mississippi,CUSA,12,9,11,81.8,92,1,9.1,1,9.1,8.4,6.09,10.2,7.7,163.9,,antavious-willis-1
280,Beau Allen*,Kentucky,SEC,3,8,12,66.7,92,0,0.0,0,0.0,7.7,7.67,11.5,30.7,131.1,,beau-allen-2
281,Trenton Bourguet*,Arizona State,Pac-12,4,7,10,70.0,91,1,10.0,0,0.0,9.1,11.10,13.0,22.8,179.4,,trenton-bourguet-1
282,Drake Maye*,North Carolina,ACC,4,7,10,70.0,89,1,10.0,0,0.0,8.9,10.90,12.7,22.3,177.8,,drake-maye-1
283,Jamarye Joiner,Arizona,Pac-12,8,4,10,40.0,89,2,20.0,0,0.0,8.9,12.90,22.3,11.1,180.8,,jamarye-joiner-1
284,Kai Horton,Tulane,American,5,8,19,42.1,88,0,0.0,3,15.8,4.6,-2.47,11.0,17.6,49.4,,kai-horton-1
285,Emmett Morehead,Boston College,ACC,2,6,16,37.5,87,0,0.0,0,0.0,5.4,5.44,14.5,43.5,83.2,,emmett-morehead-1
286,Ty Thompson*,Oregon,Pac-12,3,7,15,46.7,87,2,13.3,1,6.7,5.8,5.47,12.4,29.0,126.1,,ty-thompson-2
287,Ta'Quan Roberson*,Penn State,Big Ten,4,11,28,39.3,85,1,3.6,2,7.1,3.0,0.54,7.7,21.3,62.3,,taquan-roberson-1
288,Evan Conley*,Louisville,ACC,5,10,19,52.6,79,1,5.3,0,0.0,4.2,5.21,7.9,15.8,104.9,,evan-conley-1
289,Sam Jackson,TCU,Big 12,2,1,1,100.0,77,0,0.0,0,0.0,77.0,77.00,77.0,38.5,746.8,,sam-jackson-3
290,Donovan Edwards*,Michigan,Big Ten,12,1,1,100.0,75,1,100.0,0,0.0,75.0,95.00,75.0,6.3,1060.0,,donovan-edwards-1
291,Maasai Maynor,Navy,American,3,6,13,46.2,74,0,0.0,0,0.0,5.7,5.69,12.3,24.7,94.0,,maasai-maynor-1
292,Miller Moss,USC,Pac-12,2,8,13,61.5,74,1,7.7,0,0.0,5.7,7.23,9.3,37.0,134.7,,miller-moss-1
293,Mariano Valenti,Temple,American,3,10,14,71.4,73,0,0.0,0,0.0,5.2,5.21,7.3,24.3,115.2,,mariano-valenti-1
294,Tucker Gleason*,Toledo,MAC,3,5,9,55.6,69,0,0.0,0,0.0,7.7,7.67,13.8,23.0,120.0,,tucker-gleason-1
295,Johnny Langan*,Rutgers,Big Ten,13,6,9,66.7,68,1,11.1,0,0.0,7.6,9.78,11.3,5.2,166.8,,johnny-langan-1
296,Michael Kern*,Wake Forest,ACC,3,2,5,40.0,67,0,0.0,0,0.0,13.4,13.40,33.5,22.3,152.6,,michael-kern-1
297,Ryan O'Keefe*,UCF,American,13,3,3,100.0,66,2,66.7,0,0.0,22.0,35.33,22.0,5.1,504.8,,ryan-okeefe-1
298,Nate Hampton*,Liberty,Ind,1,1,4,25.0,63,1,25.0,0,0.0,15.8,20.75,63.0,63.0,239.8,,nate-hampton-1
299,Cole Kramer*,Minnesota,Big Ten,8,3,3,100.0,62,2,66.7,0,0.0,20.7,34.00,20.7,7.8,493.6,,cole-kramer-1
300,Micah Leon,Connecticut,Ind,1,10,13,76.9,62,0,0.0,0,0.0,4.8,4.77,6.2,62.0,117.0,,micah-leon-2
301,Calvin Brownholtz*,UTEP,CUSA,12,2,7,28.6,60,1,14.3,1,14.3,8.6,5.00,30.0,5.0,119.1,,calvin-brownholtz-1
302,Ricky Pearsall*,Arizona State,Pac-12,13,2,2,100.0,59,1,50.0,0,0.0,29.5,39.50,29.5,4.5,512.8,,ricky-pearsall-1
303,Hunter Helms*,Clemson,ACC,2,5,13,38.5,58,0,0.0,0,0.0,4.5,4.46,11.6,29.0,75.9,,hunter-helms-1
304,Warren Bryan*,Air Force,MWC,5,3,7,42.9,58,1,14.3,0,0.0,8.3,11.14,19.3,11.6,159.6,,warren-bryan-1
305,Bryson Carroll,New Mexico,MWC,2,8,10,80.0,57,1,10.0,0,0.0,5.7,7.70,7.1,28.5,160.9,,bryson-carroll-1
306,Braden Smith*,Louisville,ACC,4,2,3,66.7,54,1,33.3,0,0.0,18.0,24.67,27.0,13.5,327.9,,braden-smith-4
307,Carson Baker*,Western Kentucky,CUSA,1,1,1,100.0,54,1,100.0,0,0.0,54.0,74.00,54.0,54.0,883.6,,carson-baker-2
308,Colby Suits,Louisiana-Monroe,Sun Belt,3,8,13,61.5,54,0,0.0,1,7.7,4.2,0.69,6.8,18.0,81.0,,colby-suits-1
309,Kaylan Wiggins,Florida International,CUSA,2,4,7,57.1,52,0,0.0,0,0.0,7.4,7.43,13.0,26.0,119.5,,kaylan-wiggins-1
