Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
477,Deon Jackson,Duke,ACC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,deon-jackson-1
478,Derek Green*,SMU,American,3,1,3,33.3,0,0,0.0,1,33.3,0.0,-15.00,0.0,0.0,-33.3,,derek-green-2
479,Destin Coates*,Georgia State,Sun Belt,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,destin-coates-1
480,Dillon Stoner*,Oklahoma State,Big 12,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,dillon-stoner-1
481,Evan Shirreffs*,Charlotte,CUSA,2,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,evan-shirreffs-1
482,Gerrit Prince*,UAB,CUSA,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,gerrit-prince-1
483,Ihmir Smith-Marsette*,Iowa,Big Ten,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,ihmir-smith-marsette-1
484,Isiah Pacheco,Rutgers,Big Ten,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,isaih-pacheco-1
485,Isiah Cox*,Ohio,MAC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,isiah-cox-1
486,Jack Sorenson*,Miami (OH),MAC,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jack-sorenson-1
487,Jacquez Sloan*,Western Kentucky,CUSA,13,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,jacquez-sloan-1
488,Jake Bobo,Duke,ACC,8,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jake-bobo-1
489,Jake McClure*,Oklahoma State,Big 12,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jake-mcclure-1
490,Jalen Walker*,Miami (OH),MAC,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jalen-walker-2
491,Jamarye Joiner,Arizona,Pac-12,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jamarye-joiner-1
492,James Proche*,SMU,American,13,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,james-proche-1
493,Jared Atkinson*,Baylor,Big 12,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jared-atkinson-1
494,Jauan Jennings*,Tennessee,SEC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jauan-jennings-1
495,Jaylin Nelson,Texas State,Sun Belt,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jaylin-nelson-1
496,Jonah Fitzgerald,Old Dominion,CUSA,1,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jonah-fitzgerald-1
497,Josh Ali*,Kentucky,SEC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,josh-ali-1
498,Josh Hokit,Fresno State,MWC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,josh-hokit-1
499,Juwan Johnson*,Oregon,Pac-12,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,juwan-johnson-1
500,Kadarius Toney*,Florida,SEC,7,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kadarius-toney-1
501,Kaden Keon*,Central Michigan,MAC,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kaden-keon-1
502,Kaylon Geiger,Troy,Sun Belt,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kaylon-geiger-1
